energy_kev,sp3_target,frame_index,step,time_ps,n_atoms,density_atoms_A3,sp_percent,sp2_percent,sp3_percent,defect_percent,mean_coord,elastic_modulus_rel,mean_pe_eV,total_pe_eV,mean_ke_eV,total_ke_eV,max_ke_atom_eV,threshold_cumulative_A,n_displaced_cumulative,max_dr_cumulative_A,mean_dr_cumulative_A,n_displaced_incremental,max_dr_incremental_A
20,40,0,0,0.000000,473344,0.135644,3.755620,57.583069,38.661312,0.000000,3.349057,0.285505,-6.588287,-3118526.306880,0.048093,22764.439671,3773.410000,0.000000,0,0.000000,0.000000,0,0.000000
20,40,1,27,0.027000,473344,0.135644,3.758155,57.574407,38.667227,0.000211,3.349095,0.285532,-6.587938,-3118360.749700,0.047730,22592.669228,3595.050000,0.021301,1,1.345770,1.345770,1,1.345770
20,40,2,54,0.054000,473344,0.135644,3.756887,57.570182,38.672298,0.000634,3.349167,0.285584,-6.588232,-3118500.146720,0.048026,22732.844907,3691.590000,0.043174,2,2.695852,1.402579,2,1.351269
20,40,3,81,0.081000,473344,0.135644,3.757943,57.568491,38.673354,0.000211,3.349158,0.285578,-6.588307,-3118535.802620,0.048099,22767.501978,3700.690000,0.062931,2,4.045720,2.134830,3,1.350310
20,40,4,108,0.108000,473344,0.135644,3.759000,57.563844,38.676945,0.000211,3.349175,0.285590,-6.588410,-3118584.439330,0.048199,22814.641004,3722.010000,0.083482,2,5.396312,2.866724,4,1.350801
20,40,5,135,0.135000,473344,0.135644,3.757098,57.560463,38.682227,0.000211,3.349247,0.285642,-6.588422,-3118590.044130,0.048207,22818.471719,3702.520000,0.105649,2,6.745757,3.596585,4,1.349582
20,40,6,162,0.162000,473344,0.135644,3.759000,57.556449,38.684128,0.000423,3.349251,0.285645,-6.588465,-3118610.475392,0.048236,22832.453894,3699.520000,0.146908,2,8.095280,4.324643,5,1.349676
20,40,7,189,0.189000,473344,0.135644,3.758577,57.572928,38.668072,0.000423,3.349095,0.285532,-6.588511,-3118632.201817,0.048279,22852.783103,3703.770000,0.185917,2,9.445052,5.050642,4,1.349983
20,40,8,216,0.216000,473344,0.135644,3.760056,57.578632,38.661101,0.000211,3.349015,0.285474,-6.588558,-3118654.522024,0.048327,22875.170300,3714.890000,0.224459,2,10.795154,5.774637,7,1.350279
20,40,9,243,0.243000,473344,0.135644,3.758366,57.579055,38.662368,0.000211,3.349044,0.285496,-6.588560,-3118655.119346,0.048320,22872.179182,3709.310000,0.270991,2,12.144848,6.496688,5,1.349823
20,40,10,270,0.270000,473344,0.135644,3.754563,57.577576,38.667438,0.000423,3.349137,0.285563,-6.588495,-3118624.808846,0.048246,22836.764488,3677.220000,0.312118,2,13.493441,7.217288,5,1.348853
20,40,11,297,0.297000,473344,0.135644,3.753507,57.570604,38.674833,0.001056,3.349239,0.285636,-6.588497,-3118625.749123,0.048238,22833.286871,3681.030000,0.342947,2,14.843091,7.938203,6,1.350279
20,40,12,324,0.324000,473344,0.135644,3.754141,57.554971,38.690255,0.000634,3.349374,0.285734,-6.588244,-3118505.615590,0.047975,22708.863102,3549.160000,0.194882,5,16.186074,3.599356,7,1.344387
20,40,13,351,0.351000,473344,0.135644,3.758789,57.557294,38.683072,0.000845,3.349260,0.285651,-6.588402,-3118580.466790,0.048127,22780.408275,3624.390000,0.214132,5,17.531886,3.906565,7,1.353511
20,40,14,378,0.378000,473344,0.135644,3.757943,57.543140,38.698283,0.000634,3.349416,0.285764,-6.588430,-3118593.595750,0.048151,22791.993127,3638.220000,0.235283,6,18.875607,3.556877,9,1.349022
20,40,15,405,0.405000,473344,0.135644,3.759634,57.535957,38.704198,0.000211,3.349450,0.285789,-6.588401,-3118580.225790,0.048121,22777.645849,3639.400000,0.258523,6,20.223737,3.831370,9,1.351033
20,40,16,432,0.432000,473344,0.135644,3.759422,57.534478,38.705677,0.000423,3.349471,0.285804,-6.588311,-3118537.469680,0.048027,22733.139169,3567.930000,0.284059,6,21.565527,4.104318,10,1.345687
20,40,17,459,0.459000,473344,0.135644,3.760901,57.527718,38.710536,0.000845,3.349513,0.285834,-6.588341,-3118551.791370,0.048050,22744.126942,3591.240000,0.297758,7,22.907441,3.794956,9,1.351319
20,40,18,486,0.486000,473344,0.135644,3.757732,57.524126,38.717508,0.000634,3.349610,0.285905,-6.588346,-3118554.211049,0.048047,22742.983993,3606.540000,0.297758,8,24.249389,3.584459,10,1.350486
20,40,19,513,0.513000,473344,0.135644,3.759634,57.526450,38.713071,0.000845,3.349543,0.285856,-6.587702,-3118249.420600,0.047390,22431.842405,3301.610000,0.312118,8,25.587460,3.811964,6,1.345556
20,40,20,540,0.540000,473344,0.135644,3.759634,57.527506,38.712226,0.000634,3.349530,0.285847,-6.588277,-3118521.258850,0.047966,22704.184903,2969.130000,0.327169,9,26.846409,3.646060,12,1.329284
20,40,21,567,0.567000,473344,0.135644,3.758577,57.524337,38.716240,0.000845,3.349585,0.285886,-6.588185,-3118478.064676,0.047860,22654.397061,2947.450000,0.342947,9,28.087709,3.904829,11,1.349332
20,40,22,594,0.594000,473344,0.135644,3.758577,57.515676,38.725113,0.000634,3.349670,0.285947,-6.588102,-3118438.513172,0.047773,22612.962684,2926.800000,0.359486,9,29.337140,4.161876,14,1.347594
20,40,23,621,0.621000,473344,0.135644,3.760901,57.517788,38.720254,0.001056,3.349606,0.285902,-6.587877,-3118332.248400,0.047539,22502.125554,2937.470000,0.376822,9,30.594375,4.409028,14,1.350906
20,40,24,648,0.648000,473344,0.135644,3.765126,57.506380,38.727437,0.001056,3.349636,0.285923,-6.588099,-3118437.021999,0.047765,22609.315024,2907.150000,0.394994,10,31.854042,4.233362,16,1.349016
20,40,25,675,0.675000,473344,0.135644,3.761112,57.512718,38.724479,0.001690,3.349653,0.285935,-6.588207,-3118488.408945,0.047866,22656.866939,2928.050000,0.414043,10,33.123020,4.478925,24,1.350414
20,40,26,702,0.702000,473344,0.135644,3.760901,57.512084,38.726170,0.000845,3.349653,0.285935,-6.587712,-3118254.158060,0.047372,22423.328532,2628.030000,0.454940,9,34.390607,5.200160,27,1.336354
20,40,27,729,0.729000,473344,0.135644,3.760901,57.504690,38.733775,0.000634,3.349725,0.285987,-6.588302,-3118533.334950,0.047962,22702.593447,2854.990000,0.695097,7,35.735422,6.891671,29,1.361507
20,40,28,756,0.756000,473344,0.135644,3.761957,57.504268,38.733141,0.000634,3.349708,0.285975,-6.588178,-3118474.334554,0.047841,22645.321316,2796.260000,0.476880,11,37.067436,4.825206,21,1.347380
20,40,29,783,0.783000,473344,0.135644,3.761957,57.504479,38.732719,0.000845,3.349708,0.285975,-6.588222,-3118495.360880,0.047884,22665.816901,2817.560000,0.523984,11,38.398901,5.086254,23,1.351075
20,40,30,810,0.810000,473344,0.135644,3.762169,57.518211,38.718564,0.001056,3.349577,0.285880,-6.588071,-3118423.768379,0.047729,22592.093907,2747.870000,0.663118,9,39.730022,6.411809,30,1.346066
20,40,31,837,0.837000,473344,0.135644,3.763225,57.514408,38.720888,0.001479,3.349598,0.285895,-6.588149,-3118460.989438,0.047794,22623.013141,2788.450000,0.695097,9,41.071446,6.729599,26,1.351669
20,40,32,864,0.864000,473344,0.135644,3.763225,57.508704,38.727015,0.001056,3.349640,0.285926,-6.587701,-3118248.784170,0.047305,22391.485823,1849.250000,0.695097,9,42.259291,7.044786,29,1.218145
20,40,33,891,0.891000,473344,0.135644,3.761535,57.515253,38.722578,0.000634,3.349615,0.285908,-6.588134,-3118453.907060,0.047742,22598.508835,2022.810000,0.728618,10,42.665601,6.748648,42,1.469146
20,40,34,918,0.918000,473344,0.135644,3.761112,57.521802,38.716240,0.000845,3.349551,0.285862,-6.588143,-3118457.770550,0.047747,22600.968232,2029.670000,0.763756,10,43.046654,7.090723,44,1.350773
20,40,35,945,0.945000,473344,0.135644,3.761746,57.530042,38.707156,0.001056,3.349467,0.285801,-6.588060,-3118418.601511,0.047657,22558.353610,1989.310000,0.763756,10,43.438946,7.431145,47,1.348440
20,40,36,972,0.972000,473344,0.135644,3.764070,57.538915,38.696381,0.000634,3.349327,0.285700,-6.588082,-3118429.228750,0.047666,22562.225743,1992.180000,0.800588,10,43.846396,7.772290,11,1.347316
20,40,37,999,0.999000,473344,0.135644,3.763436,57.548210,38.687297,0.001056,3.349260,0.285651,-6.588052,-3118415.110323,0.047639,22549.787537,2001.930000,0.839196,10,44.264018,8.109518,42,1.351183
20,40,38,1026,1.026000,473344,0.135644,3.764915,57.539760,38.694691,0.000634,3.349302,0.285682,-6.588004,-3118392.305491,0.047587,22525.027562,2002.220000,0.879667,10,44.722953,8.446714,45,1.349804
20,40,39,1053,1.053000,473344,0.135644,3.764070,57.542084,38.693001,0.000845,3.349298,0.285679,-6.587987,-3118384.008090,0.047565,22514.778329,2014.640000,0.879667,10,45.225463,8.776091,10,1.350838
