energy_kev,sp3_target,frame_index,step,time_ps,n_atoms,density_atoms_A3,sp_percent,sp2_percent,sp3_percent,defect_percent,mean_coord,elastic_modulus_rel,mean_pe_eV,total_pe_eV,mean_ke_eV,total_ke_eV,max_ke_atom_eV,threshold_cumulative_A,n_displaced_cumulative,max_dr_cumulative_A,mean_dr_cumulative_A,n_displaced_incremental,max_dr_incremental_A
25,40,0,0,0.000000,473344,0.135644,3.755620,57.583069,38.661312,0.000000,3.349057,0.285505,-6.588287,-3118526.306880,0.050086,23707.789671,4716.760000,0.000000,0,0.000000,0.000000,0,0.000000
25,40,1,27,0.027000,473344,0.135644,3.757732,57.573562,38.668495,0.000211,3.349112,0.285544,-6.587930,-3118357.148840,0.049714,23531.692552,4537.110000,0.019387,1,1.346611,1.346611,1,1.346611
25,40,2,54,0.054000,473344,0.135644,3.759000,57.565111,38.675255,0.000634,3.349175,0.285590,-6.588223,-3118495.610230,0.050001,23667.474890,4640.680000,0.039293,2,2.696997,1.392734,2,1.351172
25,40,3,81,0.081000,473344,0.135644,3.755197,57.567224,38.677368,0.000211,3.349226,0.285627,-6.588289,-3118527.075910,0.050063,23696.835751,4650.080000,0.057274,2,4.046959,2.114233,2,1.350264
25,40,4,108,0.108000,473344,0.135644,3.759845,57.561097,38.679058,0.000000,3.349192,0.285602,-6.588384,-3118572.220130,0.050157,23741.532661,4670.950000,0.075977,2,5.397433,2.835594,2,1.350613
25,40,5,135,0.135000,473344,0.135644,3.758577,57.565111,38.676100,0.000211,3.349171,0.285587,-6.588395,-3118577.153214,0.050158,23742.158250,4651.970000,0.096151,2,6.747032,3.555551,3,1.349688
25,40,6,162,0.162000,473344,0.135644,3.758366,57.558562,38.682649,0.000423,3.349243,0.285639,-6.588435,-3118596.226412,0.050192,23758.110678,4647.740000,0.116084,2,8.096635,4.274363,4,1.349690
25,40,7,189,0.189000,473344,0.135644,3.760690,57.562787,38.675678,0.000845,3.349158,0.285578,-6.588485,-3118619.749560,0.050239,23780.227154,4652.600000,0.146908,2,9.446566,4.991775,4,1.350046
25,40,8,216,0.216000,473344,0.135644,3.758155,57.580111,38.661312,0.000423,3.349032,0.285487,-6.588544,-3118647.883010,0.050290,23804.573689,4666.350000,0.185917,2,10.796744,5.707599,5,1.350278
25,40,9,243,0.243000,473344,0.135644,3.762169,57.578421,38.658988,0.000423,3.348968,0.285441,-6.588553,-3118651.806252,0.050297,23807.552430,4660.370000,0.214132,2,12.146525,6.421661,6,1.349844
25,40,10,270,0.270000,473344,0.135644,3.757732,57.579266,38.662579,0.000423,3.349057,0.285505,-6.588484,-3118619.247655,0.050223,23772.698978,4621.800000,0.246630,2,13.495312,7.133917,5,1.348889
25,40,11,297,0.297000,473344,0.135644,3.756676,57.583069,38.659199,0.001056,3.349053,0.285502,-6.588505,-3118629.487450,0.050237,23779.387786,4630.070000,0.270991,2,14.845316,7.845848,6,1.350307
25,40,12,324,0.324000,473344,0.135644,3.754775,57.576519,38.668072,0.000634,3.349146,0.285569,-6.588253,-3118510.073870,0.049972,23653.942609,4497.960000,0.177363,4,16.190313,4.372867,7,1.345619
25,40,13,351,0.351000,473344,0.135644,3.754986,57.563632,38.680537,0.000845,3.349272,0.285660,-6.588453,-3118604.852970,0.050169,23746.975664,4590.480000,0.194882,4,17.539557,4.738297,7,1.353063
25,40,14,378,0.378000,473344,0.135644,3.752239,57.564266,38.682861,0.000634,3.349319,0.285694,-6.588493,-3118623.451590,0.050203,23763.363718,4615.910000,0.204281,5,18.886209,4.129317,8,1.350292
25,40,15,405,0.405000,473344,0.135644,3.754563,57.563421,38.681804,0.000211,3.349277,0.285663,-6.588472,-3118613.597270,0.050178,23751.681475,4616.630000,0.214132,6,20.233790,3.739578,9,1.350428
25,40,16,432,0.432000,473344,0.135644,3.755620,57.552647,38.691311,0.000423,3.349365,0.285728,-6.588400,-3118579.440410,0.050106,23717.444621,4591.020000,0.224459,6,21.580373,4.003918,10,1.348984
25,40,17,459,0.459000,473344,0.135644,3.756887,57.549266,38.693001,0.000845,3.349378,0.285737,-6.588400,-3118579.671445,0.050103,23715.919466,4602.440000,0.246630,6,22.928447,4.267683,9,1.350366
25,40,18,486,0.486000,473344,0.135644,3.758577,57.550745,38.690044,0.000634,3.349327,0.285700,-6.588411,-3118584.855155,0.050114,23721.161621,4619.470000,0.258523,6,24.276979,4.530367,9,1.350485
25,40,19,513,0.513000,473344,0.135644,3.756887,57.544830,38.697649,0.000634,3.349420,0.285767,-6.587672,-3118234.948590,0.049364,23365.918171,4268.670000,0.270991,6,25.621373,4.791364,9,1.345940
25,40,20,540,0.540000,473344,0.135644,3.756465,57.539126,38.703987,0.000423,3.349484,0.285813,-6.588339,-3118550.863354,0.050024,23678.366815,4164.830000,0.284059,7,26.932312,4.385435,6,1.337818
25,40,21,567,0.567000,473344,0.135644,3.755831,57.538492,38.705043,0.000634,3.349505,0.285828,-6.588183,-3118477.027578,0.049856,23598.979416,4114.710000,0.297758,7,28.237981,4.665070,10,1.348853
25,40,22,594,0.594000,473344,0.135644,3.757310,57.528351,38.713705,0.000634,3.349577,0.285880,-6.588233,-3118500.556090,0.049902,23620.621263,4149.790000,0.297758,8,29.547076,4.366535,6,1.350462
25,40,23,621,0.621000,473344,0.135644,3.757943,57.528774,38.712649,0.000634,3.349551,0.285862,-6.588199,-3118484.611224,0.049868,23604.653547,4135.290000,0.312118,8,30.858606,4.614305,18,1.349350
25,40,24,648,0.648000,473344,0.135644,3.756465,57.522225,38.720043,0.001268,3.349653,0.285935,-6.588114,-3118444.077486,0.049781,23563.728199,4111.450000,0.327169,8,32.174244,4.860689,12,1.349531
25,40,25,675,0.675000,473344,0.135644,3.756253,57.523070,38.719832,0.000845,3.349644,0.285929,-6.588131,-3118452.294240,0.049810,23577.063786,4127.720000,0.342947,8,33.494429,5.105328,21,1.349589
25,40,26,702,0.702000,473344,0.135644,3.758366,57.521802,38.719409,0.000423,3.349610,0.285905,-6.588263,-3118514.804523,0.049942,23639.940031,4166.270000,0.359486,8,34.818275,5.348176,22,1.351440
25,40,27,729,0.729000,473344,0.135644,3.763225,57.515253,38.720888,0.000634,3.349581,0.285883,-6.588230,-3118499.300817,0.049907,23623.274277,4143.400000,0.376822,8,36.142099,5.590001,20,1.349720
25,40,28,756,0.756000,473344,0.135644,3.760901,57.516943,38.721522,0.000634,3.349610,0.285905,-6.588179,-3118475.118812,0.049846,23594.447114,4122.790000,0.376822,9,37.468431,5.227268,22,1.348707
25,40,29,783,0.783000,473344,0.135644,3.757521,57.518211,38.723212,0.001056,3.349670,0.285947,-6.588193,-3118481.795998,0.049862,23601.786249,4122.710000,0.414043,8,38.800055,6.083223,23,1.350346
25,40,30,810,0.810000,473344,0.135644,3.758155,57.517366,38.723423,0.001056,3.349665,0.285944,-6.588175,-3118472.918469,0.049844,23593.204749,4121.380000,0.523984,7,40.131702,7.171101,21,1.349768
25,40,31,837,0.837000,473344,0.135644,3.757943,57.511662,38.729338,0.001056,3.349729,0.285990,-6.588088,-3118432.130750,0.049751,23549.215319,4125.660000,0.549253,7,41.462480,7.451041,24,1.350014
25,40,32,864,0.864000,473344,0.135644,3.758155,57.515464,38.725536,0.000845,3.349682,0.285957,-6.587753,-3118273.581120,0.049414,23389.913412,3915.860000,0.575741,7,42.788070,7.721692,28,1.344684
25,40,33,891,0.891000,473344,0.135644,3.758577,57.517155,38.723001,0.001268,3.349661,0.285941,-6.586745,-3117796.020060,0.048406,22912.761302,3304.830000,0.632610,7,44.103667,7.988415,25,1.339717
25,40,34,918,0.918000,473344,0.135644,3.757732,57.526450,38.714761,0.001056,3.349589,0.285889,-6.588201,-3118485.406506,0.049853,23597.706263,3673.190000,0.414043,15,45.319450,4.110875,26,1.347935
25,40,35,945,0.945000,473344,0.135644,3.757943,57.523492,38.717719,0.000845,3.349589,0.285889,-6.588223,-3118495.929685,0.049868,23604.922520,3710.030000,0.454940,14,46.532599,4.561110,27,1.351128
25,40,36,972,0.972000,473344,0.135644,3.758155,57.519478,38.721311,0.001056,3.349627,0.285917,-6.587752,-3118272.716215,0.049392,23379.635611,3505.390000,0.454940,15,47.749870,4.463952,28,1.346801
25,40,37,999,0.999000,473344,0.135644,3.758155,57.516098,38.724268,0.001479,3.349674,0.285950,-6.588040,-3118409.097638,0.049676,23513.854658,2945.670000,0.499878,16,48.773693,4.384678,36,1.324425
25,40,38,1026,1.026000,473344,0.135644,3.757098,57.518000,38.723001,0.001901,3.349682,0.285957,-6.587797,-3118294.404132,0.049431,23397.833760,2934.670000,0.549253,15,49.731240,4.854767,14,1.349854
25,40,39,1053,1.053000,473344,0.135644,3.759211,57.524337,38.716029,0.000423,3.349568,0.285874,-6.587830,-3118309.741690,0.049464,23413.535627,2952.190000,0.575741,15,50.706303,5.060526,16,1.350338
25,40,40,1080,1.080000,473344,0.135644,3.759845,57.527506,38.712015,0.000634,3.349517,0.285837,-6.587917,-3118351.168872,0.049549,23453.944711,2935.080000,0.575741,15,51.701078,5.262803,24,1.349459
25,40,41,1107,1.107000,473344,0.135644,3.762380,57.537013,38.699762,0.000845,3.349374,0.285734,-6.587773,-3118282.637226,0.049404,23385.129702,2658.130000,0.575741,17,52.657517,4.893470,22,1.332012
25,40,42,1134,1.134000,473344,0.135644,3.763014,57.537858,38.697438,0.001690,3.349361,0.285725,-6.587912,-3118348.692120,0.049546,23452.373346,2722.410000,0.632610,16,53.486826,5.354457,23,1.358158
25,40,43,1161,1.161000,473344,0.135644,3.762380,57.544407,38.691734,0.001479,3.349298,0.285679,-6.588013,-3118396.557422,0.049650,23501.672843,2716.540000,0.603506,19,54.333160,4.786936,50,1.349135
25,40,44,1188,1.188000,473344,0.135644,3.762591,57.536802,38.698283,0.002324,3.349361,0.285725,-6.588065,-3118420.843845,0.049703,23526.561745,2725.540000,0.695097,17,55.201017,5.481637,55,1.350770
25,40,45,1215,1.215000,473344,0.135644,3.761535,57.544830,38.690889,0.002746,3.349298,0.285679,-6.587888,-3118337.025830,0.049521,23440.382055,2631.960000,0.800588,15,56.102492,6.344169,60,1.342178
25,40,46,1242,1.242000,473344,0.135644,3.760690,57.535957,38.700184,0.003169,3.349425,0.285770,-6.587890,-3118338.209680,0.049516,23438.100418,2662.910000,0.523984,29,57.069782,3.718484,68,1.353986
25,40,47,1269,1.269000,473344,0.135644,3.761112,57.545675,38.690255,0.002958,3.349327,0.285700,-6.587856,-3118322.185510,0.049481,23421.584245,2666.990000,0.663118,23,58.028264,4.711161,79,1.348859
25,40,48,1296,1.296000,473344,0.135644,3.760901,57.530887,38.705255,0.002958,3.349475,0.285807,-6.587575,-3118189.304498,0.049196,23286.719458,2573.580000,0.695097,23,58.982036,4.877455,65,1.347764
25,40,49,1323,1.323000,473344,0.135644,3.762591,57.540816,38.694269,0.002324,3.349344,0.285712,-6.587686,-3118241.775802,0.049303,23337.206774,2659.750000,0.728618,24,59.877633,4.859455,53,1.351159
25,40,50,1350,1.350000,473344,0.135644,3.763436,57.540605,38.693846,0.002113,3.349327,0.285700,-6.586816,-3117830.022820,0.048429,22923.359958,2329.400000,0.728618,25,60.764045,4.840060,55,1.341183
25,40,51,1377,1.377000,473344,0.135644,3.764704,57.543562,38.690677,0.001056,3.349264,0.285654,-6.587690,-3118243.344018,0.049310,23340.672652,1561.310000,0.763756,26,61.350070,4.849063,20,1.070891
25,40,52,1404,1.404000,473344,0.135644,3.766817,57.554759,38.676312,0.002113,3.349112,0.285544,-6.587771,-3118282.054729,0.049384,23375.845033,1554.700000,0.695097,33,61.869982,4.146746,111,1.350137
25,40,53,1431,1.431000,473344,0.135644,3.765549,57.555604,38.675889,0.002958,3.349120,0.285551,-6.587563,-3118183.444988,0.049169,23274.070928,1465.250000,0.728618,34,62.417060,4.230316,100,1.341336
25,40,54,1458,1.458000,473344,0.135644,3.763648,57.558985,38.673988,0.003380,3.349137,0.285563,-6.587418,-3118114.717187,0.049016,23201.565991,1503.130000,0.763756,35,62.964528,4.311919,112,1.353951
25,40,55,1485,1.485000,473344,0.135644,3.763648,57.552858,38.680114,0.003380,3.349179,0.285593,-6.587417,-3118114.420943,0.049014,23200.498676,1201.040000,0.800588,34,63.514058,4.596835,118,1.191346
