rdf_peak1_r_A,rdf_peak1_g,coordination_at_cutoff,adf_peak_theta_deg,adf_peak_density,sk_peak_k_invA,sk_peak,label,frame_index,step,time_ps,sp3_percent
1.503750,5.015307,3.403960,109.500000,0.043406,5.437675,1.849685,initial,0,0,0.000000,38.661312
1.503750,4.976721,3.406440,109.500000,0.043131,5.437675,1.849865,peak,113,6600,6.600000,38.898560
1.503750,4.983298,3.407302,109.500000,0.043199,5.437675,1.850829,final,141,9960,9.960000,39.003558
