theta_deg,adf
0.50000000,0.00000000
1.50000000,0.00000000
2.50000000,0.00000000
3.50000000,0.00000000
4.50000000,0.00000000
5.50000000,0.00000000
6.50000000,0.00000000
7.50000000,0.00000000
8.50000000,0.00000000
9.50000000,0.00000000
10.50000000,0.00000000
11.50000000,0.00000000
12.50000000,0.00000000
13.50000000,0.00000000
14.50000000,0.00000000
15.50000000,0.00000000
16.50000000,0.00000000
17.50000000,0.00000000
18.50000000,0.00000000
19.50000000,0.00000000
20.50000000,0.00000000
21.50000000,0.00000000
22.50000000,0.00000000
23.50000000,0.00000000
24.50000000,0.00000000
25.50000000,0.00000000
26.50000000,0.00000000
27.50000000,0.00000000
28.50000000,0.00000000
29.50000000,0.00000000
30.50000000,0.00000000
31.50000000,0.00000000
32.50000000,0.00000000
33.50000000,0.00000000
34.50000000,0.00000000
35.50000000,0.00000000
36.50000000,0.00000064
37.50000000,0.00000064
38.50000000,0.00000000
39.50000000,0.00000127
40.50000000,0.00000191
41.50000000,0.00001592
42.50000000,0.00003692
43.50000000,0.00006366
44.50000000,0.00009613
45.50000000,0.00015788
46.50000000,0.00019226
47.50000000,0.00022600
48.50000000,0.00023237
49.50000000,0.00024701
50.50000000,0.00023746
51.50000000,0.00024256
52.50000000,0.00020563
53.50000000,0.00019354
54.50000000,0.00015725
55.50000000,0.00016361
56.50000000,0.00014579
57.50000000,0.00012605
58.50000000,0.00012796
59.50000000,0.00010695
60.50000000,0.00010950
61.50000000,0.00011523
62.50000000,0.00009613
63.50000000,0.00007576
64.50000000,0.00006557
65.50000000,0.00008213
66.50000000,0.00011905
67.50000000,0.00013560
68.50000000,0.00013115
69.50000000,0.00011523
70.50000000,0.00007831
71.50000000,0.00006939
72.50000000,0.00008976
73.50000000,0.00011523
74.50000000,0.00017762
75.50000000,0.00021582
76.50000000,0.00036925
77.50000000,0.00048830
78.50000000,0.00071112
79.50000000,0.00088619
80.50000000,0.00100397
81.50000000,0.00107909
82.50000000,0.00107336
83.50000000,0.00104407
84.50000000,0.00104917
85.50000000,0.00109564
86.50000000,0.00119432
87.50000000,0.00131973
88.50000000,0.00147825
89.50000000,0.00160240
90.50000000,0.00189079
91.50000000,0.00216200
92.50000000,0.00258790
93.50000000,0.00319652
94.50000000,0.00391591
95.50000000,0.00479000
96.50000000,0.00593530
97.50000000,0.00741929
98.50000000,0.00935655
99.50000000,0.01155865
100.50000000,0.01402050
101.50000000,0.01697892
102.50000000,0.02028876
103.50000000,0.02366099
104.50000000,0.02717837
105.50000000,0.03027749
106.50000000,0.03337278
107.50000000,0.03604981
108.50000000,0.03814815
109.50000000,0.03967096
110.50000000,0.04062400
111.50000000,0.04118614
112.50000000,0.04098752
113.50000000,0.04052469
114.50000000,0.03982567
115.50000000,0.03890573
116.50000000,0.03761656
117.50000000,0.03611475
118.50000000,0.03392920
119.50000000,0.03188243
120.50000000,0.02935310
121.50000000,0.02663278
122.50000000,0.02378386
123.50000000,0.02121506
124.50000000,0.01864689
125.50000000,0.01629709
126.50000000,0.01420831
127.50000000,0.01232261
128.50000000,0.01054387
129.50000000,0.00908662
130.50000000,0.00794132
131.50000000,0.00693163
132.50000000,0.00594421
133.50000000,0.00525920
134.50000000,0.00476390
135.50000000,0.00418330
136.50000000,0.00366572
137.50000000,0.00336141
138.50000000,0.00303927
139.50000000,0.00277762
140.50000000,0.00252487
141.50000000,0.00229887
142.50000000,0.00223903
143.50000000,0.00199838
144.50000000,0.00192199
145.50000000,0.00184941
146.50000000,0.00168389
147.50000000,0.00161131
148.50000000,0.00151709
149.50000000,0.00144197
150.50000000,0.00141205
151.50000000,0.00127008
152.50000000,0.00126371
153.50000000,0.00115676
154.50000000,0.00110710
155.50000000,0.00100842
156.50000000,0.00098996
157.50000000,0.00092821
158.50000000,0.00089956
159.50000000,0.00082889
160.50000000,0.00072385
161.50000000,0.00067928
162.50000000,0.00061307
163.50000000,0.00059652
164.50000000,0.00055132
165.50000000,0.00048702
166.50000000,0.00046920
167.50000000,0.00042718
168.50000000,0.00038261
169.50000000,0.00033168
170.50000000,0.00031322
171.50000000,0.00027439
172.50000000,0.00023619
173.50000000,0.00022027
174.50000000,0.00016234
175.50000000,0.00014006
176.50000000,0.00011396
177.50000000,0.00007385
178.50000000,0.00004838
179.50000000,0.00002419
