r_A,g_r,g_r_error,n_r
0.51375000,0.00000000,0.00043156,0.00000000
0.54125000,0.00000000,0.00038882,0.00000000
0.56875000,0.00000000,0.00035213,0.00000000
0.59625000,0.00000000,0.00032039,0.00000000
0.62375000,0.00000000,0.00029276,0.00000000
0.65125000,0.00000000,0.00026856,0.00000000
0.67875000,0.00000000,0.00024724,0.00000000
0.70625000,0.00000000,0.00022836,0.00000000
0.73375000,0.00000000,0.00021156,0.00000000
0.76125000,0.00000000,0.00019656,0.00000000
0.78875000,0.00000000,0.00018309,0.00000000
0.81625000,0.00000000,0.00017096,0.00000000
0.84375000,0.00000000,0.00016000,0.00000000
0.87125000,0.00000000,0.00015006,0.00000000
0.89875000,0.00000000,0.00014101,0.00000000
0.92625000,0.00000000,0.00013276,0.00000000
0.95375000,0.00000000,0.00012522,0.00000000
0.98125000,0.00000000,0.00011830,0.00000000
1.00875000,0.00000000,0.00011194,0.00000000
1.03625000,0.00000000,0.00010607,0.00000000
1.06375000,0.00000000,0.00010066,0.00000000
1.09125000,0.00009565,0.00009565,0.00000423
1.11875000,0.00000000,0.00009101,0.00000423
1.14625000,0.00000000,0.00008669,0.00000423
1.17375000,0.00016536,0.00011692,0.00001268
1.20125000,0.00007894,0.00007894,0.00001690
1.22875000,0.00030177,0.00015088,0.00003380
1.25625000,0.00108263,0.00027953,0.00009718
1.28375000,0.02287742,0.00125746,0.00149574
1.31125000,0.16906340,0.00334664,0.01227860
1.33875000,0.68828679,0.00661386,0.05803813
1.36625000,1.96585377,0.01095255,0.19415900
1.39375000,3.23024209,0.01376267,0.42692418
1.42125000,4.07584005,0.01516031,0.73232575
1.44875000,5.10797551,0.01664949,1.13001961
1.47625000,5.75005535,0.01733589,1.59486124
1.50375000,5.30507180,0.01634707,2.03985685
1.53125000,4.03899607,0.01400750,2.39115738
1.55875000,2.63629320,0.01111707,2.62876470
1.58625000,1.53931209,0.00834760,2.77244034
1.61375000,0.87049074,0.00617044,2.85653140
1.64125000,0.49850261,0.00459123,2.90634296
1.66875000,0.29720272,0.00348662,2.93704367
1.69625000,0.19516734,0.00277961,2.95787419
1.72375000,0.13842638,0.00230359,2.97313159
1.75125000,0.11071479,0.00202780,2.98572708
1.77875000,0.08330546,0.00173178,2.99550433
1.80625000,0.06675320,0.00152661,3.00358302
1.83375000,0.05914308,0.00141541,3.01096032
1.86125000,0.06289925,0.00143810,3.01904323
1.88875000,0.08537926,0.00165109,3.03034157
1.91625000,0.10649014,0.00181749,3.04484688
1.94375000,0.07202368,0.00147356,3.05494102
1.97125000,0.01829115,0.00073223,3.05757758
1.99875000,0.00427675,0.00034920,3.05821136
2.02625000,0.00127618,0.00018816,3.05840573
2.05375000,0.00083716,0.00015036,3.05853671
2.08125000,0.00120962,0.00017835,3.05873107
2.10875000,0.00202356,0.00022767,3.05906487
2.13625000,0.00726321,0.00042578,3.06029442
2.16375000,0.03505821,0.00092354,3.06638301
2.19125000,0.18111947,0.00207282,3.09864285
2.21875000,0.46847227,0.00329233,3.18419162
2.24625000,0.51409575,0.00340670,3.28041340
2.27375000,0.61345985,0.00367638,3.39806145
2.30125000,0.84315901,0.00425854,3.56369575
2.32875000,1.16820049,0.00495343,3.79870031
2.35625000,1.52613957,0.00559559,4.11300450
2.38375000,1.84365173,0.00607923,4.50161405
2.41125000,2.09033461,0.00639935,4.95244473
2.43875000,2.24410952,0.00655579,5.44754344
2.46625000,2.30689114,0.00657274,5.96803593
2.49375000,2.27296056,0.00645228,6.49237341
2.52125000,2.15392538,0.00621254,7.00027042
2.54875000,1.96710708,0.00587296,7.47428931
2.57625000,1.79497436,0.00555023,7.91621316
2.60375000,1.59618516,0.00517860,8.31762946
2.63125000,1.40969639,0.00481582,8.67967482
2.65875000,1.25999690,0.00450585,9.01007301
2.68625000,1.12823937,0.00422011,9.31207325
2.71375000,1.02611344,0.00398380,9.59238947
2.74125000,0.94836191,0.00379148,9.85674266
2.76875000,0.88970697,0.00363588,10.10974682
2.79625000,0.85013589,0.00351915,10.35632436
2.82375000,0.82618669,0.00343544,10.60069210
2.85125000,0.80728620,0.00336317,10.84414295
2.87875000,0.79515248,0.00330591,11.08858251
2.90625000,0.79910958,0.00328277,11.33895433
2.93375000,0.79325072,0.00324005,11.59221623
2.96125000,0.79597874,0.00321548,11.85113575
2.98875000,0.79474906,0.00318343,12.11447911
3.01625000,0.79673697,0.00315835,12.38336178
3.04375000,0.79349504,0.00312344,12.65605564
3.07125000,0.79123115,0.00309105,12.93290715
3.09875000,0.79270634,0.00306648,13.21526416
3.12625000,0.79655973,0.00304688,13.50405202
3.15375000,0.80083443,0.00302841,13.79952001
3.18125000,0.80424640,0.00300862,14.10144419
3.20875000,0.80189282,0.00297846,14.40771194
3.23625000,0.81746935,0.00298170,14.72530337
3.26375000,0.81968439,0.00296058,15.04919044
3.29125000,0.82510797,0.00294554,15.38073790
3.31875000,0.83941304,0.00294634,15.72369355
3.34625000,0.84801146,0.00293706,16.07592787
3.37375000,0.86093253,0.00293523,16.43943094
3.40125000,0.87441946,0.00293421,16.81467178
3.42875000,0.89480564,0.00294441,17.20489538
3.45625000,0.90898074,0.00294403,17.60768490
3.48375000,0.94079652,0.00297147,18.03123310
3.51125000,0.97692192,0.00300426,18.47801599
3.53875000,1.01902806,0.00304448,18.95138419
3.56625000,1.06465907,0.00308790,19.45366583
3.59375000,1.11428274,0.00313487,19.98749746
3.62125000,1.16449691,0.00318039,20.55395653
3.64875000,1.20963700,0.00321702,21.15134448
3.67625000,1.24373526,0.00323764,21.77486564
3.70375000,1.26217683,0.00323734,22.41713426
3.73125000,1.26450318,0.00321644,23.07017729
3.75875000,1.26421598,0.00319255,23.73273138
3.78625000,1.23489795,0.00313239,24.38942503
3.81375000,1.19914885,0.00306446,25.03640481
3.84125000,1.15425775,0.00298503,25.66817790
3.86875000,1.11145338,0.00290834,26.28526399
3.89625000,1.05657010,0.00281561,26.88024777
3.92375000,1.01131567,0.00273534,27.45781504
3.95125000,0.97373677,0.00266536,28.02174317
3.97875000,0.93190881,0.00258946,28.56898577
4.00625000,0.90759114,0.00253791,29.10934120
4.03375000,0.88370073,0.00248722,29.64272073
4.06125000,0.87876929,0.00246347,30.18038044
4.08875000,0.87476905,0.00244133,30.72286540
4.11625000,0.86781208,0.00241536,31.26829959
4.14375000,0.88447180,0.00242225,31.83165731
4.17125000,0.88154176,0.00240229,32.40062618
4.19875000,0.89328529,0.00240240,32.98480175
4.22625000,0.90530635,0.00240277,33.58461922
4.25375000,0.91738984,0.00240312,34.20037858
4.28125000,0.92897108,0.00240271,34.83199956
4.30875000,0.93402299,0.00239385,35.47523999
4.33625000,0.94911003,0.00239781,36.13724057
4.36375000,0.95446027,0.00238940,36.81144369
4.39125000,0.96351287,0.00238567,37.50064646
4.41875000,0.97077929,0.00237975,38.20377146
4.44625000,0.97741250,0.00237309,38.92053982
4.47375000,0.99349033,0.00237783,39.65813869
4.50125000,0.99746079,0.00236802,40.40781757
4.52875000,1.00822619,0.00236630,41.17487493
4.55625000,1.01949379,0.00236513,41.95995302
4.58375000,1.02893382,0.00236180,42.76189410
4.61125000,1.04304253,0.00236375,43.58461499
4.63875000,1.04969977,0.00235723,44.42249189
4.66625000,1.06094082,0.00235585,45.27941201
4.69375000,1.07128360,0.00235344,46.15491482
4.72125000,1.08456412,0.00235419,47.05168757
4.74875000,1.08579307,0.00234188,47.95996569
4.77625000,1.08693687,0.00232962,48.87976186
4.80375000,1.09023423,0.00231979,49.81300281
4.83125000,1.08924804,0.00230555,50.75610550
4.85875000,1.08408895,0.00228706,51.70545734
4.88625000,1.08296503,0.00227301,52.66459066
4.91375000,1.07817052,0.00225528,53.63025622
4.94125000,1.06588114,0.00222991,54.59563024
4.96875000,1.05637605,0.00220766,55.56307463
4.99625000,1.04465143,0.00218329,56.53040072
5.02375000,1.03125557,0.00215737,57.49586347
5.05125000,1.02344127,0.00213748,58.46452897
5.07875000,1.01526720,0.00211740,59.43594933
5.10625000,1.00169628,0.00209188,60.40479229
5.13375000,0.98979628,0.00206827,61.37246485
5.16125000,0.98395037,0.00205117,62.34475561
5.18875000,0.97607402,0.00203212,63.31956885
5.21625000,0.96456195,0.00200945,64.29312297
5.24375000,0.96376713,0.00199809,65.27615857
5.27125000,0.95660699,0.00198026,66.26215184
5.29875000,0.95528773,0.00196863,67.25708576
5.32625000,0.95457904,0.00195774,68.26162791
5.35375000,0.95210181,0.00194515,69.27393608
5.38125000,0.95288213,0.00193600,70.29750879
5.40875000,0.95534561,0.00192865,71.33424317
5.43625000,0.95702067,0.00192057,72.38338291
5.46375000,0.96114342,0.00191502,73.44772935
5.49125000,0.96324328,0.00190751,74.52516563
5.51875000,0.96699645,0.00190170,75.61766073
5.54625000,0.97388655,0.00189900,76.72893287
5.57375000,0.97580188,0.00189149,77.85345964
5.60125000,0.98414955,0.00189023,78.99882538
5.62875000,0.98415209,0.00188100,80.15546833
5.65625000,0.98975820,0.00187718,81.33009397
5.68375000,0.99779096,0.00187566,82.52579519
5.71125000,0.99654072,0.00186546,83.73158211
5.73875000,1.00166012,0.00186128,84.95526298
5.76625000,1.00530416,0.00185577,86.19519419
5.79375000,1.01149099,0.00185264,87.45468412
5.82125000,1.01012818,0.00184265,88.72444565
5.84875000,1.01503281,0.00183843,90.01245606
5.87625000,1.01596854,0.00183067,91.31380560
5.90375000,1.01754219,0.00182355,92.62939849
5.93125000,1.01850880,0.00181596,93.95853755
5.95875000,1.02080973,0.00180962,95.30306078
5.98625000,1.02031418,0.00180087,96.65936401
