k_invA,S_k
0.20000000,0.59490867
0.23967936,0.59419533
0.27935872,0.59343722
0.31903808,0.59267515
0.35871743,0.59195547
0.39839679,0.59132969
0.43807615,0.59085407
0.47775551,0.59058911
0.51743487,0.59059888
0.55711423,0.59095026
0.59679359,0.59171203
0.63647295,0.59295377
0.67615230,0.59474459
0.71583166,0.59715164
0.75551102,0.60023852
0.79519038,0.60406339
0.83486974,0.60867701
0.87454910,0.61412071
0.91422846,0.62042417
0.95390782,0.62760331
0.99358717,0.63565830
1.03326653,0.64457165
1.07294589,0.65430664
1.11262525,0.66480622
1.15230461,0.67599226
1.19198397,0.68776555
1.23166333,0.70000637
1.27134269,0.71257590
1.31102204,0.72531836
1.35070140,0.73806403
1.39038076,0.75063304
1.43006012,0.76283988
1.46973948,0.77449854
1.50941884,0.78542823
1.54909820,0.79545932
1.58877756,0.80443953
1.62845691,0.81223989
1.66813627,0.81876045
1.70781563,0.82393531
1.74749499,0.82773684
1.78717435,0.83017875
1.82685371,0.83131787
1.86653307,0.83125443
1.90621242,0.83013077
1.94589178,0.82812828
1.98557114,0.82546281
2.02525050,0.82237834
2.06492986,0.81913929
2.10460922,0.81602161
2.14428858,0.81330281
2.18396794,0.81125156
2.22364729,0.81011688
2.26332665,0.81011774
2.30300601,0.81143308
2.34268537,0.81419310
2.38236473,0.81847188
2.42204409,0.82428193
2.46172345,0.83157089
2.50140281,0.84022054
2.54108216,0.85004844
2.58076152,0.86081210
2.62044088,0.87221561
2.66012024,0.88391868
2.69979960,0.89554771
2.73947896,0.90670851
2.77915832,0.91700033
2.81883768,0.92603048
2.85851703,0.93342921
2.89819639,0.93886403
2.93787575,0.94205301
2.97755511,0.94277644
3.01723447,0.94088641
3.05691383,0.93631373
3.09659319,0.92907202
3.13627255,0.91925858
3.17595190,0.90705218
3.21563126,0.89270750
3.25531062,0.87654668
3.29498998,0.85894814
3.33466934,0.84033314
3.37434870,0.82115069
3.41402806,0.80186125
3.45370741,0.78292014
3.49338677,0.76476119
3.53306613,0.74778141
3.57274549,0.73232737
3.61242485,0.71868383
3.65210421,0.70706525
3.69178357,0.69761044
3.73146293,0.69038069
3.77114228,0.68536158
3.81082164,0.68246812
3.85050100,0.68155339
3.89018036,0.68242001
3.92985972,0.68483406
3.96953908,0.68854084
4.00921844,0.69328163
4.04889780,0.69881086
4.08857715,0.70491262
4.12825651,0.71141597
4.16793587,0.71820808
4.20761523,0.72524459
4.24729459,0.73255666
4.28697395,0.74025425
4.32665331,0.74852525
4.36633267,0.75763058
4.40601202,0.76789514
4.44569138,0.77969500
4.48537074,0.79344126
4.52505010,0.80956120
4.56472946,0.82847731
4.60440882,0.85058538
4.64408818,0.87623220
4.68376754,0.90569406
4.72344689,0.93915695
4.76312625,0.97669925
4.80280561,1.01827789
4.84248497,1.06371854
4.88216433,1.11271037
4.92184369,1.16480582
4.96152305,1.21942547
5.00120240,1.27586795
5.04088176,1.33332472
5.08056112,1.39089924
5.12024048,1.44762982
5.15991984,1.50251554
5.19959920,1.55454422
5.23927856,1.60272147
5.27895792,1.64609977
5.31863727,1.68380659
5.35831663,1.71507043
5.39799599,1.73924399
5.43767535,1.75582347
5.47735471,1.76446344
5.51703407,1.76498677
5.55671343,1.75738914
5.59639279,1.74183826
5.63607214,1.71866768
5.67575150,1.68836550
5.71543086,1.65155855
5.75511022,1.60899257
5.79478958,1.56150915
5.83446894,1.51002038
5.87414830,1.45548205
5.91382766,1.39886647
5.95350701,1.34113572
5.99318637,1.28321641
6.03286573,1.22597665
6.07254509,1.17020602
6.11222445,1.11659910
6.15190381,1.06574294
6.19158317,1.01810885
6.23126253,0.97404841
6.27094188,0.93379386
6.31062124,0.89746234
6.35030060,0.86506391
6.38997996,0.83651249
6.42965932,0.81163952
6.46933868,0.79020921
6.50901804,0.77193512
6.54869739,0.75649699
6.58837675,0.74355737
6.62805611,0.73277729
6.66773547,0.72383039
6.70741483,0.71641522
6.74709419,0.71026503
6.78677355,0.70515521
6.82645291,0.70090793
6.86613226,0.69739419
6.90581162,0.69453332
6.94549098,0.69229019
6.98517034,0.69067047
7.02484970,0.68971424
7.06452906,0.68948847
7.10420842,0.69007878
7.14388778,0.69158090
7.18356713,0.69409234
7.22324649,0.69770462
7.26292585,0.70249634
7.30260521,0.70852753
7.34228457,0.71583523
7.38196393,0.72443067
7.42164329,0.73429788
7.46132265,0.74539378
7.50100200,0.75764963
7.54068136,0.77097363
7.58036072,0.78525441
7.62004008,0.80036534
7.65971944,0.81616907
7.69939880,0.83252231
7.73907816,0.84928045
7.77875752,0.86630181
7.81843687,0.88345126
7.85811623,0.90060320
7.89779559,0.91764360
7.93747495,0.93447130
7.97715431,0.95099825
8.01683367,0.96714913
8.05651303,0.98286011
8.09619238,0.99807710
8.13587174,1.01275358
8.17555110,1.02684824
8.21523046,1.04032255
8.25490982,1.05313851
8.29458918,1.06525673
8.33426854,1.07663498
8.37394790,1.08722727
8.41362725,1.09698368
8.45330661,1.10585080
8.49298597,1.11377285
8.53266533,1.12069341
8.57234469,1.12655774
8.61202405,1.13131542
8.65170341,1.13492326
8.69138277,1.13734843
8.73106212,1.13857127
8.77074148,1.13858814
8.81042084,1.13741361
8.85010020,1.13508230
8.88977956,1.13164993
8.92945892,1.12719374
8.96913828,1.12181204
9.00881764,1.11562299
9.04849699,1.10876262
9.08817635,1.10138217
9.12785571,1.09364472
9.16753507,1.08572141
9.20721443,1.07778730
9.24689379,1.07001696
9.28657315,1.06258005
9.32625251,1.05563707
9.36593186,1.04933530
9.40561122,1.04380512
9.44529058,1.03915696
9.48496994,1.03547876
9.52464930,1.03283408
9.56432866,1.03126105
9.60400802,1.03077190
9.64368737,1.03135322
9.68336673,1.03296695
9.72304609,1.03555183
9.76272545,1.03902546
9.80240481,1.04328676
9.84208417,1.04821863
9.88176353,1.05369103
9.92144289,1.05956394
9.96112224,1.06569054
10.00080160,1.07192022
10.04048096,1.07810147
10.08016032,1.08408465
10.11983968,1.08972448
10.15951904,1.09488230
10.19919840,1.09942809
10.23887776,1.10324223
10.27855711,1.10621697
10.31823647,1.10825776
10.35791583,1.10928426
10.39759519,1.10923122
10.43727455,1.10804912
10.47695391,1.10570474
10.51663327,1.10218146
10.55631263,1.09747947
10.59599198,1.09161575
10.63567134,1.08462399
10.67535070,1.07655415
10.71503006,1.06747199
10.75470942,1.05745821
10.79438878,1.04660749
10.83406814,1.03502718
10.87374749,1.02283578
10.91342685,1.01016113
10.95310621,0.99713844
10.99278557,0.98390802
11.03246493,0.97061287
11.07214429,0.95739619
11.11182365,0.94439877
11.15150301,0.93175642
11.19118236,0.91959744
11.23086172,0.90804030
11.27054108,0.89719146
11.31022044,0.88714362
11.34989980,0.87797416
11.38957916,0.86974415
11.42925852,0.86249774
11.46893788,0.85626199
11.50861723,0.85104724
11.54829659,0.84684791
11.58797595,0.84364378
11.62765531,0.84140157
11.66733467,0.84007691
11.70701403,0.83961655
11.74669339,0.83996070
11.78637275,0.84104547
11.82605210,0.84280524
11.86573146,0.84517499
11.90541082,0.84809231
11.94509018,0.85149929
11.98476954,0.85534395
12.02444890,0.85958129
12.06412826,0.86417404
12.10380762,0.86909287
12.14348697,0.87431621
12.18316633,0.87982977
12.22284569,0.88562559
12.26252505,0.89170089
12.30220441,0.89805667
12.34188377,0.90469619
12.38156313,0.91162333
12.42124248,0.91884100
12.46092184,0.92634965
12.50060120,0.93414588
12.54028056,0.94222134
12.57995992,0.95056181
12.61963928,0.95914658
12.65931864,0.96794821
12.69899800,0.97693251
12.73867735,0.98605884
12.77835671,0.99528067
12.81803607,1.00454642
12.85771543,1.01380042
12.89739479,1.02298402
12.93707415,1.03203681
12.97675351,1.04089782
13.01643287,1.04950671
13.05611222,1.05780490
13.09579158,1.06573657
13.13547094,1.07324948
13.17515030,1.08029571
13.21482966,1.08683214
13.25450902,1.09282083
13.29418838,1.09822917
13.33386774,1.10302993
13.37354709,1.10720117
13.41322645,1.11072609
13.45290581,1.11359280
13.49258517,1.11579405
13.53226453,1.11732696
13.57194389,1.11819287
13.61162325,1.11839707
13.65130261,1.11794874
13.69098196,1.11686090
13.73066132,1.11515038
13.77034068,1.11283790
13.81002004,1.10994815
13.84969940,1.10650992
13.88937876,1.10255613
13.92905812,1.09812391
13.96873747,1.09325458
14.00841683,1.08799349
14.04809619,1.08238979
14.08777555,1.07649606
14.12745491,1.07036779
14.16713427,1.06406273
14.20681363,1.05764006
14.24649299,1.05115956
14.28617234,1.04468052
14.32585170,1.03826075
14.36553106,1.03195548
14.40521042,1.02581627
14.44488978,1.01989003
14.48456914,1.01421812
14.52424850,1.00883553
14.56392786,1.00377035
14.60360721,0.99904329
14.64328657,0.99466757
14.68296593,0.99064892
14.72264529,0.98698581
14.76232465,0.98367001
14.80200401,0.98068719
14.84168337,0.97801782
