theta_deg,adf
0.50000000,0.00000000
1.50000000,0.00000000
2.50000000,0.00000000
3.50000000,0.00000000
4.50000000,0.00000000
5.50000000,0.00000000
6.50000000,0.00000000
7.50000000,0.00000000
8.50000000,0.00000000
9.50000000,0.00000000
10.50000000,0.00000000
11.50000000,0.00000000
12.50000000,0.00000000
13.50000000,0.00000000
14.50000000,0.00000000
15.50000000,0.00000000
16.50000000,0.00000000
17.50000000,0.00000000
18.50000000,0.00000000
19.50000000,0.00000000
20.50000000,0.00000000
21.50000000,0.00000000
22.50000000,0.00000000
23.50000000,0.00000000
24.50000000,0.00000000
25.50000000,0.00000000
26.50000000,0.00000000
27.50000000,0.00000000
28.50000000,0.00000000
29.50000000,0.00000000
30.50000000,0.00000000
31.50000000,0.00000000
32.50000000,0.00000000
33.50000000,0.00000000
34.50000000,0.00000000
35.50000000,0.00000000
36.50000000,0.00000000
37.50000000,0.00000000
38.50000000,0.00000000
39.50000000,0.00000000
40.50000000,0.00000000
41.50000000,0.00000050
42.50000000,0.00000348
43.50000000,0.00000299
44.50000000,0.00001741
45.50000000,0.00001791
46.50000000,0.00002537
47.50000000,0.00004329
48.50000000,0.00004876
49.50000000,0.00005423
50.50000000,0.00006617
51.50000000,0.00005224
52.50000000,0.00006070
53.50000000,0.00004926
54.50000000,0.00003930
55.50000000,0.00003383
56.50000000,0.00002090
57.50000000,0.00001741
58.50000000,0.00001244
59.50000000,0.00001144
60.50000000,0.00002040
61.50000000,0.00001592
62.50000000,0.00001095
63.50000000,0.00001692
64.50000000,0.00002189
65.50000000,0.00002786
66.50000000,0.00003383
67.50000000,0.00002985
68.50000000,0.00003284
69.50000000,0.00003433
70.50000000,0.00003582
71.50000000,0.00004179
72.50000000,0.00005672
73.50000000,0.00010498
74.50000000,0.00014229
75.50000000,0.00025623
76.50000000,0.00039902
77.50000000,0.00049852
78.50000000,0.00064778
79.50000000,0.00078013
80.50000000,0.00081993
81.50000000,0.00085028
82.50000000,0.00090600
83.50000000,0.00099406
84.50000000,0.00104332
85.50000000,0.00115725
86.50000000,0.00132343
87.50000000,0.00148811
88.50000000,0.00178663
89.50000000,0.00221301
90.50000000,0.00260456
91.50000000,0.00329762
92.50000000,0.00416282
93.50000000,0.00526435
94.50000000,0.00656638
95.50000000,0.00815052
96.50000000,0.01001078
97.50000000,0.01233274
98.50000000,0.01489352
99.50000000,0.01778516
100.50000000,0.02081710
101.50000000,0.02417194
102.50000000,0.02762330
103.50000000,0.03102589
104.50000000,0.03450661
105.50000000,0.03708430
106.50000000,0.03991076
107.50000000,0.04155261
108.50000000,0.04280986
109.50000000,0.04307903
110.50000000,0.04288599
111.50000000,0.04233174
112.50000000,0.04112274
113.50000000,0.03929532
114.50000000,0.03737635
115.50000000,0.03538972
116.50000000,0.03286277
117.50000000,0.03050598
118.50000000,0.02807356
119.50000000,0.02558144
120.50000000,0.02325649
121.50000000,0.02108726
122.50000000,0.01890858
123.50000000,0.01680005
124.50000000,0.01476417
125.50000000,0.01299893
126.50000000,0.01142426
127.50000000,0.01005555
128.50000000,0.00872914
129.50000000,0.00758781
130.50000000,0.00657634
131.50000000,0.00579920
132.50000000,0.00498225
133.50000000,0.00432502
134.50000000,0.00384739
135.50000000,0.00333046
136.50000000,0.00288517
137.50000000,0.00254138
138.50000000,0.00229411
139.50000000,0.00196524
140.50000000,0.00179210
141.50000000,0.00156423
142.50000000,0.00138164
143.50000000,0.00120999
144.50000000,0.00113138
145.50000000,0.00098610
146.50000000,0.00088112
147.50000000,0.00082689
148.50000000,0.00070898
149.50000000,0.00063435
150.50000000,0.00057116
151.50000000,0.00049156
152.50000000,0.00046021
153.50000000,0.00039902
154.50000000,0.00037713
155.50000000,0.00035623
156.50000000,0.00028260
157.50000000,0.00028956
158.50000000,0.00023434
159.50000000,0.00021692
160.50000000,0.00020697
161.50000000,0.00019205
162.50000000,0.00014677
163.50000000,0.00014727
164.50000000,0.00014180
165.50000000,0.00010398
166.50000000,0.00010199
167.50000000,0.00009055
168.50000000,0.00007513
169.50000000,0.00007314
170.50000000,0.00005622
171.50000000,0.00005970
172.50000000,0.00004727
173.50000000,0.00004279
174.50000000,0.00003333
175.50000000,0.00003831
176.50000000,0.00001791
177.50000000,0.00001990
178.50000000,0.00000647
179.50000000,0.00000100
