k_invA,S_k
0.20000000,0.15111924
0.23967936,0.15855447
0.27935872,0.16677048
0.31903808,0.17552918
0.35871743,0.18458466
0.39839679,0.19369300
0.43807615,0.20262194
0.47775551,0.21116011
0.51743487,0.21912535
0.55711423,0.22637181
0.59679359,0.23279557
0.63647295,0.23833847
0.67615230,0.24299011
0.71583166,0.24678786
0.75551102,0.24981489
0.79519038,0.25219635
0.83486974,0.25409381
0.87454910,0.25569822
0.91422846,0.25722181
0.95390782,0.25888897
0.99358717,0.26092694
1.03326653,0.26355627
1.07294589,0.26698182
1.11262525,0.27138452
1.15230461,0.27691422
1.19198397,0.28368410
1.23166333,0.29176672
1.27134269,0.30119207
1.31102204,0.31194750
1.35070140,0.32397972
1.39038076,0.33719864
1.43006012,0.35148305
1.46973948,0.36668761
1.50941884,0.38265114
1.54909820,0.39920554
1.58877756,0.41618508
1.62845691,0.43343560
1.66813627,0.45082301
1.70781563,0.46824086
1.74749499,0.48561646
1.78717435,0.50291515
1.82685371,0.52014266
1.86653307,0.53734514
1.90621242,0.55460694
1.94589178,0.57204607
1.98557114,0.58980762
2.02525050,0.60805515
2.06492986,0.62696060
2.10460922,0.64669304
2.14428858,0.66740679
2.18396794,0.68922937
2.22364729,0.71224997
2.26332665,0.73650890
2.30300601,0.76198867
2.34268537,0.78860699
2.38236473,0.81621244
2.42204409,0.84458275
2.46172345,0.87342625
2.50140281,0.90238633
2.54108216,0.93104900
2.58076152,0.95895335
2.62044088,0.98560452
2.66012024,1.01048891
2.69979960,1.03309089
2.73947896,1.05291057
2.77915832,1.06948180
2.81883768,1.08238979
2.85851703,1.09128755
2.89819639,1.09591045
2.93787575,1.09608835
2.97755511,1.09175464
3.01723447,1.08295176
3.05691383,1.06983304
3.09659319,1.05266046
3.13627255,1.03179856
3.17595190,1.00770454
3.21563126,0.98091489
3.25531062,0.95202911
3.29498998,0.92169104
3.33466934,0.89056848
3.37434870,0.85933212
3.41402806,0.82863430
3.45370741,0.79908872
3.49338677,0.77125176
3.53306613,0.74560632
3.57274549,0.72254871
3.61242485,0.70237922
3.65210421,0.68529673
3.69178357,0.67139765
3.73146293,0.66067913
3.77114228,0.65304648
3.81082164,0.64832442
3.85050100,0.64627173
3.89018036,0.64659856
3.92985972,0.64898570
3.96953908,0.65310490
4.00921844,0.65863937
4.04889780,0.66530346
4.08857715,0.67286057
4.12825651,0.68113862
4.16793587,0.69004206
4.20761523,0.69956003
4.24729459,0.70977013
4.28697395,0.72083751
4.32665331,0.73300926
4.36633267,0.74660426
4.40601202,0.76199878
4.44569138,0.77960842
4.48537074,0.79986705
4.52505010,0.82320370
4.56472946,0.85001819
4.60440882,0.88065671
4.64408818,0.91538830
4.68376754,0.95438325
4.72344689,0.99769449
4.76312625,1.04524277
4.80280561,1.09680634
4.84248497,1.15201580
4.88216433,1.21035429
4.92184369,1.27116341
4.96152305,1.33365454
5.00120240,1.39692548
5.04088176,1.45998174
5.08056112,1.52176190
5.12024048,1.58116605
5.15991984,1.63708650
5.19959920,1.68843944
5.23927856,1.73419662
5.27895792,1.77341585
5.31863727,1.80526915
5.35831663,1.82906768
5.39799599,1.84428242
5.43767535,1.85056001
5.47735471,1.84773308
5.51703407,1.83582493
5.55671343,1.81504811
5.59639279,1.78579739
5.63607214,1.74863718
5.67575150,1.70428391
5.71543086,1.65358423
5.75511022,1.59748967
5.79478958,1.53702878
5.83446894,1.47327784
5.87414830,1.40733096
5.91382766,1.34027088
5.95350701,1.27314122
5.99318637,1.20692120
6.03286573,1.14250358
6.07254509,1.08067643
6.11222445,1.02210920
6.15190381,0.96734343
6.19158317,0.91678806
6.23126253,0.87071946
6.27094188,0.82928570
6.31062124,0.79251489
6.35030060,0.76032688
6.38997996,0.73254767
6.42965932,0.70892603
6.46933868,0.68915120
6.50901804,0.67287135
6.54869739,0.65971158
6.58837675,0.64929123
6.62805611,0.64123946
6.66773547,0.63520896
6.70741483,0.63088707
6.74709419,0.62800434
6.78677355,0.62634010
6.82645291,0.62572531
6.86613226,0.62604257
6.90581162,0.62722370
6.94549098,0.62924510
6.98517034,0.63212133
7.02484970,0.63589736
7.06452906,0.64063993
7.10420842,0.64642860
7.14388778,0.65334679
7.18356713,0.66147341
7.22324649,0.67087539
7.26292585,0.68160127
7.30260521,0.69367636
7.34228457,0.70709936
7.38196393,0.72184055
7.42164329,0.73784161
7.46132265,0.75501684
7.50100200,0.77325568
7.54068136,0.79242631
7.58036072,0.81237995
7.62004008,0.83295576
7.65971944,0.85398587
7.69939880,0.87530037
7.73907816,0.89673197
7.77875752,0.91812008
7.81843687,0.93931421
7.85811623,0.96017647
7.89779559,0.98058322
7.93747495,1.00042573
7.97715431,1.01961005
8.01683367,1.03805607
8.05651303,1.05569594
8.09619238,1.07247204
8.13587174,1.08833469
8.17555110,1.10323974
8.21523046,1.11714630
8.25490982,1.13001477
8.29458918,1.14180527
8.33426854,1.15247666
8.37394790,1.16198622
8.41362725,1.17028992
8.45330661,1.17734348
8.49298597,1.18310397
8.53266533,1.18753193
8.57234469,1.19059394
8.61202405,1.19226544
8.65170341,1.19253359
8.69138277,1.19140008
8.73106212,1.18888367
8.77074148,1.18502231
8.81042084,1.17987466
8.85010020,1.17352095
8.88977956,1.16606305
8.92945892,1.15762372
8.96913828,1.14834506
9.00881764,1.13838612
9.04849699,1.12791985
9.08817635,1.11712937
9.12785571,1.10620380
9.16753507,1.09533374
9.20721443,1.08470659
9.24689379,1.07450188
9.28657315,1.06488683
9.32625251,1.05601217
9.36593186,1.04800856
9.40561122,1.04098357
9.44529058,1.03501937
9.48496994,1.03017123
9.52464930,1.02646679
9.56432866,1.02390617
9.60400802,1.02246279
9.64368737,1.02208499
9.68336673,1.02269817
9.72304609,1.02420749
9.76272545,1.02650098
9.80240481,1.02945286
9.84208417,1.03292708
9.88176353,1.03678079
9.92144289,1.04086780
9.96112224,1.04504182
10.00080160,1.04915939
10.04048096,1.05308256
10.08016032,1.05668114
10.11983968,1.05983461
10.15951904,1.06243366
10.19919840,1.06438126
10.23887776,1.06559356
10.27855711,1.06600035
10.31823647,1.06554537
10.35791583,1.06418637
10.39759519,1.06189506
10.43727455,1.05865690
10.47695391,1.05447084
10.51663327,1.04934907
10.55631263,1.04331657
10.59599198,1.03641082
10.63567134,1.02868133
10.67535070,1.02018912
10.71503006,1.01100622
10.75470942,1.00121492
10.79438878,0.99090697
10.83406814,0.98018261
10.87374749,0.96914938
10.91342685,0.95792076
10.95310621,0.94661466
10.99278557,0.93535160
11.03246493,0.92425289
11.07214429,0.91343858
11.11182365,0.90302533
11.15150301,0.89312435
11.19118236,0.88383926
11.23086172,0.87526420
11.27054108,0.86748200
11.31022044,0.86056269
11.34989980,0.85456229
11.38957916,0.84952197
11.42925852,0.84546759
11.46893788,0.84240976
11.50861723,0.84034419
11.54829659,0.83925259
11.58797595,0.83910393
11.62765531,0.83985602
11.66733467,0.84145738
11.70701403,0.84384937
11.74669339,0.84696844
11.78637275,0.85074833
11.82605210,0.85512235
11.86573146,0.86002545
11.90541082,0.86539605
11.94509018,0.87117764
11.98476954,0.87732000
12.02444890,0.88378000
12.06412826,0.89052202
12.10380762,0.89751798
12.14348697,0.90474689
12.18316633,0.91219414
12.22284569,0.91985034
12.26252505,0.92771003
12.30220441,0.93577012
12.34188377,0.94402829
12.38156313,0.95248136
12.42124248,0.96112366
12.46092184,0.96994566
12.50060120,0.97893275
12.54028056,0.98806423
12.57995992,0.99731272
12.61963928,1.00664387
12.65931864,1.01601634
12.69899800,1.02538225
12.73867735,1.03468786
12.77835671,1.04387450
12.81803607,1.05287985
12.85771543,1.06163928
12.89739479,1.07008732
12.93707415,1.07815923
12.97675351,1.08579244
13.01643287,1.09292800
13.05611222,1.09951182
13.09579158,1.10549576
13.13547094,1.11083845
13.17515030,1.11550591
13.21482966,1.11947193
13.25450902,1.12271810
13.29418838,1.12523374
13.33386774,1.12701554
13.37354709,1.12806705
13.41322645,1.12839805
13.45290581,1.12802383
13.49258517,1.12696444
13.53226453,1.12524390
13.57194389,1.12288956
13.61162325,1.11993142
13.65130261,1.11640163
13.69098196,1.11233407
13.73066132,1.10776405
13.77034068,1.10272816
13.81002004,1.09726424
13.84969940,1.09141131
13.88937876,1.08520976
13.92905812,1.07870136
13.96873747,1.07192944
14.00841683,1.06493888
14.04809619,1.05777618
14.08777555,1.05048929
14.12745491,1.04312742
14.16713427,1.03574072
14.20681363,1.02837980
14.24649299,1.02109514
14.28617234,1.01393641
14.32585170,1.00695169
14.36553106,1.00018667
14.40521042,0.99368375
14.44488978,0.98748129
14.48456914,0.98161280
14.52424850,0.97610626
14.56392786,0.97098365
14.60360721,0.96626052
14.64328657,0.96194581
14.68296593,0.95804190
14.72264529,0.95454475
14.76232465,0.95144437
14.80200401,0.94872538
14.84168337,0.94636779
14.88136273,0.94434784
14.92104208,0.94263902
14.96072144,0.94121308
15.00040080,0.94004108
15.04008016,0.93909438
15.07975952,0.93834561
15.11943888,0.93776943
15.15911824,0.93734329
15.19879760,0.93704788
15.23847695,0.93686751
15.27815631,0.93679023
15.31783567,0.93680783
15.35751503,0.93691563
15.39719439,0.93711210
15.43687375,0.93739843
15.47655311,0.93777794
15.51623246,0.93825548
15.55591182,0.93883674
15.59559118,0.93952767
15.63527054,0.94033391
15.67494990,0.94126023
15.71462926,0.94231019
15.75430862,0.94348583
15.79398798,0.94478755
15.83366733,0.94621400
15.87334669,0.94776227
15.91302605,0.94942802
15.95270541,0.95120581
15.99238477,0.95308940
16.03206413,0.95507220
16.07174349,0.95714760
16.11142285,0.95930938
16.15110220,0.96155202
16.19078156,0.96387097
16.23046092,0.96626276
16.27014028,0.96872514
16.30981964,0.97125699
16.34949900,0.97385816
16.38917836,0.97652928
16.42885772,0.97927137
16.46853707,0.98208551
16.50821643,0.98497235
16.54789579,0.98793174
16.58757515,0.99096223
16.62725451,0.99406074
16.66693387,0.99722220
16.70661323,1.00043934
16.74629259,1.00370259
16.78597194,1.00699998
16.82565130,1.01031736
16.86533066,1.01363852
16.90501002,1.01694558
16.94468938,1.02021941
16.98436874,1.02344010
17.02404810,1.02658751
