k_invA,S_k
0.20000000,0.15247990
0.23967936,0.15966699
0.27935872,0.16761446
0.31903808,0.17609435
0.35871743,0.18487103
0.39839679,0.19371056
0.43807615,0.20238993
0.47775551,0.21070591
0.51743487,0.21848302
0.55711423,0.22558037
0.59679359,0.23189706
0.63647295,0.23737601
0.67615230,0.24200590
0.71583166,0.24582131
0.75551102,0.24890093
0.79519038,0.25136403
0.83486974,0.25336522
0.87454910,0.25508783
0.91422846,0.25673612
0.95390782,0.25852672
0.99358717,0.26067958
1.03326653,0.26340890
1.07294589,0.26691439
1.11262525,0.27137327
1.15230461,0.27693334
1.19198397,0.28370741
1.23166333,0.29176941
1.27134269,0.30115226
1.31102204,0.31184767
1.35070140,0.32380788
1.39038076,0.33694920
1.43006012,0.35115726
1.46973948,0.36629371
1.50941884,0.38220406
1.54909820,0.39872623
1.58877756,0.41569955
1.62845691,0.43297357
1.66813627,0.45041645
1.70781563,0.46792229
1.74749499,0.48541722
1.78717435,0.50286371
1.82685371,0.52026302
1.86653307,0.53765540
1.90621242,0.55511816
1.94589178,0.57276147
1.98557114,0.59072208
2.02525050,0.60915516
2.06492986,0.62822459
2.10460922,0.64809207
2.14428858,0.66890559
2.18396794,0.69078774
2.22364729,0.71382435
2.26332665,0.73805416
2.30300601,0.76345992
2.34268537,0.78996149
2.38236473,0.81741130
2.42204409,0.84559258
2.46172345,0.87422049
2.50140281,0.90294632
2.54108216,0.93136470
2.58076152,0.95902365
2.62044088,0.98543725
2.66012024,1.01010034
2.69979960,1.03250501
2.73947896,1.05215796
2.77915832,1.06859826
2.81883768,1.08141482
2.85851703,1.09026261
2.89819639,1.09487729
2.93787575,1.09508729
2.97755511,1.09082297
3.01723447,1.08212238
3.05691383,1.06913324
3.09659319,1.05211107
3.13627255,1.03141335
3.17595190,1.00749000
3.21563126,0.98087034
3.25531062,0.95214708
3.29498998,0.92195796
3.33466934,0.89096570
3.37434870,0.85983697
3.41402806,0.82922138
3.45370741,0.79973125
3.49338677,0.77192291
3.53306613,0.74628048
3.57274549,0.72320263
3.61242485,0.70299296
3.65210421,0.68585446
3.69178357,0.67188811
3.73146293,0.66109590
3.77114228,0.65338792
3.81082164,0.64859344
3.85050100,0.64647523
3.89018036,0.64674672
3.92985972,0.64909113
3.96953908,0.65318166
4.00921844,0.65870194
4.04889780,0.66536567
4.08857715,0.67293468
4.12825651,0.68123441
4.16793587,0.69016612
4.20761523,0.69971522
4.24729459,0.70995520
4.28697395,0.72104703
4.32665331,0.73323367
4.36633267,0.74683024
4.40601202,0.76220970
