r_A,g_r,g_r_error,n_r
0.51375000,0.00000000,0.00043156,0.00000000
0.54125000,0.00000000,0.00038882,0.00000000
0.56875000,0.00000000,0.00035213,0.00000000
0.59625000,0.00000000,0.00032039,0.00000000
0.62375000,0.00000000,0.00029276,0.00000000
0.65125000,0.00000000,0.00026856,0.00000000
0.67875000,0.00000000,0.00024724,0.00000000
0.70625000,0.00000000,0.00022836,0.00000000
0.73375000,0.00000000,0.00021156,0.00000000
0.76125000,0.00000000,0.00019656,0.00000000
0.78875000,0.00000000,0.00018309,0.00000000
0.81625000,0.00000000,0.00017096,0.00000000
0.84375000,0.00000000,0.00016000,0.00000000
0.87125000,0.00000000,0.00015006,0.00000000
0.89875000,0.00000000,0.00014101,0.00000000
0.92625000,0.00000000,0.00013276,0.00000000
0.95375000,0.00000000,0.00012522,0.00000000
0.98125000,0.00000000,0.00011830,0.00000000
1.00875000,0.00000000,0.00011194,0.00000000
1.03625000,0.00000000,0.00010607,0.00000000
1.06375000,0.00000000,0.00010066,0.00000000
1.09125000,0.00000000,0.00009565,0.00000000
1.11875000,0.00000000,0.00009101,0.00000000
1.14625000,0.00000000,0.00008669,0.00000000
1.17375000,0.00000000,0.00008268,0.00000000
1.20125000,0.00000000,0.00007894,0.00000000
1.22875000,0.00000000,0.00007544,0.00000000
1.25625000,0.00043305,0.00017679,0.00002535
1.28375000,0.02121863,0.00121101,0.00132251
1.31125000,0.16535355,0.00330972,0.01186875
1.33875000,0.69991712,0.00666951,0.05840150
1.36625000,1.91593856,0.01081261,0.19106612
1.39375000,3.19775731,0.01369329,0.42149050
1.42125000,4.04629190,0.01510526,0.72467804
1.44875000,5.12186842,0.01667212,1.12345356
1.47625000,5.73202355,0.01730868,1.58683748
1.50375000,5.31041122,0.01635530,2.03228096
1.53125000,4.05570722,0.01403645,2.38503499
1.55875000,2.66887476,0.01118556,2.62557886
1.58625000,1.57865047,0.00845359,2.77292624
1.61375000,0.88593056,0.00622492,2.85850882
1.64125000,0.50044773,0.00460018,2.90851474
1.66875000,0.31025084,0.00356234,2.94056331
1.69625000,0.20150137,0.00282435,2.96206987
1.72375000,0.14482827,0.00235626,2.97803289
1.75125000,0.10599799,0.00198413,2.99009177
1.77875000,0.08402547,0.00173924,2.99995352
1.80625000,0.06832428,0.00154447,3.00822235
1.83375000,0.06154810,0.00144390,3.01589964
1.86125000,0.06480629,0.00145973,3.02422762
1.88875000,0.08323999,0.00163028,3.03524287
1.91625000,0.10441183,0.00179967,3.04946508
1.94375000,0.06982287,0.00145087,3.05925078
1.97125000,0.01767559,0.00071981,3.06179861
1.99875000,0.00296522,0.00029076,3.06223803
2.02625000,0.00116521,0.00017980,3.06241549
2.05375000,0.00051310,0.00011771,3.06249577
2.08125000,0.00070999,0.00013664,3.06260986
2.10875000,0.00156250,0.00020006,3.06286760
2.13625000,0.00736305,0.00042869,3.06411405
2.16375000,0.03391474,0.00090836,3.07000406
2.19125000,0.17355206,0.00202905,3.10091604
2.21875000,0.46440000,0.00327799,3.18572117
2.24625000,0.51443437,0.00340782,3.28200632
2.27375000,0.61427504,0.00367882,3.39981071
2.30125000,0.84361069,0.00425968,3.56553373
2.32875000,1.16210944,0.00494050,3.79931297
2.35625000,1.51028054,0.00556644,4.11035103
2.38375000,1.84391232,0.00607966,4.49901552
2.41125000,2.08915915,0.00639755,4.94959269
2.43875000,2.24502879,0.00655713,5.44489420
2.46625000,2.30745294,0.00657354,5.96551345
2.49375000,2.25986452,0.00643366,6.48682987
2.52125000,2.15917558,0.00622011,6.99596488
2.54875000,1.98785001,0.00590384,7.47498225
2.57625000,1.78783503,0.00553918,7.91514839
2.60375000,1.60660193,0.00519547,8.31918436
2.63125000,1.42379565,0.00483985,8.68485076
2.65875000,1.26552376,0.00451573,9.01669822
2.68625000,1.12986523,0.00422315,9.31913365
2.71375000,1.03593486,0.00400282,9.60213291
2.74125000,0.95609250,0.00380690,9.86864099
2.76875000,0.88902349,0.00363448,10.12145078
2.79625000,0.85182573,0.00352265,10.36851846
2.82375000,0.83340074,0.00345041,10.61501994
2.85125000,0.81192384,0.00337281,10.85986936
2.87875000,0.80260205,0.00332136,11.10659901
2.90625000,0.79838135,0.00328127,11.35674266
2.93375000,0.79115974,0.00323578,11.60933697
2.96125000,0.79267942,0.00320881,11.86718327
2.98875000,0.79371619,0.00318136,12.13018439
3.01625000,0.79219220,0.00314933,12.39753330
3.04375000,0.78779025,0.00311219,12.66826663
3.07125000,0.79223343,0.00309301,12.94546883
3.09875000,0.79467547,0.00307028,13.22852724
3.12625000,0.79687440,0.00304748,13.51742918
3.15375000,0.80054812,0.00302786,13.81279154
3.18125000,0.80300835,0.00300630,14.11425095
3.20875000,0.80621840,0.00298649,14.42217077
3.23625000,0.81051980,0.00296900,14.73706226
3.26375000,0.81123679,0.00294528,15.05761138
3.29125000,0.82936663,0.00295313,15.39087006
3.31875000,0.83466621,0.00293800,15.73188632
3.34625000,0.84651612,0.00293447,16.08349953
3.37375000,0.86165305,0.00293645,16.44730682
3.40125000,0.87688098,0.00293834,16.82360398
3.42875000,0.89189902,0.00293963,17.21256000
3.45625000,0.91141222,0.00294796,17.61642695
3.48375000,0.93499644,0.00296229,18.03736395
3.51125000,0.97471384,0.00300087,18.48313700
3.53875000,1.01435283,0.00303749,18.95433342
3.56625000,1.05916006,0.00307992,19.45402075
3.59375000,1.10541914,0.00312238,19.98360600
3.62125000,1.15965009,0.00317377,20.54770738
3.64875000,1.20431541,0.00320993,21.14246721
3.67625000,1.24151024,0.00323475,21.76487290
3.70375000,1.26717548,0.00324374,22.40968513
3.73125000,1.27052474,0.00322409,23.06583795
3.75875000,1.26254711,0.00319044,23.72751741
3.78625000,1.23682871,0.00313484,24.38523780
3.81375000,1.20229704,0.00306848,25.03391614
3.84125000,1.15636520,0.00298775,25.66684272
3.86875000,1.11262536,0.00290987,26.28457950
3.89625000,1.05693776,0.00281610,26.87977032
3.92375000,1.01075340,0.00273458,27.45701646
3.95125000,0.97180339,0.00266271,28.01982491
3.97875000,0.93759307,0.00259735,28.57040546
4.00625000,0.91302731,0.00254550,29.11399743
4.03375000,0.89009208,0.00249619,29.65123462
4.06125000,0.87794749,0.00246232,30.18839153
4.08875000,0.87035402,0.00243516,30.72813852
4.11625000,0.87450106,0.00242465,31.27777684
4.14375000,0.87710844,0.00241214,31.83644453
4.17125000,0.88219641,0.00240318,32.40583592
4.19875000,0.89515898,0.00240492,32.99123682
4.22625000,0.90306796,0.00239980,33.58957122
4.25375000,0.91551393,0.00240066,34.20407146
4.28125000,0.92629267,0.00239924,34.83387135
4.30875000,0.94097431,0.00240274,35.48189900
4.33625000,0.94509375,0.00239273,36.14109823
4.36375000,0.95661366,0.00239209,36.81682244
4.39125000,0.96539718,0.00238800,37.50737307
4.41875000,0.97087846,0.00237987,38.21056990
4.44625000,0.97603545,0.00237142,38.92632842
4.47375000,0.98651304,0.00236946,39.65874713
4.50125000,0.99623524,0.00236656,40.40750490
4.52875000,1.00764860,0.00236563,41.17412284
4.55625000,1.01957061,0.00236522,41.95926007
4.58375000,1.03014817,0.00236319,42.76214761
4.61125000,1.04084090,0.00236126,43.58313193
4.63875000,1.05063671,0.00235828,44.42175669
4.66625000,1.05688139,0.00235134,45.27539802
4.69375000,1.07334648,0.00235570,46.15258670
4.72125000,1.07966357,0.00234886,47.04530743
4.74875000,1.08740940,0.00234362,47.95493764
4.77625000,1.08850469,0.00233130,48.87606054
4.80375000,1.09037244,0.00231994,49.80941979
4.83125000,1.08887228,0.00230515,50.75219713
4.85875000,1.08716725,0.00229031,51.70424469
4.88625000,1.08179142,0.00227178,52.66233860
4.91375000,1.07561835,0.00225261,53.62571829
4.94125000,1.06932402,0.00223351,54.59421055
4.96875000,1.06076825,0.00221224,55.56567739
4.99625000,1.04874445,0.00218756,56.53679354
5.02375000,1.03519108,0.00216148,57.50594071
5.05125000,1.02536534,0.00213949,58.47642729
5.07875000,1.01048912,0.00211241,59.44327593
5.10625000,1.00167881,0.00209186,60.41210198
5.13375000,0.99561783,0.00207435,61.38546596
5.16125000,0.98020466,0.00204726,62.35405540
5.18875000,0.97457211,0.00203055,63.32736868
5.21625000,0.96673042,0.00201170,64.30311148
5.24375000,0.96697752,0.00200141,65.28942165
5.27125000,0.95926745,0.00198302,66.27815711
5.29875000,0.95189212,0.00196513,67.26955449
5.32625000,0.94971273,0.00195274,68.26897563
5.35375000,0.95339335,0.00194647,69.28265701
5.38125000,0.95405430,0.00193720,70.30748885
5.40875000,0.95326645,0.00192655,71.34196694
5.43625000,0.95722495,0.00192078,72.39133062
5.46375000,0.96219270,0.00191606,73.45683900
5.49125000,0.96152455,0.00190581,74.53235279
5.51875000,0.97124122,0.00190587,75.62964356
5.54625000,0.97078353,0.00189597,76.73737493
5.57375000,0.97671483,0.00189237,77.86295379
5.60125000,0.98081672,0.00188703,79.00444074
5.62875000,0.98349777,0.00188038,80.16031470
5.65625000,0.99026376,0.00187766,81.33554033
5.68375000,0.99279123,0.00187096,82.52525014
5.71125000,0.99790261,0.00186674,83.73268490
5.73875000,1.00086810,0.00186055,84.95539819
5.76625000,1.00875387,0.00185896,86.19958423
5.79375000,1.00454494,0.00184627,87.45042506
5.82125000,1.01304579,0.00184531,88.72385411
5.84875000,1.01082399,0.00183461,90.00652380
5.87625000,1.01577392,0.00183049,91.30762405
5.90375000,1.01882652,0.00182470,92.62487747
5.93125000,1.01985572,0.00181716,93.95577424
5.95875000,1.02073916,0.00180956,95.30020450
5.98625000,1.02636934,0.00180620,96.66455686
