theta_deg,adf
0.50000000,0.00000000
1.50000000,0.00000000
2.50000000,0.00000000
3.50000000,0.00000000
4.50000000,0.00000000
5.50000000,0.00000000
6.50000000,0.00000000
7.50000000,0.00000000
8.50000000,0.00000000
9.50000000,0.00000000
10.50000000,0.00000000
11.50000000,0.00000000
12.50000000,0.00000000
13.50000000,0.00000000
14.50000000,0.00000000
15.50000000,0.00000000
16.50000000,0.00000000
17.50000000,0.00000000
18.50000000,0.00000000
19.50000000,0.00000000
20.50000000,0.00000000
21.50000000,0.00000000
22.50000000,0.00000000
23.50000000,0.00000000
24.50000000,0.00000000
25.50000000,0.00000000
26.50000000,0.00000000
27.50000000,0.00000000
28.50000000,0.00000000
29.50000000,0.00000000
30.50000000,0.00000000
31.50000000,0.00000000
32.50000000,0.00000064
33.50000000,0.00000000
34.50000000,0.00000000
35.50000000,0.00000000
36.50000000,0.00000000
37.50000000,0.00000064
38.50000000,0.00000064
39.50000000,0.00000064
40.50000000,0.00000318
41.50000000,0.00001783
42.50000000,0.00004202
43.50000000,0.00007448
44.50000000,0.00008594
45.50000000,0.00014451
46.50000000,0.00021390
47.50000000,0.00022854
48.50000000,0.00022027
49.50000000,0.00025783
50.50000000,0.00024255
51.50000000,0.00023937
52.50000000,0.00020626
53.50000000,0.00018844
54.50000000,0.00018462
55.50000000,0.00015406
56.50000000,0.00015088
57.50000000,0.00013751
58.50000000,0.00011141
59.50000000,0.00011459
60.50000000,0.00010568
61.50000000,0.00011905
62.50000000,0.00010822
63.50000000,0.00007576
64.50000000,0.00006812
65.50000000,0.00007830
66.50000000,0.00010759
67.50000000,0.00012032
68.50000000,0.00015024
69.50000000,0.00011268
70.50000000,0.00008594
71.50000000,0.00008467
72.50000000,0.00008021
73.50000000,0.00012032
74.50000000,0.00014706
75.50000000,0.00023746
76.50000000,0.00034887
77.50000000,0.00051629
78.50000000,0.00067163
79.50000000,0.00091991
80.50000000,0.00103768
81.50000000,0.00106060
82.50000000,0.00105678
83.50000000,0.00105742
84.50000000,0.00108479
85.50000000,0.00109816
86.50000000,0.00120511
87.50000000,0.00129997
88.50000000,0.00145849
89.50000000,0.00165584
90.50000000,0.00189202
91.50000000,0.00225171
92.50000000,0.00258084
93.50000000,0.00316398
94.50000000,0.00390627
95.50000000,0.00478862
96.50000000,0.00597018
97.50000000,0.00750951
98.50000000,0.00923283
99.50000000,0.01163159
100.50000000,0.01413285
101.50000000,0.01705364
102.50000000,0.02022399
103.50000000,0.02347518
104.50000000,0.02713763
105.50000000,0.03042893
106.50000000,0.03339301
107.50000000,0.03619729
108.50000000,0.03800719
109.50000000,0.03959173
110.50000000,0.04055110
111.50000000,0.04070962
112.50000000,0.04106740
113.50000000,0.04088405
114.50000000,0.03964138
115.50000000,0.03882970
116.50000000,0.03762077
117.50000000,0.03603368
118.50000000,0.03426771
119.50000000,0.03176709
120.50000000,0.02920217
121.50000000,0.02659841
122.50000000,0.02388452
123.50000000,0.02133552
124.50000000,0.01854905
125.50000000,0.01639602
126.50000000,0.01407620
127.50000000,0.01222365
128.50000000,0.01049651
129.50000000,0.00920927
130.50000000,0.00785710
131.50000000,0.00689327
132.50000000,0.00599118
133.50000000,0.00527690
134.50000000,0.00476888
135.50000000,0.00417747
136.50000000,0.00373884
137.50000000,0.00346955
138.50000000,0.00300482
139.50000000,0.00278774
140.50000000,0.00257383
141.50000000,0.00232428
142.50000000,0.00216704
143.50000000,0.00207537
144.50000000,0.00196396
145.50000000,0.00182581
146.50000000,0.00162337
147.50000000,0.00156989
148.50000000,0.00154379
149.50000000,0.00144066
150.50000000,0.00140374
151.50000000,0.00134835
152.50000000,0.00122421
153.50000000,0.00116182
154.50000000,0.00110007
155.50000000,0.00100140
156.50000000,0.00099121
157.50000000,0.00089635
158.50000000,0.00085561
159.50000000,0.00081487
160.50000000,0.00070601
161.50000000,0.00070664
162.50000000,0.00063471
163.50000000,0.00056722
164.50000000,0.00053603
165.50000000,0.00052202
166.50000000,0.00045200
167.50000000,0.00043926
168.50000000,0.00041444
169.50000000,0.00037433
170.50000000,0.00032022
171.50000000,0.00027247
172.50000000,0.00023491
173.50000000,0.00018971
174.50000000,0.00018271
175.50000000,0.00013369
176.50000000,0.00010568
177.50000000,0.00006939
178.50000000,0.00004329
179.50000000,0.00001719
