k_invA,S_k
0.20000000,0.59771284
0.23967936,0.59673510
0.27935872,0.59568494
0.31903808,0.59461178
0.35871743,0.59357092
0.39839679,0.59262288
0.43807615,0.59183264
0.47775551,0.59126882
0.51743487,0.59100275
0.55711423,0.59110751
0.59679359,0.59165677
0.63647295,0.59272360
0.67615230,0.59437912
0.71583166,0.59669103
0.75551102,0.59972200
0.79519038,0.60352795
0.83486974,0.60815623
0.87454910,0.61364374
0.91422846,0.62001499
0.95390782,0.62728022
0.99358717,0.63543361
1.03326653,0.64445170
1.07294589,0.65429203
1.11262525,0.66489224
1.15230461,0.67616953
1.19198397,0.68802078
1.23166333,0.70032327
1.27134269,0.71293612
1.31102204,0.72570248
1.35070140,0.73845251
1.39038076,0.75100710
1.43006012,0.76318227
1.46973948,0.77479427
1.50941884,0.78566505
1.54909820,0.79562811
1.58877756,0.80453448
1.62845691,0.81225860
1.66813627,0.81870379
1.70781563,0.82380723
1.74749499,0.82754401
1.78717435,0.82993017
1.82685371,0.83102436
1.86653307,0.83092815
1.90621242,0.82978469
1.94589178,0.82777571
1.98557114,0.82511689
2.02525050,0.82205170
2.06492986,0.81884369
2.10460922,0.81576765
2.14428858,0.81309979
2.18396794,0.81110729
2.22364729,0.81003770
2.26332665,0.81010845
2.30300601,0.81149701
2.34268537,0.81433218
2.38236473,0.81868670
2.42204409,0.82457186
2.46172345,0.83193413
2.50140281,0.84065420
2.54108216,0.85054861
2.58076152,0.86137386
2.62044088,0.87283307
2.66012024,0.88458496
2.69979960,0.89625496
2.73947896,0.90744792
2.77915832,0.91776213
2.81883768,0.92680403
2.85851703,0.93420304
2.89819639,0.93962599
2.93787575,0.94279042
2.97755511,0.94347635
3.01723447,0.94153582
3.05691383,0.93689993
3.09659319,0.92958294
3.13627255,0.91968316
3.17595190,0.90738072
3.21563126,0.89293205
3.25531062,0.87666135
3.29498998,0.85894941
3.33466934,0.84022009
3.37434870,0.82092511
3.41402806,0.80152772
3.45370741,0.78248598
3.49338677,0.76423630
3.53306613,0.74717801
3.57274549,0.73165963
3.61242485,0.71796748
3.65210421,0.70631700
3.69178357,0.69684747
3.73146293,0.68962007
3.77114228,0.68461962
3.81082164,0.68175988
3.85050100,0.68089212
3.89018036,0.68181673
3.92985972,0.68429722
3.96953908,0.68807607
4.00921844,0.69289166
4.04889780,0.69849550
4.08857715,0.70466894
4.12825651,0.71123855
4.16793587,0.71808937
4.20761523,0.72517539
4.24729459,0.73252663
4.28697395,0.74025247
4.32665331,0.74854080
4.36633267,0.75765308
4.40601202,0.76791528
4.44569138,0.77970496
4.48537074,0.79343508
4.52505010,0.80953495
4.56472946,0.82842927
4.60440882,0.85051599
4.64408818,0.87614391
4.68376754,0.90559112
4.72344689,0.93904499
4.76312625,0.97658490
4.80280561,1.01816828
4.84248497,1.06362076
4.88216433,1.11263098
4.92184369,1.16475038
4.96152305,1.21939807
5.00120240,1.27587094
5.04088176,1.33335844
5.08056112,1.39096189
5.12024048,1.44771753
5.15991984,1.50262250
5.19959920,1.55466294
5.23927856,1.60284318
5.27895792,1.64621488
5.31863727,1.68390526
5.35831663,1.71514313
5.39799599,1.73928210
5.43767535,1.75581985
5.47735471,1.76441295
5.51703407,1.76488666
5.55671343,1.75723941
5.59639279,1.74164180
5.63607214,1.71843033
5.67575150,1.68809592
5.71543086,1.65126797
5.75511022,1.60869435
5.79478958,1.56121830
5.83446894,1.50975287
5.87414830,1.45525413
5.91382766,1.39869390
5.95350701,1.34103304
5.99318637,1.28319619
6.03286573,1.22604886
6.07254509,1.17037747
6.11222445,1.11687300
6.15190381,1.06611863
6.19158317,1.01858169
6.23126253,0.97460988
6.27094188,0.93443176
6.31062124,0.89816124
6.35030060,0.86580566
6.38997996,0.83727698
6.42965932,0.81240538
6.46933868,0.79095473
6.50901804,0.77263907
6.54869739,0.75713951
6.58837675,0.74412076
6.62805611,0.73324670
6.66773547,0.72419449
6.70741483,0.71666655
6.74709419,0.71040040
6.78677355,0.70517571
6.82645291,0.70081893
6.86613226,0.69720505
6.90581162,0.69425699
6.94549098,0.69194268
6.98517034,0.69027015
7.02484970,0.68928109
7.06452906,0.68904327
7.10420842,0.68964227
7.14388778,0.69117297
7.18356713,0.69373129
7.22324649,0.69740644
7.26292585,0.70227419
7.30260521,0.70839124
7.34228457,0.71579107
7.38196393,0.72448116
7.42164329,0.73444183
7.46132265,0.74562644
7.50100200,0.75796296
7.54068136,0.77135672
7.58036072,0.78569399
7.62004008,0.80084631
7.65971944,0.81667513
7.69939880,0.83303657
7.73907816,0.84978604
7.77875752,0.86678242
7.81843687,0.88389165
