theta_deg,adf
0.50000000,0.00000000
1.50000000,0.00000000
2.50000000,0.00000000
3.50000000,0.00000000
4.50000000,0.00000000
5.50000000,0.00000000
6.50000000,0.00000000
7.50000000,0.00000000
8.50000000,0.00000000
9.50000000,0.00000000
10.50000000,0.00000000
11.50000000,0.00000000
12.50000000,0.00000000
13.50000000,0.00000000
14.50000000,0.00000000
15.50000000,0.00000000
16.50000000,0.00000000
17.50000000,0.00000000
18.50000000,0.00000000
19.50000000,0.00000000
20.50000000,0.00000000
21.50000000,0.00000000
22.50000000,0.00000000
23.50000000,0.00000000
24.50000000,0.00000000
25.50000000,0.00000000
26.50000000,0.00000000
27.50000000,0.00000000
28.50000000,0.00000000
29.50000000,0.00000000
30.50000000,0.00000000
31.50000000,0.00000000
32.50000000,0.00000000
33.50000000,0.00000000
34.50000000,0.00000000
35.50000000,0.00000000
36.50000000,0.00000000
37.50000000,0.00000000
38.50000000,0.00000000
39.50000000,0.00000000
40.50000000,0.00000254
41.50000000,0.00001333
42.50000000,0.00004381
43.50000000,0.00006096
44.50000000,0.00008445
45.50000000,0.00013970
46.50000000,0.00020320
47.50000000,0.00022796
48.50000000,0.00021463
49.50000000,0.00020383
50.50000000,0.00021780
51.50000000,0.00021971
52.50000000,0.00020637
53.50000000,0.00018923
54.50000000,0.00016002
55.50000000,0.00014414
56.50000000,0.00014160
57.50000000,0.00011493
58.50000000,0.00011938
59.50000000,0.00010922
60.50000000,0.00009906
61.50000000,0.00011049
62.50000000,0.00009779
63.50000000,0.00007937
64.50000000,0.00007302
65.50000000,0.00007048
66.50000000,0.00008445
67.50000000,0.00012636
68.50000000,0.00012255
69.50000000,0.00011239
70.50000000,0.00008953
71.50000000,0.00007493
72.50000000,0.00009525
73.50000000,0.00009652
74.50000000,0.00015430
75.50000000,0.00024193
76.50000000,0.00031623
77.50000000,0.00053212
78.50000000,0.00068071
79.50000000,0.00088391
80.50000000,0.00098360
81.50000000,0.00102932
82.50000000,0.00103504
83.50000000,0.00100646
84.50000000,0.00110616
85.50000000,0.00107250
86.50000000,0.00117918
87.50000000,0.00134364
88.50000000,0.00146556
89.50000000,0.00167384
90.50000000,0.00192530
91.50000000,0.00219898
92.50000000,0.00256346
93.50000000,0.00316798
94.50000000,0.00393886
95.50000000,0.00483928
96.50000000,0.00598798
97.50000000,0.00745926
98.50000000,0.00934264
99.50000000,0.01150606
100.50000000,0.01433559
101.50000000,0.01721845
102.50000000,0.02013561
103.50000000,0.02365601
104.50000000,0.02713894
105.50000000,0.03063013
106.50000000,0.03342346
107.50000000,0.03611202
108.50000000,0.03804049
109.50000000,0.03986927
110.50000000,0.04062110
111.50000000,0.04099130
112.50000000,0.04107512
113.50000000,0.04037218
114.50000000,0.03967560
115.50000000,0.03861262
116.50000000,0.03771283
117.50000000,0.03636157
118.50000000,0.03413021
119.50000000,0.03187662
120.50000000,0.02953667
121.50000000,0.02659729
122.50000000,0.02392143
123.50000000,0.02107413
124.50000000,0.01861988
125.50000000,0.01610595
126.50000000,0.01412096
127.50000000,0.01228202
128.50000000,0.01054786
129.50000000,0.00921501
130.50000000,0.00803646
131.50000000,0.00693285
132.50000000,0.00600385
133.50000000,0.00531806
134.50000000,0.00448495
135.50000000,0.00411793
136.50000000,0.00376804
137.50000000,0.00342959
138.50000000,0.00297811
139.50000000,0.00270126
140.50000000,0.00252600
141.50000000,0.00236471
142.50000000,0.00219707
143.50000000,0.00201864
144.50000000,0.00192466
145.50000000,0.00179004
146.50000000,0.00164209
147.50000000,0.00157478
148.50000000,0.00152525
149.50000000,0.00141984
150.50000000,0.00130618
151.50000000,0.00130237
152.50000000,0.00121601
153.50000000,0.00115632
154.50000000,0.00108012
155.50000000,0.00101027
156.50000000,0.00097217
157.50000000,0.00094360
158.50000000,0.00087692
159.50000000,0.00078041
160.50000000,0.00076326
161.50000000,0.00066103
162.50000000,0.00061023
163.50000000,0.00057594
164.50000000,0.00054990
165.50000000,0.00050609
166.50000000,0.00046100
167.50000000,0.00042163
168.50000000,0.00036385
169.50000000,0.00032512
170.50000000,0.00028511
171.50000000,0.00028702
172.50000000,0.00022288
173.50000000,0.00021209
174.50000000,0.00015113
175.50000000,0.00016319
176.50000000,0.00011938
177.50000000,0.00006731
178.50000000,0.00004254
179.50000000,0.00001905
