k_invA,S_k
0.20000000,0.59815217
0.23967936,0.59717944
0.27935872,0.59612972
0.31903808,0.59505041
0.35871743,0.59399493
0.39839679,0.59302219
0.43807615,0.59219599
0.47775551,0.59158428
0.51743487,0.59125832
0.55711423,0.59129174
0.59679359,0.59175944
0.63647295,0.59273633
0.67615230,0.59429592
0.71583166,0.59650878
0.75551102,0.59944077
0.79519038,0.60315121
0.83486974,0.60769086
0.87454910,0.61309990
0.91422846,0.61940579
0.95390782,0.62662129
0.99358717,0.63474252
1.03326653,0.64374721
1.07294589,0.65359338
1.11262525,0.66421831
1.15230461,0.67553808
1.19198397,0.68744768
1.23166333,0.69982185
1.27134269,0.71251663
1.31102204,0.72537170
1.35070140,0.73821352
1.39038076,0.75085922
1.43006012,0.76312124
1.46973948,0.77481251
1.50941884,0.78575213
1.54909820,0.79577141
1.58877756,0.80471983
1.62845691,0.81247108
1.66813627,0.81892853
1.70781563,0.82403017
1.74749499,0.82775265
1.78717435,0.83011414
1.82685371,0.83117600
1.86653307,0.83104278
1.90621242,0.82986084
1.94589178,0.82781507
1.98557114,0.82512418
2.02525050,0.82203428
2.06492986,0.81881107
2.10460922,0.81573087
2.14428858,0.81307073
2.18396794,0.81109793
2.22364729,0.81005931
2.26332665,0.81017091
2.30300601,0.81160816
2.34268537,0.81449724
2.38236473,0.81890792
2.42204409,0.82484823
2.46172345,0.83226134
2.50140281,0.84102477
2.54108216,0.85095215
2.58076152,0.86179752
2.62044088,0.87326213
2.66012024,0.88500353
2.69979960,0.89664675
2.73947896,0.90779700
2.77915832,0.91805374
2.81883768,0.92702530
2.85851703,0.93434366
2.89819639,0.93967870
2.93787575,0.94275142
2.97755511,0.94334550
3.01723447,0.94131668
3.05691383,0.93659961
3.09659319,0.92921179
3.13627255,0.91925431
3.17595190,0.90690951
3.21563126,0.89243530
3.25531062,0.87615667
3.29498998,0.85845438
3.33466934,0.83975155
3.37434870,0.82049843
3.41402806,0.80115621
3.45370741,0.78218038
3.49338677,0.76400444
3.53306613,0.74702460
3.57274549,0.73158625
3.61242485,0.71797264
3.65210421,0.70639644
3.69178357,0.69699453
3.73146293,0.68982619
3.77114228,0.68487488
3.81082164,0.68205360
3.85050100,0.68121347
3.89018036,0.68215529
3.92985972,0.68464346
3.96953908,0.68842179
4.00921844,0.69323028
4.04889780,0.69882222
4.08857715,0.70498080
4.12825651,0.71153433
4.16793587,0.71836937
4.20761523,0.72544112
4.24729459,0.73278042
4.28697395,0.74049699
4.32665331,0.74877861
4.36633267,0.75788616
4.40601202,0.76814458
4.44569138,0.77993009
4.48537074,0.79365402
4.52505010,0.80974391
4.56472946,0.82862273
4.60440882,0.85068676
4.64408818,0.87628346
4.68376754,0.90568989
4.72344689,0.93909294
4.76312625,0.97657204
4.80280561,1.01808528
4.84248497,1.06345958
4.88216433,1.11238548
4.92184369,1.16441684
4.96152305,1.21897567
5.00120240,1.27536204
5.04088176,1.33276883
5.08056112,1.39030077
5.12024048,1.44699739
5.15991984,1.50185878
5.19959920,1.55387360
5.23927856,1.60204803
5.27895792,1.64543491
5.31863727,1.68316179
5.35831663,1.71445698
5.39799599,1.73867272
5.43767535,1.75530448
5.47735471,1.76400589
5.51703407,1.76459863
5.55671343,1.75707706
5.59639279,1.74160739
5.63607214,1.71852159
5.67575150,1.68830614
5.71543086,1.65158624
5.75511022,1.60910601
5.79478958,1.56170555
5.83446894,1.51029553
5.87414830,1.45583050
5.91382766,1.39928166
5.95350701,1.34161020
5.99318637,1.28374202
6.03286573,1.22654475
6.07254509,1.17080770
6.11222445,1.11722535
6.15190381,1.06638486
6.19158317,1.01875782
6.23126253,0.97469628
6.27094188,0.93443304
6.31062124,0.89808598
6.35030060,0.86566596
6.38997996,0.83708783
6.42965932,0.81218395
6.46933868,0.79071956
6.50901804,0.77240924
6.54869739,0.75693376
6.58837675,0.74395670
6.62805611,0.73314005
6.66773547,0.72415840
6.70741483,0.71671113
6.74709419,0.71053226
6.78677355,0.70539785
6.82645291,0.70113056
6.86613226,0.69760177
6.90581162,0.69473100
6.94549098,0.69248315
6.98517034,0.69086373
7.02484970,0.68991245
7.06452906,0.68969573
7.10420842,0.69029843
7.14388778,0.69181537
7.18356713,0.69434298
7.22324649,0.69797157
7.26292585,0.70277845
7.30260521,0.70882229
7.34228457,0.71613878
7.38196393,0.72473785
7.42164329,0.73460229
7.46132265,0.74568797
7.50100200,0.75792527
7.54068136,0.77122176
7.58036072,0.78546576
7.62004008,0.80053056
7.65971944,0.81627913
7.69939880,0.83256881
