theta_deg,adf
0.50000000,0.00000000
1.50000000,0.00000000
2.50000000,0.00000000
3.50000000,0.00000000
4.50000000,0.00000000
5.50000000,0.00000000
6.50000000,0.00000000
7.50000000,0.00000000
8.50000000,0.00000000
9.50000000,0.00000000
10.50000000,0.00000000
11.50000000,0.00000000
12.50000000,0.00000000
13.50000000,0.00000000
14.50000000,0.00000000
15.50000000,0.00000000
16.50000000,0.00000000
17.50000000,0.00000000
18.50000000,0.00000000
19.50000000,0.00000000
20.50000000,0.00000000
21.50000000,0.00000000
22.50000000,0.00000000
23.50000000,0.00000000
24.50000000,0.00000000
25.50000000,0.00000000
26.50000000,0.00000000
27.50000000,0.00000000
28.50000000,0.00000000
29.50000000,0.00000000
30.50000000,0.00000000
31.50000000,0.00000000
32.50000000,0.00000000
33.50000000,0.00000000
34.50000000,0.00000000
35.50000000,0.00000064
36.50000000,0.00000064
37.50000000,0.00000127
38.50000000,0.00000064
39.50000000,0.00000191
40.50000000,0.00000255
41.50000000,0.00001591
42.50000000,0.00005411
43.50000000,0.00006366
44.50000000,0.00009803
45.50000000,0.00015851
46.50000000,0.00018970
47.50000000,0.00023553
48.50000000,0.00022853
49.50000000,0.00025400
50.50000000,0.00023935
51.50000000,0.00023617
52.50000000,0.00022790
53.50000000,0.00018524
54.50000000,0.00016678
55.50000000,0.00016169
56.50000000,0.00015596
57.50000000,0.00012159
58.50000000,0.00011331
59.50000000,0.00010758
60.50000000,0.00011586
61.50000000,0.00011904
62.50000000,0.00010313
63.50000000,0.00007321
64.50000000,0.00006684
65.50000000,0.00008148
66.50000000,0.00010822
67.50000000,0.00013814
68.50000000,0.00015087
69.50000000,0.00010376
70.50000000,0.00008912
71.50000000,0.00007894
72.50000000,0.00008912
73.50000000,0.00010504
74.50000000,0.00015533
75.50000000,0.00023108
76.50000000,0.00035012
77.50000000,0.00052454
78.50000000,0.00068751
79.50000000,0.00092113
80.50000000,0.00105418
81.50000000,0.00100961
82.50000000,0.00105927
83.50000000,0.00109555
84.50000000,0.00109619
85.50000000,0.00111083
86.50000000,0.00118913
87.50000000,0.00131899
88.50000000,0.00148896
89.50000000,0.00164683
90.50000000,0.00188618
91.50000000,0.00219684
92.50000000,0.00260616
93.50000000,0.00319054
94.50000000,0.00386722
95.50000000,0.00485710
96.50000000,0.00610671
97.50000000,0.00739005
98.50000000,0.00927242
99.50000000,0.01163476
100.50000000,0.01412506
101.50000000,0.01693428
102.50000000,0.02020439
103.50000000,0.02366611
104.50000000,0.02713292
105.50000000,0.03031582
106.50000000,0.03347898
107.50000000,0.03590753
108.50000000,0.03831317
109.50000000,0.03959715
110.50000000,0.04049918
111.50000000,0.04079965
112.50000000,0.04077800
113.50000000,0.04071371
114.50000000,0.03990398
115.50000000,0.03876768
116.50000000,0.03765813
117.50000000,0.03621564
118.50000000,0.03415821
119.50000000,0.03190663
120.50000000,0.02913497
121.50000000,0.02664594
122.50000000,0.02379152
123.50000000,0.02117900
124.50000000,0.01861231
125.50000000,0.01621113
126.50000000,0.01412888
127.50000000,0.01221405
128.50000000,0.01064042
129.50000000,0.00919412
130.50000000,0.00783311
131.50000000,0.00689352
132.50000000,0.00600740
133.50000000,0.00524032
134.50000000,0.00471005
135.50000000,0.00414922
136.50000000,0.00373927
137.50000000,0.00336623
138.50000000,0.00311988
139.50000000,0.00279586
140.50000000,0.00261825
141.50000000,0.00232924
142.50000000,0.00217710
143.50000000,0.00209116
144.50000000,0.00190719
145.50000000,0.00179006
146.50000000,0.00167930
147.50000000,0.00156599
148.50000000,0.00158954
149.50000000,0.00146541
150.50000000,0.00138392
151.50000000,0.00128462
152.50000000,0.00123496
153.50000000,0.00114457
154.50000000,0.00111720
155.50000000,0.00104972
156.50000000,0.00099625
157.50000000,0.00091095
158.50000000,0.00081864
159.50000000,0.00083392
160.50000000,0.00073843
161.50000000,0.00074480
162.50000000,0.00063021
163.50000000,0.00053345
164.50000000,0.00054173
165.50000000,0.00051181
166.50000000,0.00046279
167.50000000,0.00045070
168.50000000,0.00039277
169.50000000,0.00036794
170.50000000,0.00031511
171.50000000,0.00027182
172.50000000,0.00023299
173.50000000,0.00018524
174.50000000,0.00018079
175.50000000,0.00014068
176.50000000,0.00010567
177.50000000,0.00007193
178.50000000,0.00004456
179.50000000,0.00001400
