r_A,g_r,g_r_error,n_r
0.51375000,0.00000000,0.00043156,0.00000000
0.54125000,0.00000000,0.00038882,0.00000000
0.56875000,0.00000000,0.00035213,0.00000000
0.59625000,0.00000000,0.00032039,0.00000000
0.62375000,0.00000000,0.00029276,0.00000000
0.65125000,0.00000000,0.00026856,0.00000000
0.67875000,0.00000000,0.00024724,0.00000000
0.70625000,0.00000000,0.00022836,0.00000000
0.73375000,0.00000000,0.00021156,0.00000000
0.76125000,0.00000000,0.00019656,0.00000000
0.78875000,0.00000000,0.00018309,0.00000000
0.81625000,0.00000000,0.00017096,0.00000000
0.84375000,0.00000000,0.00016000,0.00000000
0.87125000,0.00000000,0.00015006,0.00000000
0.89875000,0.00000000,0.00014101,0.00000000
0.92625000,0.00000000,0.00013276,0.00000000
0.95375000,0.00000000,0.00012522,0.00000000
0.98125000,0.00000000,0.00011830,0.00000000
1.00875000,0.00000000,0.00011194,0.00000000
1.03625000,0.00000000,0.00010607,0.00000000
1.06375000,0.00000000,0.00010066,0.00000000
1.09125000,0.00000000,0.00009565,0.00000000
1.11875000,0.00000000,0.00009101,0.00000000
1.14625000,0.00000000,0.00008669,0.00000000
1.17375000,0.00000000,0.00008268,0.00000000
1.20125000,0.00000000,0.00007894,0.00000000
1.22875000,0.00000000,0.00007544,0.00000000
1.25625000,0.00101045,0.00027005,0.00005915
1.28375000,0.01942162,0.00115860,0.00124645
1.31125000,0.16800345,0.00333613,0.01196170
1.33875000,0.68441001,0.00659521,0.05746349
1.36625000,1.92002697,0.01082414,0.19041120
1.39375000,3.21317878,0.01372627,0.42194683
1.42125000,4.05745704,0.01512608,0.72597096
1.44875000,5.11747262,0.01666496,1.12440424
1.47625000,5.72198845,0.01729353,1.58697691
1.50375000,5.31957892,0.01636941,2.03318939
1.53125000,4.06114806,0.01404586,2.38641664
1.55875000,2.65851429,0.01116382,2.62602674
1.58625000,1.56706172,0.00842251,2.77229246
1.61375000,0.88518699,0.00622230,2.85780320
1.64125000,0.50425342,0.00461764,2.90818939
1.66875000,0.30881923,0.00355411,2.94009008
1.69625000,0.20023456,0.00281546,2.96146143
1.72375000,0.14252819,0.00233747,2.97717094
1.75125000,0.10636939,0.00198761,2.98927207
1.77875000,0.08629351,0.00176256,2.99940001
1.80625000,0.06584547,0.00151620,3.00736885
1.83375000,0.05982055,0.00142349,3.01483065
1.86125000,0.06431309,0.00145417,3.02309525
1.88875000,0.08656065,0.00166248,3.03454993
1.91625000,0.10332615,0.00179029,3.04862426
1.94375000,0.07087805,0.00146179,3.05855784
1.97125000,0.01829115,0.00073223,3.06119440
1.99875000,0.00376354,0.00032757,3.06175213
2.02625000,0.00102649,0.00016875,3.06190846
2.05375000,0.00072914,0.00014032,3.06202255
2.08125000,0.00076259,0.00014161,3.06214508
2.10875000,0.00161373,0.00020331,3.06241127
2.13625000,0.00783728,0.00044228,3.06373800
2.16375000,0.03510687,0.00092419,3.06983505
2.19125000,0.17974357,0.00206493,3.10184982
2.21875000,0.45849985,0.00325710,3.18557751
2.24625000,0.51675957,0.00341551,3.28229786
2.27375000,0.61271076,0.00367413,3.39980226
2.30125000,0.84619173,0.00426619,3.56603231
2.32875000,1.16168937,0.00493960,3.79972705
2.35625000,1.51815876,0.00558094,4.11238761
2.38375000,1.83643532,0.00606732,4.49947607
2.41125000,2.09023666,0.00639920,4.95028563
2.43875000,2.24893572,0.00656283,5.44644909
2.46625000,2.31059906,0.00657802,5.96777819
2.49375000,2.25931503,0.00643288,6.48896785
2.52125000,2.14410590,0.00619837,6.99454942
2.54875000,1.97983689,0.00589193,7.47163585
2.57625000,1.79887010,0.00555625,7.91451883
2.60375000,1.61120547,0.00520291,8.31971251
2.63125000,1.41382581,0.00482287,8.68281842
2.65875000,1.26603939,0.00451665,9.01480107
2.68625000,1.12808152,0.00421982,9.31675906
2.71375000,1.03881168,0.00400838,9.60054421
2.74125000,0.94825580,0.00379126,9.86486783
2.76875000,0.89978098,0.00365641,10.12073672
2.79625000,0.85774017,0.00353486,10.36951984
2.82375000,0.81972977,0.00342199,10.61197776
2.85125000,0.81085900,0.00337060,10.85650605
2.87875000,0.80029296,0.00331658,11.10252586
2.90625000,0.79738340,0.00327922,11.35235685
2.93375000,0.79847818,0.00325071,11.60728772
2.96125000,0.79795313,0.00321946,11.86684948
2.98875000,0.79265781,0.00317924,12.12949990
3.01625000,0.79329397,0.00315152,12.39722063
3.04375000,0.79205655,0.00312061,12.66942013
3.07125000,0.79107417,0.00309075,12.94621670
3.09875000,0.79512624,0.00307115,13.22943567
3.12625000,0.79124529,0.00303670,13.51629682
3.15375000,0.80013585,0.00302708,13.81150706
3.18125000,0.80052100,0.00300164,14.11203269
3.20875000,0.80538869,0.00298495,14.41963561
3.23625000,0.80896458,0.00296615,14.73392290
3.26375000,0.82271055,0.00296604,15.05900571
3.29125000,0.82381460,0.00294323,15.39003346
3.31875000,0.83944407,0.00294640,15.73300179
3.34625000,0.84716715,0.00293560,16.08488541
3.37375000,0.85913123,0.00293215,16.44762794
3.40125000,0.87377946,0.00293314,16.82259414
3.42875000,0.88523315,0.00292862,17.20864319
3.45625000,0.91188898,0.00294874,17.61272140
3.48375000,0.94029910,0.00297068,18.03604567
3.51125000,0.97868653,0.00300698,18.48363558
3.53875000,1.01067813,0.00303198,18.95312500
3.56625000,1.06192747,0.00308394,19.45411794
3.59375000,1.10876173,0.00312710,19.98530456
3.62125000,1.16534814,0.00318155,20.55217770
3.64875000,1.20698476,0.00321349,21.14825581
3.67625000,1.24038087,0.00323327,21.77009532
3.70375000,1.26158728,0.00323658,22.41206395
3.73125000,1.26732579,0.00322003,23.06656470
3.75875000,1.26118460,0.00318872,23.72753008
3.78625000,1.23846548,0.00313691,24.38612088
3.81375000,1.19597716,0.00306041,25.03138943
3.84125000,1.16206227,0.00299511,25.66743426
3.86875000,1.10584463,0.00290099,26.28140633
3.89625000,1.06299284,0.00282415,26.88000693
3.92375000,1.01434901,0.00273944,27.45930655
3.95125000,0.97707094,0.00266992,28.02516563
3.97875000,0.93874431,0.00259894,28.57642222
4.00625000,0.90843567,0.00253910,29.11728046
4.03375000,0.88701891,0.00249188,29.65266276
4.06125000,0.87956347,0.00246459,30.19080838
4.08875000,0.86987709,0.00243449,30.73025960
4.11625000,0.86817510,0.00241586,31.27592195
4.14375000,0.87583478,0.00241039,31.83377839
4.17125000,0.88709317,0.00240984,32.40633028
4.19875000,0.89179279,0.00240039,32.98952981
4.22625000,0.90526171,0.00240271,33.58931771
4.25375000,0.91303369,0.00239741,34.20215319
4.28125000,0.92758527,0.00240091,34.83283194
4.30875000,0.93750172,0.00239831,35.47846809
4.33625000,0.94698376,0.00239512,36.13898560
4.36375000,0.95374248,0.00238850,36.81268169
4.39125000,0.96142771,0.00238309,37.50039295
4.41875000,0.97331110,0.00238285,38.20535171
4.44625000,0.97668653,0.00237221,38.92158768
4.47375000,0.98930737,0.00237282,39.65608099
4.50125000,0.99931035,0.00237021,40.40714998
4.52875000,1.00769303,0.00236568,41.17380172
4.55625000,1.02122216,0.00236713,41.96021076
4.58375000,1.02831580,0.00236109,42.76167016
4.61125000,1.04237293,0.00236300,43.58386290
4.63875000,1.04974741,0.00235728,44.42177782
4.66625000,1.06405864,0.00235931,45.28121620
4.69375000,1.07293804,0.00235525,46.15807109
4.72125000,1.07866200,0.00234777,47.04996366
4.74875000,1.08629312,0.00234242,47.95866009
4.77625000,1.08674714,0.00232942,48.87829570
4.80375000,1.08900515,0.00231849,49.81048455
4.83125000,1.09024844,0.00230660,50.75445342
4.85875000,1.09041925,0.00229373,51.70934880
4.88625000,1.08161967,0.00227160,52.66729060
4.91375000,1.07188679,0.00224870,53.62732812
4.94125000,1.06596511,0.00223000,54.59277819
4.96875000,1.05918577,0.00221059,55.56279577
4.99625000,1.05033694,0.00218922,56.53538653
5.02375000,1.03609372,0.00216243,57.50537875
5.05125000,1.02361091,0.00213766,58.47420481
5.07875000,1.01046262,0.00211239,59.44102809
5.10625000,1.00512995,0.00209546,60.41319210
5.13375000,0.99213009,0.00207071,61.38314630
5.16125000,0.98274028,0.00204991,62.35424131
5.18875000,0.97481749,0.00203081,63.32779966
5.21625000,0.96704857,0.00201204,64.30386357
5.24375000,0.96288479,0.00199717,65.28599919
5.27125000,0.95944782,0.00198320,66.27492057
5.29875000,0.95329174,0.00196657,67.26777566
5.32625000,0.95094136,0.00195400,68.26848972
5.35375000,0.95616718,0.00194930,69.28512034
5.38125000,0.95351542,0.00193665,70.30937331
5.40875000,0.95726123,0.00193058,71.34818652
5.43625000,0.95667765,0.00192023,72.39695021
5.46375000,0.95969350,0.00191357,73.45969105
5.49125000,0.96255201,0.00190683,74.53635411
5.51875000,0.96698523,0.00190169,75.62883653
5.54625000,0.97142783,0.00189660,76.73730310
5.57375000,0.97666350,0.00189232,77.86282281
5.60125000,0.98240327,0.00188856,79.00615620
5.62875000,0.98557936,0.00188236,80.16447658
5.65625000,0.98820948,0.00187571,81.33726423
5.68375000,0.99135972,0.00186961,82.52525859
5.71125000,0.99757785,0.00186643,83.73230040
5.73875000,1.00023517,0.00185996,84.95424047
5.76625000,1.00969938,0.00185983,86.19959269
5.79375000,1.00770748,0.00184917,87.45437145
5.82125000,1.01054834,0.00184303,88.72466113
5.84875000,1.01677761,0.00184001,90.01488558
5.87625000,1.01464907,0.00182948,91.31454502
5.90375000,1.01960104,0.00182540,92.63279982
5.93125000,1.02241033,0.00181943,93.96703032
5.95875000,1.02173363,0.00181044,95.31277042
5.98625000,1.01722462,0.00179814,96.66496670
