r_A,g_r,g_r_error,n_r
0.51375000,0.00000000,0.00043156,0.00000000
0.54125000,0.00000000,0.00038882,0.00000000
0.56875000,0.00000000,0.00035213,0.00000000
0.59625000,0.00000000,0.00032039,0.00000000
0.62375000,0.00000000,0.00029276,0.00000000
0.65125000,0.00000000,0.00026856,0.00000000
0.67875000,0.00000000,0.00024724,0.00000000
0.70625000,0.00000000,0.00022836,0.00000000
0.73375000,0.00000000,0.00021156,0.00000000
0.76125000,0.00000000,0.00019656,0.00000000
0.78875000,0.00000000,0.00018309,0.00000000
0.81625000,0.00000000,0.00017096,0.00000000
0.84375000,0.00000000,0.00016000,0.00000000
0.87125000,0.00000000,0.00015006,0.00000000
0.89875000,0.00000000,0.00014101,0.00000000
0.92625000,0.00000000,0.00013276,0.00000000
0.95375000,0.00000000,0.00012522,0.00000000
0.98125000,0.00000000,0.00011830,0.00000000
1.00875000,0.00000000,0.00011194,0.00000000
1.03625000,0.00000000,0.00010607,0.00000000
1.06375000,0.00010066,0.00010066,0.00000423
1.09125000,0.00009565,0.00009565,0.00000845
1.11875000,0.00009101,0.00009101,0.00001268
1.14625000,0.00000000,0.00008669,0.00001268
1.17375000,0.00000000,0.00008268,0.00001268
1.20125000,0.00007894,0.00007894,0.00001690
1.22875000,0.00022633,0.00013067,0.00002958
1.25625000,0.00216525,0.00039532,0.00015633
1.28375000,0.02038924,0.00118711,0.00140279
1.31125000,0.17158081,0.00337147,0.01234620
1.33875000,0.70112464,0.00667526,0.05895923
1.36625000,1.93717388,0.01087237,0.19309424
1.39375000,3.24947496,0.01380358,0.42724530
1.42125000,4.06602826,0.01514205,0.73191168
1.44875000,5.10737855,0.01664852,1.12955905
1.47625000,5.76693730,0.01736132,1.59576545
1.50375000,5.27323673,0.01629795,2.03809069
1.53125000,4.04103639,0.01401104,2.38956869
1.55875000,2.64130936,0.01112764,2.62762811
1.58625000,1.53713920,0.00834171,2.77110093
1.61375000,0.86747276,0.00615973,2.85490045
1.64125000,0.49867175,0.00459201,2.90472891
1.66875000,0.30738762,0.00354586,2.93648171
1.69625000,0.19449435,0.00277481,2.95724040
1.72375000,0.14168483,0.00233054,2.97285695
1.75125000,0.10733503,0.00199661,2.98506794
1.77875000,0.08449348,0.00174408,2.99498462
1.80625000,0.06877814,0.00154959,3.00330838
1.83375000,0.06046414,0.00143113,3.01085046
1.86125000,0.06365549,0.00144672,3.01903056
1.88875000,0.08681608,0.00166493,3.03051903
1.91625000,0.10385348,0.00179485,3.04466519
1.94375000,0.07319945,0.00148554,3.05492411
1.97125000,0.01919985,0.00075020,3.05769166
1.99875000,0.00359247,0.00032004,3.05822404
2.02625000,0.00169232,0.00021668,3.05848178
2.05375000,0.00108020,0.00017079,3.05865079
2.08125000,0.00147258,0.00019678,3.05888741
2.10875000,0.00245901,0.00025097,3.05929303
2.13625000,0.00891054,0.00047160,3.06080145
2.16375000,0.03644497,0.00094163,3.06713088
2.19125000,0.18242419,0.00208027,3.09962311
2.21875000,0.47416418,0.00331227,3.18621130
2.24625000,0.51436664,0.00340760,3.28248378
2.27375000,0.61561899,0.00368284,3.40054590
2.30125000,0.84311599,0.00425843,3.56617175
2.32875000,1.16444084,0.00494545,3.80041999
2.35625000,1.51497875,0.00557509,4.11242564
2.38375000,1.84457382,0.00608075,4.50122955
2.41125000,2.09548703,0.00640723,4.95317148
2.43875000,2.25100410,0.00656585,5.44979127
2.46625000,2.31417590,0.00658311,5.97192739
2.49375000,2.25125593,0.00642140,6.49125794
2.52125000,2.13647250,0.00618732,6.99503955
2.54875000,1.97392787,0.00588313,7.47070207
2.57625000,1.78797233,0.00553940,7.91090201
2.60375000,1.60011665,0.00518497,8.31330702
2.63125000,1.42121271,0.00483546,8.67831007
2.65875000,1.26099592,0.00450764,9.00897022
2.68625000,1.13161738,0.00422643,9.31187466
2.71375000,1.01793151,0.00396789,9.58995572
2.74125000,0.95387943,0.00380249,9.85584691
2.76875000,0.89330271,0.00364322,10.10987358
2.79625000,0.84964059,0.00351813,10.35630746
2.82375000,0.82242968,0.00342762,10.59956395
2.85125000,0.80624938,0.00336101,10.84270214
2.87875000,0.80107640,0.00331820,11.08896278
2.90625000,0.79889380,0.00328232,11.33926700
2.93375000,0.79621516,0.00324610,11.59347536
2.96125000,0.79673212,0.00321700,11.85263994
2.98875000,0.79643225,0.00318680,12.11654104
3.01625000,0.78991356,0.00314480,12.38312094
3.04375000,0.79830232,0.00313289,12.65746687
3.07125000,0.79057907,0.00308978,12.93409022
3.09875000,0.79456871,0.00307008,13.21711060
3.12625000,0.79671123,0.00304717,13.50595339
3.15375000,0.80200254,0.00303061,13.80185235
3.18125000,0.80173654,0.00300392,14.10283430
3.20875000,0.80566526,0.00298546,14.41054286
3.23625000,0.81253180,0.00297268,14.72621603
3.26375000,0.82406858,0.00296848,15.05183545
3.29125000,0.82672731,0.00294843,15.38403360
3.31875000,0.83967158,0.00294680,15.72709488
3.34625000,0.84578370,0.00293320,16.07840387
3.37375000,0.86057227,0.00293461,16.44175483
3.40125000,0.86982135,0.00292649,16.81502248
3.42875000,0.89417587,0.00294338,17.20497144
3.45625000,0.91391044,0.00295200,17.60994541
3.48375000,0.93872238,0.00296819,18.03255983
3.51125000,0.97548990,0.00300206,18.47868780
3.53875000,1.01657220,0.00304081,18.95091519
3.56625000,1.06207973,0.00308416,19.45197996
3.59375000,1.11263350,0.00313255,19.98502146
3.62125000,1.16633835,0.00318291,20.55237628
3.64875000,1.20681365,0.00321326,21.14836990
3.67625000,1.23860254,0.00323096,21.76931787
3.70375000,1.26439384,0.00324018,22.41271464
3.73125000,1.27089291,0.00322456,23.06905760
3.75875000,1.26121685,0.00318876,23.73003989
3.78625000,1.23873563,0.00313726,24.38877434
3.81375000,1.19651752,0.00306110,25.03433444
3.84125000,1.15517638,0.00298622,25.66661033
3.86875000,1.10489335,0.00289974,26.28005425
3.89625000,1.06035921,0.00282065,26.87717178
3.92375000,1.01048705,0.00273422,27.45426582
3.95125000,0.96822847,0.00265781,28.01500389
3.97875000,0.93789527,0.00259777,28.56576190
4.00625000,0.90758405,0.00253790,29.10611310
4.03375000,0.89112813,0.00249765,29.64397563
4.06125000,0.87700829,0.00246100,30.18055790
4.08875000,0.87270462,0.00243845,30.72176261
4.11625000,0.87263218,0.00242205,31.27022630
4.14375000,0.87887299,0.00241457,31.83001792
4.17125000,0.88609810,0.00240849,32.40192756
4.19875000,0.89847993,0.00240937,32.98950024
4.22625000,0.90465588,0.00240191,33.58888673
4.25375000,0.91312182,0.00239752,34.20178137
4.28125000,0.92458993,0.00239703,34.83042354
4.30875000,0.93888830,0.00240008,35.47701460
4.33625000,0.94742598,0.00239568,36.13784056
4.36375000,0.96099820,0.00239757,36.81666188
4.39125000,0.96521998,0.00238778,37.50708576
4.41875000,0.96873751,0.00237724,38.20873192
4.44625000,0.98156094,0.00237813,38.92854246
4.47375000,0.98884070,0.00237226,39.66268929
4.50125000,0.99988940,0.00237090,40.41419348
4.52875000,1.00847610,0.00236660,41.18144098
4.55625000,1.01903290,0.00236459,41.96616414
4.58375000,1.02982832,0.00236282,42.76880239
4.61125000,1.03979097,0.00236007,43.58895856
4.63875000,1.04968919,0.00235722,44.42682700
4.66625000,1.06040201,0.00235525,45.28331193
4.69375000,1.07185749,0.00235407,46.15928373
4.72125000,1.07799258,0.00234704,47.05062280
4.74875000,1.08095417,0.00233665,47.95485313
4.77625000,1.08984283,0.00233273,48.87710840
4.80375000,1.08577698,0.00231505,49.80653394
4.83125000,1.09061932,0.00230700,50.75082393
4.85875000,1.08921784,0.00229247,51.70466722
4.88625000,1.08252612,0.00227255,52.66341181
4.91375000,1.07620804,0.00225323,53.62731967
4.94125000,1.06561989,0.00222964,54.59245707
4.96875000,1.05548561,0.00220673,55.55908599
4.99625000,1.04529025,0.00218396,56.52700362
5.02375000,1.03462241,0.00216089,57.49561841
5.05125000,1.02467785,0.00213877,58.46545430
5.07875000,1.01112502,0.00211308,59.43291137
5.10625000,1.00497705,0.00209530,60.40492749
5.13375000,0.99398849,0.00207265,61.37669855
5.16125000,0.98235117,0.00204950,62.34740907
5.18875000,0.97024408,0.00202604,63.31639991
5.21625000,0.96968171,0.00201477,64.29512152
5.24375000,0.95892876,0.00199306,65.27322201
5.27125000,0.96058743,0.00198438,66.26331801
5.29875000,0.95438710,0.00196770,67.25731392
5.32625000,0.95472760,0.00195789,68.26201241
5.35375000,0.95300788,0.00194608,69.27528394
5.38125000,0.95327941,0.00193641,70.29928340
5.40875000,0.95743644,0.00193076,71.33828674
5.43625000,0.95658129,0.00192013,72.38694480
5.46375000,0.95926616,0.00191315,73.44921241
5.49125000,0.96085972,0.00190515,74.52398256
5.51875000,0.97009308,0.00190474,75.61997617
5.54625000,0.97067984,0.00189587,76.72758924
5.57375000,0.97624552,0.00189192,77.85262726
5.60125000,0.98482483,0.00189088,78.99877890
5.62875000,0.98614739,0.00188291,80.15776687
5.65625000,0.99002166,0.00187743,81.33270518
5.68375000,0.99290759,0.00187107,82.52255442
5.71125000,0.99728801,0.00186616,83.72924554
5.73875000,1.00285336,0.00186239,84.95438413
5.76625000,1.00407090,0.00185464,86.19279425
5.79375000,1.00858973,0.00184998,87.44867158
5.82125000,1.01071977,0.00184319,88.71917675
5.84875000,1.01694410,0.00184016,90.00961246
5.87625000,1.01596195,0.00183066,91.31095356
5.90375000,1.02071543,0.00182639,92.63064917
5.93125000,1.01947690,0.00181682,93.96105158
5.95875000,1.02266714,0.00181126,95.30802123
5.98625000,1.02038411,0.00180093,96.66441742
