energy_kev,sp3_target,frame_index,step,time_ps,n_atoms,density_atoms_A3,sp_percent,sp2_percent,sp3_percent,defect_percent,mean_coord,elastic_modulus_rel,mean_pe_eV,total_pe_eV,mean_ke_eV,total_ke_eV,max_ke_atom_eV,threshold_cumulative_A,n_displaced_cumulative,max_dr_cumulative_A,mean_dr_cumulative_A,n_displaced_incremental,max_dr_incremental_A
10,40,28,1188,1.188000,473344,0.135644,3.759000,57.536168,38.701452,0.003380,3.349378,0.285737,-6.586931,-3117884.035778,0.042388,20064.321591,218.734000,1.959050,28,42.993465,6.386889,12,1.305084
10,40,29,1242,1.242000,473344,0.135644,3.768084,57.544196,38.684551,0.003169,3.349125,0.285554,-6.586902,-3117870.576449,0.042350,20046.083100,193.382000,1.166932,75,43.051462,3.449802,37,2.688162
10,40,30,1269,1.269000,473344,0.135644,3.772521,57.553069,38.671452,0.002958,3.348926,0.285410,-6.586884,-3117862.186108,0.042312,20028.163146,91.727900,2.256364,30,43.112855,6.555464,18,1.217889
10,40,31,1296,1.296000,473344,0.135644,3.777591,57.568491,38.651594,0.002324,3.348702,0.285249,-6.586698,-3117773.932431,0.042111,19933.198791,85.439100,1.622659,54,43.223832,4.595567,4,1.301711
10,40,32,1323,1.323000,473344,0.135644,3.773999,57.579055,38.645467,0.001479,3.348685,0.285236,-6.586664,-3117757.656920,0.042071,19913.955708,75.604600,5.025003,11,43.327051,13.082314,7,1.337091
10,40,33,1350,1.350000,473344,0.135644,3.774211,57.551168,38.671030,0.003591,3.348922,0.285407,-6.586553,-3117705.280932,0.041953,19858.180594,41.417900,1.868921,55,43.308130,4.860064,7,1.272476
10,40,34,1377,1.377000,473344,0.135644,3.769774,57.548844,38.678002,0.003380,3.349040,0.285493,-6.586423,-3117643.824630,0.041826,19798.095226,33.791600,1.782939,66,43.027799,4.500895,13,1.160633
10,40,35,1404,1.404000,473344,0.135644,3.759211,57.559407,38.678424,0.002958,3.349129,0.285557,-6.586516,-3117688.026539,0.041914,19839.572492,26.574100,1.959050,64,42.764245,4.720837,9,1.315235
10,40,36,1431,1.431000,473344,0.135644,3.769352,57.567858,38.659622,0.003169,3.348837,0.285346,-6.586455,-3117658.728800,0.041826,19797.947920,18.219200,3.970669,21,42.566241,9.339100,1,1.280803
10,40,37,1485,1.485000,473344,0.135644,3.780549,57.528563,38.689621,0.001268,3.349074,0.285517,-6.586422,-3117643.541370,0.041758,19766.118011,9.216050,4.573275,17,42.408030,10.780991,1,2.610576
10,40,38,1539,1.539000,473344,0.135644,3.776323,57.587928,38.635115,0.000634,3.348575,0.285157,-6.586554,-3117705.697910,0.041771,19772.138938,4.015970,3.137552,30,41.884234,7.673925,0,1.808664
10,40,39,1593,1.593000,473344,0.135644,3.761112,57.541450,38.696804,0.000634,3.349344,0.285712,-6.586511,-3117685.400770,0.041723,19749.430329,2.138840,4.362875,17,42.096952,10.795977,0,1.714011
10,40,40,1620,1.620000,473344,0.135644,3.778013,57.583280,38.638495,0.000211,3.348601,0.285175,-6.586498,-3117679.540360,0.041714,19745.052983,2.355430,4.573275,15,42.182090,11.509067,0,1.054302
10,40,41,1674,1.674000,473344,0.135644,3.764281,57.540182,38.695325,0.000211,3.349306,0.285685,-6.586578,-3117717.205380,0.041759,19766.482061,1.800190,3.137552,29,42.021707,7.779601,0,1.262953
10,40,42,1701,1.701000,473344,0.135644,3.755197,57.546309,38.698494,0.000000,3.349433,0.285776,-6.586623,-3117738.432320,0.041779,19775.897175,1.627760,4.162154,17,42.066832,10.708967,0,1.088200
10,40,43,1728,1.728000,473344,0.135644,3.750761,57.547999,38.701241,0.000000,3.349505,0.285828,-6.586580,-3117718.220210,0.041753,19763.614192,1.933510,3.613720,23,42.062264,8.948528,0,1.015058
10,40,44,1755,1.755000,473344,0.135644,3.738719,57.549266,38.711592,0.000423,3.349720,0.285984,-6.586678,-3117764.278350,0.041822,19796.156182,2.554780,2.993204,32,42.075916,7.328122,0,1.014699
10,40,45,1809,1.809000,473344,0.135644,3.758366,57.530887,38.710536,0.000211,3.349517,0.285837,-6.586636,-3117744.442430,0.041751,19762.372410,1.585720,4.573275,15,42.322076,11.561976,0,1.346440
10,40,46,1863,1.863000,473344,0.135644,3.737028,57.549266,38.713705,0.000000,3.349767,0.286018,-6.586756,-3117801.381370,0.041814,19792.290774,1.958220,4.362875,17,42.132411,10.734520,7,1.396387
10,40,47,1890,1.890000,473344,0.135644,3.758366,57.534056,38.707578,0.000000,3.349492,0.285819,-6.586748,-3117797.592220,0.041790,19781.235646,1.664830,2.855498,33,42.100045,7.200665,1,1.117124
10,40,48,1998,1.998000,473344,0.135644,3.743578,57.541027,38.715184,0.000211,3.349712,0.285978,-6.586849,-3117845.676890,0.041770,19771.432412,1.457770,4.362875,16,42.377669,11.054649,0,1.412235
10,40,49,2040,2.040000,473344,0.135644,3.729212,57.564900,38.705888,0.000000,3.349767,0.286018,-6.587050,-3117940.733120,0.041859,19813.635457,1.063180,2.993204,33,42.070547,7.168804,3,1.177736
10,40,50,2160,2.160000,473344,0.135644,3.727522,57.567013,38.705466,0.000000,3.349779,0.286027,-6.587000,-3117916.807900,0.041807,19789.213248,1.044550,3.137552,31,42.144530,7.533896,0,1.199999
