rdf_peak1_r_A,rdf_peak1_g,coordination_at_cutoff,adf_peak_theta_deg,adf_peak_density,sk_peak_k_invA,sk_peak,label,frame_index,step,time_ps,sp3_percent
1.503750,5.015307,3.403960,109.500000,0.043406,5.437675,1.849685,initial,0,0,0.000000,38.661312
1.503750,5.030096,3.403973,109.500000,0.043117,5.437675,1.849292,peak,29,1242,1.242000,38.684551
1.503750,4.990353,3.406563,109.500000,0.043079,5.437675,1.850560,final,95,9840,9.840000,38.961094
