theta_deg,adf
0.50000000,0.00000000
1.50000000,0.00000000
2.50000000,0.00000000
3.50000000,0.00000000
4.50000000,0.00000000
5.50000000,0.00000000
6.50000000,0.00000000
7.50000000,0.00000000
8.50000000,0.00000000
9.50000000,0.00000000
10.50000000,0.00000000
11.50000000,0.00000000
12.50000000,0.00000000
13.50000000,0.00000000
14.50000000,0.00000000
15.50000000,0.00000000
16.50000000,0.00000000
17.50000000,0.00000000
18.50000000,0.00000064
19.50000000,0.00000000
20.50000000,0.00000000
21.50000000,0.00000000
22.50000000,0.00000000
23.50000000,0.00000000
24.50000000,0.00000000
25.50000000,0.00000064
26.50000000,0.00000000
27.50000000,0.00000000
28.50000000,0.00000000
29.50000000,0.00000000
30.50000000,0.00000000
31.50000000,0.00000000
32.50000000,0.00000127
33.50000000,0.00000064
34.50000000,0.00000000
35.50000000,0.00000000
36.50000000,0.00000064
37.50000000,0.00000000
38.50000000,0.00000064
39.50000000,0.00000191
40.50000000,0.00000255
41.50000000,0.00001910
42.50000000,0.00003884
43.50000000,0.00005858
44.50000000,0.00009041
45.50000000,0.00014517
46.50000000,0.00020693
47.50000000,0.00023876
48.50000000,0.00023558
49.50000000,0.00025086
50.50000000,0.00021329
51.50000000,0.00023622
52.50000000,0.00020183
53.50000000,0.00019801
54.50000000,0.00017509
55.50000000,0.00015153
56.50000000,0.00014071
57.50000000,0.00013434
58.50000000,0.00011079
59.50000000,0.00010187
60.50000000,0.00011588
61.50000000,0.00011079
62.50000000,0.00009232
63.50000000,0.00007449
64.50000000,0.00008086
65.50000000,0.00007577
66.50000000,0.00009932
67.50000000,0.00013307
68.50000000,0.00012670
69.50000000,0.00011461
70.50000000,0.00007768
71.50000000,0.00008213
72.50000000,0.00009041
73.50000000,0.00010888
74.50000000,0.00015726
75.50000000,0.00023876
76.50000000,0.00034573
77.50000000,0.00052146
78.50000000,0.00069464
79.50000000,0.00083726
80.50000000,0.00102827
81.50000000,0.00103527
82.50000000,0.00105501
83.50000000,0.00107666
84.50000000,0.00106265
85.50000000,0.00112887
86.50000000,0.00124029
87.50000000,0.00130714
88.50000000,0.00148733
89.50000000,0.00163950
90.50000000,0.00184070
91.50000000,0.00218324
92.50000000,0.00260855
93.50000000,0.00319304
94.50000000,0.00394244
95.50000000,0.00484464
96.50000000,0.00589264
97.50000000,0.00750731
98.50000000,0.00923531
99.50000000,0.01149941
100.50000000,0.01410096
101.50000000,0.01680884
102.50000000,0.02023746
103.50000000,0.02367818
104.50000000,0.02694636
105.50000000,0.03063029
106.50000000,0.03321975
107.50000000,0.03605560
108.50000000,0.03788611
109.50000000,0.03965804
110.50000000,0.04060036
111.50000000,0.04106324
112.50000000,0.04116129
113.50000000,0.04057234
114.50000000,0.03991654
115.50000000,0.03903726
116.50000000,0.03762252
117.50000000,0.03627972
118.50000000,0.03418944
119.50000000,0.03181455
120.50000000,0.02932188
121.50000000,0.02662864
122.50000000,0.02370747
123.50000000,0.02107854
124.50000000,0.01864126
125.50000000,0.01612566
126.50000000,0.01423212
127.50000000,0.01218896
128.50000000,0.01062714
129.50000000,0.00913853
130.50000000,0.00801476
131.50000000,0.00699222
132.50000000,0.00598115
133.50000000,0.00532726
134.50000000,0.00467209
135.50000000,0.00424805
136.50000000,0.00370813
137.50000000,0.00327645
138.50000000,0.00308990
139.50000000,0.00277028
140.50000000,0.00249968
141.50000000,0.00243537
142.50000000,0.00225773
143.50000000,0.00202916
144.50000000,0.00183497
145.50000000,0.00181586
146.50000000,0.00169234
147.50000000,0.00164268
148.50000000,0.00149051
149.50000000,0.00146059
150.50000000,0.00135171
151.50000000,0.00128804
152.50000000,0.00121036
153.50000000,0.00116070
154.50000000,0.00111932
155.50000000,0.00102763
156.50000000,0.00100917
157.50000000,0.00091621
158.50000000,0.00088246
159.50000000,0.00079842
160.50000000,0.00074048
161.50000000,0.00070546
162.50000000,0.00062715
163.50000000,0.00056730
164.50000000,0.00054310
165.50000000,0.00050108
166.50000000,0.00046670
167.50000000,0.00040749
168.50000000,0.00039221
169.50000000,0.00035018
170.50000000,0.00031580
171.50000000,0.00025277
172.50000000,0.00025341
173.50000000,0.00020183
174.50000000,0.00016936
175.50000000,0.00014517
176.50000000,0.00010124
177.50000000,0.00008086
178.50000000,0.00004330
179.50000000,0.00001974
