r_A,g_r,g_r_error,n_r
0.51375000,0.00000000,0.00043156,0.00000000
0.54125000,0.00000000,0.00038882,0.00000000
0.56875000,0.00000000,0.00035213,0.00000000
0.59625000,0.00000000,0.00032039,0.00000000
0.62375000,0.00000000,0.00029276,0.00000000
0.65125000,0.00000000,0.00026856,0.00000000
0.67875000,0.00000000,0.00024724,0.00000000
0.70625000,0.00000000,0.00022836,0.00000000
0.73375000,0.00000000,0.00021156,0.00000000
0.76125000,0.00000000,0.00019656,0.00000000
0.78875000,0.00000000,0.00018309,0.00000000
0.81625000,0.00034192,0.00024177,0.00000845
0.84375000,0.00000000,0.00016000,0.00000845
0.87125000,0.00000000,0.00015006,0.00000845
0.89875000,0.00000000,0.00014101,0.00000845
0.92625000,0.00000000,0.00013276,0.00000845
0.95375000,0.00000000,0.00012522,0.00000845
0.98125000,0.00000000,0.00011830,0.00000845
1.00875000,0.00000000,0.00011194,0.00000845
1.03625000,0.00000000,0.00010607,0.00000845
1.06375000,0.00000000,0.00010066,0.00000845
1.09125000,0.00009565,0.00009565,0.00001268
1.11875000,0.00027302,0.00015763,0.00002535
1.14625000,0.00000000,0.00008669,0.00002535
1.17375000,0.00000000,0.00008268,0.00002535
1.20125000,0.00007894,0.00007894,0.00002958
1.22875000,0.00015088,0.00010669,0.00003803
1.25625000,0.00079393,0.00023938,0.00008451
1.28375000,0.02066570,0.00119513,0.00134786
1.31125000,0.16773846,0.00333350,0.01204621
1.33875000,0.69629456,0.00665223,0.05833812
1.36625000,1.95151383,0.01091253,0.19346606
1.39375000,3.23305666,0.01376866,0.42643405
1.42125000,4.08142262,0.01517069,0.73225392
1.44875000,5.11085178,0.01665418,1.13017171
1.47625000,5.76416720,0.01735715,1.59615417
1.50375000,5.29404034,0.01633007,2.04022445
1.53125000,4.03612992,0.01400253,2.39127569
1.55875000,2.63268345,0.01110946,2.62855767
1.58625000,1.54841107,0.00837224,2.77308258
1.61375000,0.86598564,0.00615445,2.85673844
1.64125000,0.49647291,0.00458187,2.90634718
1.66875000,0.29875704,0.00349573,2.93720846
1.69625000,0.19975951,0.00281212,2.95852910
1.72375000,0.13815804,0.00230136,2.97375693
1.75125000,0.10469808,0.00197193,2.98566793
1.77875000,0.08114542,0.00170918,2.99519166
1.80625000,0.06870832,0.00154881,3.00350696
1.83375000,0.05958343,0.00142067,3.01093919
1.86125000,0.06217590,0.00142980,3.01892915
1.88875000,0.08681608,0.00166493,3.03041762
1.91625000,0.10599383,0.00181325,3.04485533
1.94375000,0.07105894,0.00146366,3.05481426
1.97125000,0.01931710,0.00075249,3.05759870
1.99875000,0.00370652,0.00032508,3.05814799
2.02625000,0.00124844,0.00018611,3.05833812
2.05375000,0.00056711,0.00012375,3.05842685
2.08125000,0.00094666,0.00015778,3.05857896
2.10875000,0.00204918,0.00022911,3.05891698
2.13625000,0.00861103,0.00046360,3.06037470
2.16375000,0.03486358,0.00092098,3.06642949
2.19125000,0.17981474,0.00206534,3.09845694
2.21875000,0.47113312,0.00330167,3.18449162
2.24625000,0.51533736,0.00341081,3.28094578
2.27375000,0.61795438,0.00368982,3.39945579
2.30125000,0.83838410,0.00424647,3.56415208
2.32875000,1.15589237,0.00492726,3.79668064
2.35625000,1.52406743,0.00559179,4.11055807
2.38375000,1.84321072,0.00607850,4.49907467
2.41125000,2.09766163,0.00641055,4.95148560
2.43875000,2.25713261,0.00657478,5.44945748
2.46625000,2.31204103,0.00658007,5.97111192
2.49375000,2.26334459,0.00643861,6.49323114
2.52125000,2.14568275,0.00620064,6.99918453
2.54875000,1.97748731,0.00588843,7.47570477
2.57625000,1.77897952,0.00552545,7.91369068
2.60375000,1.58366823,0.00515825,8.31195917
2.63125000,1.41297031,0.00482141,8.67484536
2.65875000,1.26660336,0.00451765,9.00697590
2.68625000,1.13325903,0.00422949,9.31031977
2.71375000,1.03448098,0.00400001,9.59292185
2.74125000,0.94748275,0.00378972,9.85702998
2.76875000,0.89502629,0.00364673,10.11154678
2.79625000,0.84974256,0.00351834,10.35801024
2.82375000,0.82075830,0.00342414,10.60077238
2.85125000,0.80966807,0.00336812,10.84494152
2.87875000,0.79479512,0.00330517,11.08927123
2.90625000,0.79710020,0.00327864,11.33901349
2.93375000,0.79845172,0.00325066,11.59393591
2.96125000,0.79526432,0.00321404,11.85262304
2.98875000,0.79519536,0.00318432,12.11611428
3.01625000,0.79925350,0.00316333,12.38584623
3.04375000,0.79125739,0.00311903,12.65777109
3.07125000,0.78937151,0.00308742,12.93397191
3.09875000,0.79267075,0.00306641,13.21631625
3.12625000,0.79886731,0.00305129,13.50594071
3.15375000,0.79799430,0.00302303,13.80036084
3.18125000,0.80433644,0.00300878,14.10231882
3.20875000,0.80953727,0.00299263,14.41150622
3.23625000,0.81157474,0.00297093,14.72680756
3.26375000,0.82156638,0.00296397,15.05143828
3.29125000,0.82417212,0.00294387,15.38260969
3.31875000,0.83852366,0.00294478,15.72520197
3.34625000,0.84706542,0.00293542,16.07704333
3.37375000,0.85993181,0.00293352,16.44012388
3.40125000,0.87901757,0.00294192,16.81733792
3.42875000,0.88541723,0.00292892,17.20346725
3.45625000,0.91326205,0.00295095,17.60815390
3.48375000,0.93908841,0.00296877,18.03093311
3.51125000,0.97412255,0.00299996,18.47643574
3.53875000,1.01609922,0.00304010,18.94844342
3.56625000,1.06305594,0.00308558,19.44996873
3.59375000,1.11070202,0.00312983,19.98208491
3.62125000,1.16450559,0.00318040,20.54854820
3.64875000,1.20675376,0.00321318,21.14451224
3.67625000,1.24597713,0.00324056,21.76915731
3.70375000,1.26032517,0.00323497,22.41048371
3.73125000,1.27346189,0.00322781,23.06815339
3.75875000,1.25857245,0.00318541,23.72774980
3.78625000,1.23839397,0.00313682,24.38630256
3.81375000,1.19784885,0.00306280,25.03258096
3.84125000,1.15959199,0.00299192,25.66727370
3.86875000,1.10956604,0.00290587,26.28331193
3.89625000,1.06161975,0.00282233,26.88113930
3.92375000,1.01082738,0.00273468,27.45842770
3.95125000,0.96962196,0.00265972,28.01997279
3.97875000,0.93467179,0.00259330,28.56883789
4.00625000,0.90598017,0.00253566,29.10823418
4.03375000,0.89047010,0.00249672,29.64569953
4.06125000,0.87396278,0.00245673,30.18041847
4.08875000,0.87039490,0.00243522,30.72019081
4.11625000,0.87331116,0.00242300,31.26908126
4.14375000,0.87596745,0.00241057,31.82702221
4.17125000,0.88279868,0.00240400,32.39680233
4.19875000,0.89837656,0.00240923,32.98430740
4.22625000,0.90812507,0.00240651,33.58599243
4.25375000,0.91725135,0.00240294,34.20165884
4.28125000,0.92801406,0.00240147,34.83262912
4.30875000,0.93688205,0.00239751,35.47783853
4.33625000,0.95115755,0.00240039,36.14126724
4.36375000,0.95116439,0.00238527,36.81314224
4.39125000,0.96295761,0.00238498,37.50194784
4.41875000,0.97331693,0.00238286,38.20691083
4.44625000,0.97950977,0.00237564,38.92521718
4.47375000,0.99002445,0.00237367,39.66024287
4.50125000,0.99364360,0.00236348,40.40705280
4.52875000,1.00579921,0.00236345,41.17226372
4.55625000,1.02281335,0.00236898,41.95989809
4.58375000,1.02978495,0.00236277,42.76250254
4.61125000,1.04244257,0.00236307,43.58475020
4.63875000,1.05116606,0.00235887,44.42379749
4.66625000,1.06031831,0.00235516,45.28021481
4.69375000,1.07053394,0.00235261,46.15510496
4.72125000,1.08261207,0.00235207,47.05026366
4.74875000,1.08151988,0.00233726,47.95496721
4.77625000,1.08815018,0.00233092,48.87579012
4.80375000,1.08962709,0.00231915,49.80851136
4.83125000,1.08946276,0.00230577,50.75179996
4.85875000,1.08803091,0.00229122,51.70460384
4.88625000,1.07869996,0.00226853,52.65995978
4.91375000,1.07254252,0.00224939,53.62058461
4.94125000,1.07016375,0.00223439,54.58983741
4.96875000,1.05625609,0.00220753,55.55717195
4.99625000,1.04963880,0.00218850,56.52911625
5.02375000,1.03421171,0.00216046,57.49734654
5.05125000,1.02648585,0.00214066,58.46889366
5.07875000,1.01145622,0.00211342,59.43666762
5.10625000,1.00184481,0.00209203,60.40565424
5.13375000,0.99146884,0.00207002,61.37496197
5.16125000,0.98115391,0.00204825,62.34448942
5.18875000,0.97399250,0.00202995,63.31722384
5.21625000,0.96711974,0.00201211,64.29335959
5.24375000,0.96181604,0.00199606,65.27440508
5.27125000,0.95879603,0.00198253,66.26265464
5.29875000,0.95303616,0.00196631,67.25524354
5.32625000,0.95133885,0.00195441,68.25637591
5.35375000,0.95565851,0.00194878,69.27246569
5.38125000,0.95433358,0.00193748,70.29759752
5.40875000,0.95423984,0.00192753,71.33313193
5.43625000,0.96068608,0.00192425,72.38628989
5.46375000,0.96379905,0.00191766,73.45357710
5.49125000,0.96469004,0.00190894,74.53263166
5.51875000,0.97025389,0.00190490,75.62880696
5.54625000,0.97414205,0.00189925,76.74037064
5.57375000,0.97360935,0.00188936,77.86237071
5.60125000,0.97854764,0.00188485,79.00121687
5.62875000,0.98203455,0.00187898,80.15537115
5.65625000,0.99049162,0.00187788,81.33086719
5.68375000,0.99265372,0.00187083,82.52041222
5.71125000,0.99696674,0.00186586,83.72671461
5.73875000,1.00086810,0.00186055,84.94942790
5.76625000,1.00533157,0.00185580,86.18939292
5.79375000,1.00784660,0.00184930,87.44434492
5.82125000,1.01244075,0.00184475,88.71701342
5.84875000,1.01451337,0.00183796,90.00436469
5.87625000,1.01521645,0.00182999,91.30475088
5.90375000,1.01741800,0.00182344,92.62018321
5.93125000,1.02264345,0.00181964,93.95471792
5.95875000,1.02499613,0.00181333,95.30475510
5.98625000,1.02023154,0.00180080,96.66094849
