k_invA,S_k
0.20000000,0.59396633
0.23967936,0.59293791
0.27935872,0.59183488
0.31903808,0.59070960
0.35871743,0.58962041
0.39839679,0.58863085
0.43807615,0.58780876
0.47775551,0.58722536
0.51743487,0.58695425
0.55711423,0.58707032
0.59679359,0.58764861
0.63647295,0.58876301
0.67615230,0.59048492
0.71583166,0.59288183
0.75551102,0.59601569
0.79519038,0.59994130
0.83486974,0.60470452
0.87454910,0.61034052
0.91422846,0.61687189
0.95390782,0.62430692
0.99358717,0.63263789
1.03326653,0.64183956
1.07294589,0.65186793
1.11262525,0.66265939
1.15230461,0.67413024
1.19198397,0.68617683
1.23166333,0.69867628
1.27134269,0.71148791
1.31102204,0.72445537
1.35070140,0.73740956
1.39038076,0.75017224
1.43006012,0.76256040
1.46973948,0.77439114
1.50941884,0.78548709
1.54909820,0.79568216
1.58877756,0.80482738
1.62845691,0.81279667
1.66813627,0.81949231
1.70781563,0.82484978
1.74749499,0.82884186
1.78717435,0.83148164
1.82685371,0.83282425
1.86653307,0.83296723
1.90621242,0.83204929
1.94589178,0.83024745
1.98557114,0.82777259
2.02525050,0.82486338
2.06492986,0.82177887
2.10460922,0.81878974
2.14428858,0.81616869
2.18396794,0.81418020
2.22364729,0.81307001
2.26332665,0.81305480
2.30300601,0.81431243
2.34268537,0.81697325
2.38236473,0.82111276
2.42204409,0.82674617
2.46172345,0.83382493
2.50140281,0.84223571
2.54108216,0.85180179
2.58076152,0.86228703
2.62044088,0.87340233
2.66012024,0.88481433
2.69979960,0.89615630
2.73947896,0.90704057
2.77915832,0.91707237
2.81883768,0.92586425
2.85851703,0.93305080
2.89819639,0.93830282
2.93787575,0.94134059
2.97755511,0.94194550
3.01723447,0.93996962
3.05691383,0.93534271
3.09659319,0.92807641
3.13627255,0.91826527
3.17595190,0.90608465
3.21563126,0.89178539
3.25531062,0.87568554
3.29498998,0.85815934
3.33466934,0.83962400
3.37434870,0.82052473
3.41402806,0.80131861
3.45370741,0.78245809
3.49338677,0.76437472
3.53306613,0.74746388
