rdf_peak1_r_A,rdf_peak1_g,coordination_at_cutoff,adf_peak_theta_deg,adf_peak_density,sk_peak_k_invA,sk_peak,label,frame_index,step,time_ps,sp3_percent
1.476250,5.743261,3.058469,111.500000,0.040991,5.517034,1.763472,initial,0,0,0.000000,18.005510
1.476250,5.766937,3.058651,111.500000,0.040800,5.517034,1.762493,peak,93,4200,4.200000,18.009312
1.476250,5.721988,3.062023,112.500000,0.041075,5.517034,1.764599,final,141,9960,9.960000,18.173252
