rdf_peak1_r_A,rdf_peak1_g,coordination_at_cutoff,adf_peak_theta_deg,adf_peak_density,sk_peak_k_invA,sk_peak,label,frame_index,step,time_ps,sp3_percent
1.476250,5.743261,3.058469,111.500000,0.040991,5.517034,1.763472,initial,0,0,0.000000,18.005510
1.476250,5.768610,3.058587,112.500000,0.041067,5.517034,1.762417,peak,81,2760,2.760000,18.001073
1.476250,5.732024,3.062496,112.500000,0.041024,5.517034,1.764887,final,141,9960,9.960000,18.222265
