energy_kev,sp3_target,frame_index,step,time_ps,n_atoms,density_atoms_A3,sp_percent,sp2_percent,sp3_percent,defect_percent,mean_coord,elastic_modulus_rel,mean_pe_eV,total_pe_eV,mean_ke_eV,total_ke_eV,max_ke_atom_eV,threshold_cumulative_A,n_displaced_cumulative,max_dr_cumulative_A,mean_dr_cumulative_A,n_displaced_incremental,max_dr_incremental_A
15,20,0,0,0.000000,473344,0.107342,16.839339,65.154518,18.005510,0.000634,3.011649,0.099476,-6.428596,-3042937.321000,0.046608,22061.838760,2830.060000,0.000000,0,0.000000,0.000000,0,0.000000
15,20,1,27,0.027000,473344,0.107342,16.829621,65.155785,18.013538,0.001056,3.011818,0.099542,-6.428566,-3042923.331070,0.046564,22040.582165,2812.750000,0.034116,1,1.349457,1.349457,1,1.349457
15,20,2,54,0.054000,473344,0.107342,16.830677,65.155363,18.012904,0.001056,3.011810,0.099539,-6.428434,-3042860.756790,0.046418,21971.848577,2731.530000,0.065966,1,2.695740,2.695740,1,1.346308
15,20,3,81,0.081000,473344,0.107342,16.829832,65.149236,18.019242,0.001690,3.011894,0.099572,-6.428557,-3042919.113461,0.046533,22025.965799,2760.520000,0.060036,4,4.047080,1.064463,5,1.351366
15,20,4,108,0.108000,473344,0.107342,16.825395,65.144588,18.028749,0.001268,3.012025,0.099623,-6.428645,-3042960.553770,0.046611,22063.175559,2758.390000,0.079641,5,5.394197,1.159303,6,1.347827
15,20,5,135,0.135000,473344,0.107342,16.830677,65.132969,18.035298,0.001056,3.012025,0.099623,-6.428766,-3043017.910150,0.046728,22118.307761,2788.300000,0.100788,6,6.743859,1.244921,4,1.351924
15,20,6,162,0.162000,473344,0.107342,16.825184,65.138673,18.035087,0.001056,3.012076,0.099642,-6.428813,-3043039.837446,0.046764,22135.477649,2789.140000,0.116084,6,8.092444,1.511859,4,1.350117
15,20,7,189,0.189000,473344,0.107342,16.819903,65.143955,18.035087,0.001056,3.012131,0.099664,-6.428843,-3043054.380150,0.046785,22145.312129,2788.850000,0.140149,6,9.441319,1.777384,4,1.349973
15,20,8,216,0.216000,473344,0.107342,16.819903,65.147546,18.031706,0.000845,3.012101,0.099652,-6.428860,-3043062.400070,0.046796,22150.421373,2788.560000,0.153993,6,10.790434,2.040893,6,1.349978
15,20,9,243,0.243000,473344,0.107342,16.815889,65.145433,18.037833,0.000845,3.012211,0.099695,-6.428817,-3043041.819940,0.046749,22128.551822,2765.210000,0.177363,6,12.138968,2.302379,6,1.349176
15,20,10,270,0.270000,473344,0.107342,16.814621,65.151137,18.032763,0.001479,3.012186,0.099685,-6.428758,-3043014.015878,0.046684,22097.386143,2738.900000,0.194882,6,13.486964,2.562188,4,1.348456
15,20,11,297,0.297000,473344,0.107342,16.820748,65.158320,18.019876,0.001056,3.011987,0.099608,-6.428649,-3042962.316120,0.046571,22044.052768,2678.680000,0.214132,6,14.833222,2.819651,6,1.346351
15,20,12,324,0.324000,473344,0.107342,16.821593,65.155363,18.022411,0.000634,3.011996,0.099611,-6.428765,-3043017.472030,0.046681,22096.381558,2736.750000,0.224459,6,16.181987,3.074820,7,1.352239
15,20,13,351,0.351000,473344,0.107342,16.823494,65.154940,18.020721,0.000845,3.011953,0.099595,-6.428792,-3043030.167830,0.046699,22104.682746,2761.790000,0.235283,7,17.528262,2.891052,7,1.351520
15,20,14,378,0.378000,473344,0.107342,16.824973,65.161489,18.012693,0.000845,3.011860,0.099558,-6.428769,-3043019.155710,0.046662,22087.302101,2763.400000,0.258523,7,18.873797,3.119509,8,1.350036
15,20,15,405,0.405000,473344,0.107342,16.822438,65.169729,18.007200,0.000634,3.011835,0.099548,-6.428620,-3042948.889770,0.046501,22010.844560,2702.230000,0.394994,5,20.217487,4.560785,8,1.347909
15,20,16,432,0.432000,473344,0.107342,16.826874,65.176489,17.996003,0.000634,3.011679,0.099487,-6.428640,-3042958.258070,0.046509,22014.893321,2440.160000,0.284059,8,21.540047,3.158364,9,1.329836
15,20,17,459,0.459000,473344,0.107342,16.823494,65.186418,17.989242,0.000845,3.011649,0.099476,-6.428688,-3042981.004010,0.046551,22034.491157,2472.350000,0.312118,9,22.848428,3.054020,10,1.352395
15,20,18,486,0.486000,473344,0.107342,16.816945,65.188108,17.994102,0.000845,3.011763,0.099520,-6.428668,-3042971.357851,0.046529,22024.099250,2465.990000,0.476880,6,24.158271,4.724411,10,1.349896
15,20,19,513,0.513000,473344,0.107342,16.817790,65.185362,17.995792,0.001056,3.011776,0.099525,-6.428604,-3042940.923180,0.046458,21990.601647,2428.850000,0.434010,7,25.471500,4.385718,11,1.348222
