theta_deg,adf
0.50000000,0.00000000
1.50000000,0.00000000
2.50000000,0.00000000
3.50000000,0.00000000
4.50000000,0.00000000
5.50000000,0.00000000
6.50000000,0.00000000
7.50000000,0.00000000
8.50000000,0.00000000
9.50000000,0.00000000
10.50000000,0.00000000
11.50000000,0.00000000
12.50000000,0.00000000
13.50000000,0.00000000
14.50000000,0.00000000
15.50000000,0.00000000
16.50000000,0.00000000
17.50000000,0.00000000
18.50000000,0.00000000
19.50000000,0.00000000
20.50000000,0.00000000
21.50000000,0.00000000
22.50000000,0.00000000
23.50000000,0.00000000
24.50000000,0.00000000
25.50000000,0.00000000
26.50000000,0.00000000
27.50000000,0.00000000
28.50000000,0.00000000
29.50000000,0.00000000
30.50000000,0.00000000
31.50000000,0.00000000
32.50000000,0.00000000
33.50000000,0.00000000
34.50000000,0.00000000
35.50000000,0.00000000
36.50000000,0.00000000
37.50000000,0.00000000
38.50000000,0.00000000
39.50000000,0.00000000
40.50000000,0.00000254
41.50000000,0.00001208
42.50000000,0.00004067
43.50000000,0.00006355
44.50000000,0.00009152
45.50000000,0.00014935
46.50000000,0.00019829
47.50000000,0.00022498
48.50000000,0.00022244
49.50000000,0.00022625
50.50000000,0.00023515
51.50000000,0.00021672
52.50000000,0.00022053
53.50000000,0.00017859
54.50000000,0.00015762
55.50000000,0.00016079
56.50000000,0.00014427
57.50000000,0.00011821
58.50000000,0.00011249
59.50000000,0.00010741
60.50000000,0.00010232
61.50000000,0.00012139
62.50000000,0.00008643
63.50000000,0.00006737
64.50000000,0.00007182
65.50000000,0.00007499
66.50000000,0.00009152
67.50000000,0.00013156
68.50000000,0.00013092
69.50000000,0.00010487
70.50000000,0.00006800
71.50000000,0.00006800
72.50000000,0.00007563
73.50000000,0.00010359
74.50000000,0.00017922
75.50000000,0.00024469
76.50000000,0.00033239
77.50000000,0.00051289
78.50000000,0.00066859
79.50000000,0.00089930
80.50000000,0.00101878
81.50000000,0.00103403
82.50000000,0.00106835
83.50000000,0.00104420
84.50000000,0.00105564
85.50000000,0.00108678
86.50000000,0.00119483
87.50000000,0.00129143
88.50000000,0.00147701
89.50000000,0.00162001
90.50000000,0.00189710
91.50000000,0.00213098
92.50000000,0.00253964
93.50000000,0.00312816
94.50000000,0.00380946
95.50000000,0.00480981
96.50000000,0.00612793
97.50000000,0.00756490
98.50000000,0.00922876
99.50000000,0.01147732
100.50000000,0.01419364
101.50000000,0.01711842
102.50000000,0.02016650
103.50000000,0.02349295
104.50000000,0.02735262
105.50000000,0.03029138
106.50000000,0.03358541
107.50000000,0.03604052
108.50000000,0.03793954
109.50000000,0.03983346
110.50000000,0.04086368
111.50000000,0.04115413
112.50000000,0.04088402
113.50000000,0.04062980
114.50000000,0.03990655
115.50000000,0.03871935
116.50000000,0.03786899
117.50000000,0.03609073
118.50000000,0.03384789
119.50000000,0.03180652
120.50000000,0.02947979
121.50000000,0.02658043
122.50000000,0.02387427
123.50000000,0.02126917
124.50000000,0.01878482
125.50000000,0.01625090
126.50000000,0.01414026
127.50000000,0.01214274
128.50000000,0.01048078
129.50000000,0.00908258
130.50000000,0.00803965
131.50000000,0.00703231
132.50000000,0.00602752
133.50000000,0.00519495
134.50000000,0.00465791
135.50000000,0.00413422
136.50000000,0.00373892
137.50000000,0.00332009
138.50000000,0.00296863
139.50000000,0.00286377
140.50000000,0.00247799
141.50000000,0.00234580
142.50000000,0.00216785
143.50000000,0.00209349
144.50000000,0.00182783
145.50000000,0.00175728
146.50000000,0.00168292
147.50000000,0.00165242
148.50000000,0.00151069
149.50000000,0.00144587
150.50000000,0.00138168
151.50000000,0.00130922
152.50000000,0.00119800
153.50000000,0.00113064
154.50000000,0.00112746
155.50000000,0.00103975
156.50000000,0.00091709
157.50000000,0.00092027
158.50000000,0.00087705
159.50000000,0.00077282
160.50000000,0.00073278
161.50000000,0.00068893
162.50000000,0.00063491
163.50000000,0.00059932
164.50000000,0.00054720
165.50000000,0.00051861
166.50000000,0.00045569
167.50000000,0.00041120
168.50000000,0.00041056
169.50000000,0.00033493
170.50000000,0.00030570
171.50000000,0.00026947
172.50000000,0.00023579
173.50000000,0.00022117
174.50000000,0.00015380
175.50000000,0.00013855
176.50000000,0.00009978
177.50000000,0.00007372
178.50000000,0.00004322
179.50000000,0.00001462
