k_invA,S_k
0.20000000,0.59467635
0.23967936,0.59365583
0.27935872,0.59255723
0.31903808,0.59143100
0.35871743,0.59033363
0.39839679,0.58932698
0.43807615,0.58847748
0.47775551,0.58785534
0.51743487,0.58753357
0.55711423,0.58758700
0.59679359,0.58809108
0.63647295,0.58912071
0.67615230,0.59074879
0.71583166,0.59304473
0.75551102,0.59607283
0.79519038,0.59989053
0.83486974,0.60454652
0.87454910,0.61007885
0.91422846,0.61651297
0.95390782,0.62385987
0.99358717,0.63211421
1.03326653,0.64125280
1.07294589,0.65123321
1.11262525,0.66199289
1.15230461,0.67344864
1.19198397,0.68549676
1.23166333,0.69801374
1.27134269,0.71085779
1.31102204,0.72387098
1.35070140,0.73688225
1.39038076,0.74971112
1.43006012,0.76217217
1.46973948,0.77407999
1.50941884,0.78525475
1.54909820,0.79552803
1.58877756,0.80474871
1.62845691,0.81278890
1.66813627,0.81954935
1.70781563,0.82496445
1.74749499,0.82900623
1.78717435,0.83168744
1.82685371,0.83306325
1.86653307,0.83323151
1.90621242,0.83233155
1.94589178,0.83054119
1.98557114,0.82807223
2.02525050,0.82516435
2.06492986,0.82207754
2.10460922,0.81908338
2.14428858,0.81645536
2.18396794,0.81445853
2.22364729,0.81333905
2.26332665,0.81331379
2.30300601,0.81456062
2.34268537,0.81720971
2.38236473,0.82133628
2.42204409,0.82695510
2.46172345,0.83401718
2.50140281,0.84240874
2.54108216,0.85195267
2.58076152,0.86241257
2.62044088,0.87349918
2.66012024,0.88487921
2.69979960,0.89618617
2.73947896,0.90703287
2.77915832,0.91702518
2.81883768,0.92577649
2.85851703,0.93292235
2.89819639,0.93813463
2.93787575,0.94113472
2.97755511,0.94170511
3.01723447,0.93969888
3.05691383,0.93504670
3.09659319,0.92776093
3.13627255,0.91793664
3.17595190,0.90574945
3.21563126,0.89145023
3.25531062,0.87535679
3.29498998,0.85784291
3.33466934,0.83932514
3.37434870,0.82024783
3.41402806,0.80106714
3.45370741,0.78223451
3.49338677,0.76418049
3.53306613,0.74729952
3.57274549,0.73193634
3.61242485,0.71837467
3.65210421,0.70682866
3.69178357,0.69743750
3.73146293,0.69026349
3.77114228,0.68529362
3.81082164,0.68244464
3.85050100,0.68157153
3.89018036,0.68247874
3.92985972,0.68493401
3.96953908,0.68868391
4.00921844,0.69347053
4.04889780,0.69904847
4.08857715,0.70520133
4.12825651,0.71175698
4.16793587,0.71860067
4.20761523,0.72568548
4.24729459,0.73303945
4.28697395,0.74076894
4.32665331,0.74905803
4.36633267,0.75816366
4.40601202,0.76840690
4.44569138,0.78016030
4.48537074,0.79383196
4.52505010,0.80984682
4.56472946,0.82862602
4.60440882,0.85056495
4.64408818,0.87601117
4.68376754,0.90524297
4.72344689,0.93844951
4.76312625,0.97571358
4.80280561,1.01699761
4.84248497,1.06213374
4.88216433,1.11081843
4.92184369,1.16261202
4.96152305,1.21694330
5.00120240,1.27311927
5.04088176,1.33033954
5.08056112,1.38771526
5.12024048,1.44429176
5.15991984,1.49907414
5.19959920,1.55105510
5.23927856,1.59924375
5.27895792,1.64269460
5.31863727,1.68053554
5.35831663,1.71199395
5.39799599,1.73641977
5.43767535,1.75330495
5.47735471,1.76229841
5.51703407,1.76321614
5.55671343,1.75604593
5.59639279,1.74094684
5.63607214,1.71824319
5.67575150,1.68841365
5.71543086,1.65207562
5.75511022,1.60996569
5.79478958,1.56291684
5.83446894,1.51183335
5.87414830,1.45766414
5.91382766,1.40137575
5.95350701,1.34392577
5.99318637,1.28623764
6.03286573,1.22917762
6.07254509,1.17353481
6.11222445,1.12000457
6.15190381,1.06917593
6.19158317,1.02152322
6.23126253,0.97740199
6.27094188,0.93704916
6.31062124,0.90058713
6.35030060,0.86803154
6.38997996,0.83930213
6.42965932,0.81423606
6.46933868,0.79260318
6.50901804,0.77412228
6.54869739,0.75847792
6.58837675,0.74533687
6.62805611,0.73436376
6.66773547,0.72523515
6.70741483,0.71765176
6.74709419,0.71134835
6.78677355,0.70610111
6.82645291,0.70173237
6.86613226,0.69811272
6.90581162,0.69516060
6.94549098,0.69283956
6.98517034,0.69115364
7.02484970,0.69014106
7.06452906,0.68986677
7.10420842,0.69041432
7.14388778,0.69187738
7.18356713,0.69435151
7.22324649,0.69792636
7.26292585,0.70267890
7.30260521,0.70866768
7.34228457,0.71592854
7.38196393,0.72447173
7.42164329,0.73428054
7.46132265,0.74531142
7.50100200,0.75749537
7.54068136,0.77074052
7.58036072,0.78493569
7.62004008,0.79995458
7.65971944,0.81566034
7.69939880,0.83191034
7.73907816,0.84856077
7.77875752,0.86547083
7.81843687,0.88250643
7.85811623,0.89954307
7.89779559,0.91646797
7.93747495,0.93318122
7.97715431,0.94959618
8.01683367,0.96563896
8.05651303,0.98124724
8.09619238,0.99636846
8.13587174,1.01095769
8.17555110,1.02497518
8.21523046,1.03838398
8.25490982,1.05114759
8.29458918,1.06322806
8.33426854,1.07458446
8.37394790,1.08517199
8.41362725,1.09494170
8.45330661,1.10384092
8.49298597,1.11181433
8.53266533,1.11880570
8.57234469,1.12476013
8.61202405,1.12962667
8.65170341,1.13336128
8.69138277,1.13592981
8.73106212,1.13731099
8.77074148,1.13749913
8.81042084,1.13650646
8.85010020,1.13436490
8.88977956,1.13112724
8.92945892,1.12686755
8.96913828,1.12168083
9.00881764,1.11568185
9.04849699,1.10900326
9.08817635,1.10179298
9.12785571,1.09421096
9.16753507,1.08642546
9.20721443,1.07860898
9.24689379,1.07093396
9.28657315,1.06356841
9.32625251,1.05667172
9.36593186,1.05039060
9.40561122,1.04485557
9.44529058,1.04017775
9.48496994,1.03644643
9.52464930,1.03372715
9.56432866,1.03206058
9.60400802,1.03146197
9.64368737,1.03192144
9.68336673,1.03340475
9.72304609,1.03585477
9.76272545,1.03919335
9.80240481,1.04332366
9.84208417,1.04813279
9.88176353,1.05349464
9.92144289,1.05927282
9.96112224,1.06532368
10.00080160,1.07149923
10.04048096,1.07764997
10.08016032,1.08362756
10.11983968,1.08928730
10.15951904,1.09449035
10.19919840,1.09910577
10.23887776,1.10301228
10.27855711,1.10609984
10.31823647,1.10827098
10.35791583,1.10944193
10.39759519,1.10954365
10.43727455,1.10852257
10.47695391,1.10634123
10.51663327,1.10297883
10.55631263,1.09843147
10.59599198,1.09271234
10.63567134,1.08585168
10.67535070,1.07789654
10.71503006,1.06891028
10.75470942,1.05897188
10.79438878,1.04817494
10.83406814,1.03662642
10.87374749,1.02444508
10.91342685,1.01175969
10.95310621,0.99870692
10.99278557,0.98542901
11.03246493,0.97207134
11.07214429,0.95877969
11.11182365,0.94569763
11.15150301,0.93296375
11.19118236,0.92070907
11.23086172,0.90905457
11.27054108,0.89810893
11.31022044,0.88796669
11.34989980,0.87870664
11.38957916,0.87039078
11.42925852,0.86306371
11.46893788,0.85675246
11.50861723,0.85146689
11.54829659,0.84720059
11.58797595,0.84393215
11.62765531,0.84162691
11.66733467,0.84023900
11.70701403,0.83971364
11.74669339,0.83998960
11.78637275,0.84100173
11.82605210,0.84268344
11.86573146,0.84496907
11.90541082,0.84779601
11.94509018,0.85110654
11.98476954,0.85484934
12.02444890,0.85898052
12.06412826,0.86346430
12.10380762,0.86827318
12.14348697,0.87338769
12.18316633,0.87879581
12.22284569,0.88449192
12.26252505,0.89047555
12.30220441,0.89674984
12.34188377,0.90331996
12.38156313,0.91019135
12.42124248,0.91736808
12.46092184,0.92485125
12.50060120,0.93263765
12.54028056,0.94071855
12.57995992,0.94907886
12.61963928,0.95769657
12.65931864,0.96654248
12.69899800,0.97558033
12.73867735,0.98476721
12.77835671,0.99405418
12.81803607,1.00338726
12.85771543,1.01270848
12.89739479,1.02195714
12.93707415,1.03107107
12.97675351,1.03998798
13.01643287,1.04864668
13.05611222,1.05698823
13.09579158,1.06495698
13.13547094,1.07250140
13.17515030,1.07957473
13.21482966,1.08613544
13.25450902,1.09214746
13.29418838,1.09758033
13.33386774,1.10240905
13.37354709,1.10661389
13.41322645,1.11018014
13.45290581,1.11309771
13.49258517,1.11536080
13.53226453,1.11696752
13.57194389,1.11791964
13.61162325,1.11822233
13.65130261,1.11788405
13.69098196,1.11691647
13.73066132,1.11533453
13.77034068,1.11315658
13.81002004,1.11040452
13.84969940,1.10710402
13.88937876,1.10328475
13.92905812,1.09898052
13.96873747,1.09422941
14.00841683,1.08907376
14.04809619,1.08356008
14.08777555,1.07773872
14.12745491,1.07166353
14.16713427,1.06539122
14.20681363,1.05898059
14.24649299,1.05249170
14.28617234,1.04598479
14.32585170,1.03951923
14.36553106,1.03315233
14.40521042,1.02693821
14.44488978,1.02092667
14.48456914,1.01516218
14.52424850,1.00968295
14.56392786,1.00452025
14.60360721,0.99969784
14.64328657,0.99523167
14.68296593,0.99112985
14.72264529,0.98739285
14.76232465,0.98401384
14.80200401,0.98097943
14.84168337,0.97827046
14.88136273,0.97586297
14.92104208,0.97372936
14.96072144,0.97183951
15.00040080,0.97016203
15.04008016,0.96866536
15.07975952,0.96731892
15.11943888,0.96609404
15.15911824,0.96496478
15.19879760,0.96390862
15.23847695,0.96290682
15.27815631,0.96194476
15.31783567,0.96101192
15.35751503,0.96010174
15.39719439,0.95921137
15.43687375,0.95834116
15.47655311,0.95749415
15.51623246,0.95667545
15.55591182,0.95589158
15.59559118,0.95514988
15.63527054,0.95445789
15.67494990,0.95382287
15.71462926,0.95325136
15.75430862,0.95274893
15.79398798,0.95231999
15.83366733,0.95196779
15.87334669,0.95169446
15.91302605,0.95150126
15.95270541,0.95138880
15.99238477,0.95135743
16.03206413,0.95140760
16.07174349,0.95154017
16.11142285,0.95175685
16.15110220,0.95206038
16.19078156,0.95245480
16.23046092,0.95294554
16.27014028,0.95353937
16.30981964,0.95424431
16.34949900,0.95506941
16.38917836,0.95602436
16.42885772,0.95711910
16.46853707,0.95836331
16.50821643,0.95976589
16.54789579,0.96133443
16.58757515,0.96307467
16.62725451,0.96499006
16.66693387,0.96708136
16.70661323,0.96934634
16.74629259,0.97177965
16.78597194,0.97437275
16.82565130,0.97711402
16.86533066,0.97998897
16.90501002,0.98298063
16.94468938,0.98607000
16.98436874,0.98923654
17.02404810,0.99245885
17.06372745,0.99571523
17.10340681,0.99898433
17.14308617,1.00224571
17.18276553,1.00548042
17.22244489,1.00867136
17.26212425,1.01180365
17.30180361,1.01486482
17.34148297,1.01784488
17.38116232,1.02073623
17.42084168,1.02353353
17.46052104,1.02623334
17.50020040,1.02883375
17.53987976,1.03133396
17.57955912,1.03373369
17.61923848,1.03603277
17.65891784,1.03823056
17.69859719,1.04032555
17.73827655,1.04231501
17.77795591,1.04419463
17.81763527,1.04595844
17.85731463,1.04759870
17.89699399,1.04910602
17.93667335,1.05046954
17.97635271,1.05167719
18.01603206,1.05271618
18.05571142,1.05357339
18.09539078,1.05423593
18.13507014,1.05469165
18.17474950,1.05492971
18.21442886,1.05494103
18.25410822,1.05471874
18.29378758,1.05425855
18.33346693,1.05355895
18.37314629,1.05262139
18.41282565,1.05145028
18.45250501,1.05005290
18.49218437,1.04843917
18.53186373,1.04662137
18.57154309,1.04461372
18.61122244,1.04243199
18.65090180,1.04009296
18.69058116,1.03761397
18.73026052,1.03501244
18.76993988,1.03230544
18.80961924,1.02950932
18.84929860,1.02663944
18.88897796,1.02370995
18.92865731,1.02073372
18.96833667,1.01772228
19.00801603,1.01468601
19.04769539,1.01163421
19.08737475,1.00857543
19.12705411,1.00551772
19.16673347,1.00246897
19.20641283,0.99943723
19.24609218,0.99643101
19.28577154,0.99345959
19.32545090,0.99053315
19.36513026,0.98766300
19.40480962,0.98486154
19.44448898,0.98214228
19.48416834,0.97951965
19.52384770,0.97700881
19.56352705,0.97462528
19.60320641,0.97238464
19.64288577,0.97030207
19.68256513,0.96839189
19.72224449,0.96666713
19.76192385,0.96513912
19.80160321,0.96381707
19.84128257,0.96270777
19.88096192,0.96181536
19.92064128,0.96114115
19.96032064,0.96068364
20.00000000,0.96043849
