k_invA,S_k
0.20000000,0.59895009
0.23967936,0.59765772
0.27935872,0.59626231
0.31903808,0.59482442
0.35871743,0.59341090
0.39839679,0.59209378
0.43807615,0.59094907
0.47775551,0.59005557
0.51743487,0.58949357
0.55711423,0.58934355
0.59679359,0.58968484
0.63647295,0.59059427
0.67615230,0.59214472
0.71583166,0.59440369
0.75551102,0.59743179
0.79519038,0.60128122
0.83486974,0.60599414
0.87454910,0.61160112
0.91422846,0.61811953
0.95390782,0.62555203
0.99358717,0.63388514
1.03326653,0.64308800
1.07294589,0.65311137
1.11262525,0.66388696
1.15230461,0.67532719
1.19198397,0.68732544
1.23166333,0.69975687
1.27134269,0.71247988
1.31102204,0.72533827
1.35070140,0.73816406
1.39038076,0.75078109
1.43006012,0.76300915
1.46973948,0.77466880
1.50941884,0.78558658
1.54909820,0.79560054
1.58877756,0.80456592
1.62845691,0.81236074
1.66813627,0.81889109
1.70781563,0.82409582
1.74749499,0.82795056
1.78717435,0.83047058
1.82685371,0.83171257
1.86653307,0.83177490
1.90621242,0.83079645
1.94589178,0.82895383
1.98557114,0.82645695
2.02525050,0.82354311
2.06492986,0.82046964
2.10460922,0.81750533
2.14428858,0.81492091
2.18396794,0.81297894
2.22364729,0.81192336
2.26332665,0.81196926
2.30300601,0.81329320
2.34268537,0.81602453
2.38236473,0.82023808
2.42204409,0.82594864
2.46172345,0.83310753
2.50140281,0.84160144
2.54108216,0.85125382
2.58076152,0.86182870
2.62044088,0.87303706
2.66012024,0.88454551
2.69979960,0.89598702
2.73947896,0.90697337
2.77915832,0.91710885
2.81883768,0.92600476
2.85851703,0.93329403
2.89819639,0.93864551
2.93787575,0.94177725
2.97755511,0.94246821
3.01723447,0.94056794
3.05691383,0.93600368
3.09659319,0.92878470
3.13627255,0.91900344
3.17595190,0.90683350
3.21563126,0.89252450
3.25531062,0.87639378
3.29498998,0.85881558
3.33466934,0.84020779
3.37434870,0.82101700
3.41402806,0.80170237
3.45370741,0.78271909
3.49338677,0.76450200
3.53306613,0.74745024
3.57274549,0.73191343
3.61242485,0.71818026
3.65210421,0.70646961
3.69178357,0.69692511
3.73146293,0.68961293
3.77114228,0.68452331
3.81082164,0.68157553
3.85050100,0.68062619
3.89018036,0.68148060
3.92985972,0.68390647
3.96953908,0.68764960
4.00921844,0.69245058
4.04889780,0.69806197
4.08857715,0.70426492
4.12825651,0.71088452
4.16793587,0.71780320
4.20761523,0.72497122
4.24729459,0.73241404
4.28697395,0.74023576
4.32665331,0.74861860
4.36633267,0.75781819
4.40601202,0.76815479
4.44569138,0.78000067
4.48537074,0.79376416
4.52505010,0.80987085
4.56472946,0.82874283
4.60440882,0.85077665
4.64408818,0.87632109
4.68376754,0.90565556
4.72344689,0.93897011
4.76312625,0.97634809
4.80280561,1.01775196
4.84248497,1.06301339
4.88216433,1.11182772
4.92184369,1.16375354
4.96152305,1.21821731
5.00120240,1.27452309
5.04088176,1.33186714
5.08056112,1.38935691
5.12024048,1.44603383
5.15991984,1.50089912
5.19959920,1.55294173
5.23927856,1.60116737
5.27895792,1.64462768
5.31863727,1.68244837
5.35831663,1.71385542
5.39799599,1.73819829
5.43767535,1.75496938
5.47735471,1.76381910
5.51703407,1.76456584
5.55671343,1.75720072
5.59639279,1.74188687
5.63607214,1.71895338
5.67575150,1.68888412
5.71543086,1.65230201
5.75511022,1.60994923
5.79478958,1.56266425
5.83446894,1.51135645
5.87414830,1.45697940
5.91382766,1.40050361
5.95350701,1.34288984
5.99318637,1.28506378
6.03286573,1.22789303
6.07254509,1.17216702
6.11222445,1.11858053
6.15190381,1.06772114
6.19158317,1.02006097
6.23126253,0.97595271
6.27094188,0.93562996
6.31062124,0.89921146
6.35030060,0.86670910
6.38997996,0.83803888
6.42965932,0.81303446
6.46933868,0.79146248
6.50901804,0.77303907
6.54869739,0.75744665
6.58837675,0.74435052
6.62805611,0.73341447
6.66773547,0.72431490
6.70741483,0.71675296
6.74709419,0.71046442
6.78677355,0.70522692
6.82645291,0.70086460
6.86613226,0.69725009
6.90581162,0.69430394
6.94549098,0.69199184
6.98517034,0.69031977
7.02484970,0.68932765
7.06452906,0.68908184
7.10420842,0.68966685
7.14388778,0.69117691
7.18356713,0.69370762
7.22324649,0.69734832
7.26292585,0.70217518
7.30260521,0.70824565
7.34228457,0.71559415
7.38196393,0.72422934
7.42164329,0.73413280
7.46132265,0.74525922
7.50100200,0.75753792
7.54068136,0.77087551
7.58036072,0.78515948
7.62004008,0.80026245
7.65971944,0.81604676
7.69939880,0.83236931
7.73907816,0.84908606
7.77875752,0.86605628
7.81843687,0.88314615
7.85811623,0.90023163
7.89779559,0.91720050
7.93747495,0.93395348
7.97715431,0.95040452
8.01683367,0.96648026
8.05651303,0.98211874
8.09619238,0.99726765
8.13587174,1.01188207
8.17555110,1.02592207
8.21523046,1.03935028
8.25490982,1.05212963
8.29458918,1.06422141
8.33426854,1.07558384
8.37394790,1.08617121
8.41362725,1.09593366
8.45330661,1.10481767
8.49298597,1.11276722
8.53266533,1.11972557
8.57234469,1.12563750
8.61202405,1.13045206
8.65170341,1.13412548
8.69138277,1.13662421
8.73106212,1.13792784
8.77074148,1.13803185
8.81042084,1.13694985
8.85010020,1.13471535
8.88977956,1.13138286
8.92945892,1.12702824
8.96913828,1.12174828
9.00881764,1.11565950
9.04849699,1.10889614
9.08817635,1.10160758
9.12785571,1.09395497
9.16753507,1.08610754
9.20721443,1.07823847
9.24689379,1.07052060
9.28657315,1.06312208
9.32625251,1.05620217
9.36593186,1.04990725
9.40561122,1.04436728
