r_A,g_r,g_r_error,n_r
0.51375000,0.00000000,0.00043156,0.00000000
0.54125000,0.00000000,0.00038882,0.00000000
0.56875000,0.00000000,0.00035213,0.00000000
0.59625000,0.00000000,0.00032039,0.00000000
0.62375000,0.00000000,0.00029276,0.00000000
0.65125000,0.00000000,0.00026856,0.00000000
0.67875000,0.00000000,0.00024724,0.00000000
0.70625000,0.00000000,0.00022836,0.00000000
0.73375000,0.00000000,0.00021156,0.00000000
0.76125000,0.00000000,0.00019656,0.00000000
0.78875000,0.00000000,0.00018309,0.00000000
0.81625000,0.00000000,0.00017096,0.00000000
0.84375000,0.00000000,0.00016000,0.00000000
0.87125000,0.00000000,0.00015006,0.00000000
0.89875000,0.00000000,0.00014101,0.00000000
0.92625000,0.00000000,0.00013276,0.00000000
0.95375000,0.00000000,0.00012522,0.00000000
0.98125000,0.00000000,0.00011830,0.00000000
1.00875000,0.00000000,0.00011194,0.00000000
1.03625000,0.00000000,0.00010607,0.00000000
1.06375000,0.00000000,0.00010066,0.00000000
1.09125000,0.00000000,0.00009565,0.00000000
1.11875000,0.00000000,0.00009101,0.00000000
1.14625000,0.00000000,0.00008669,0.00000000
1.17375000,0.00000000,0.00008268,0.00000000
1.20125000,0.00000000,0.00007894,0.00000000
1.22875000,0.00000000,0.00007544,0.00000000
1.25625000,0.00050523,0.00019096,0.00002958
1.28375000,0.02114952,0.00120904,0.00132251
1.31125000,0.15925879,0.00324815,0.01148002
1.33875000,0.69038406,0.00662393,0.05737899
1.36625000,1.92173556,0.01082896,0.19044500
1.39375000,3.24214536,0.01378800,0.42406791
1.42125000,4.04922416,0.01511073,0.72747516
1.44875000,5.11079751,0.01665409,1.12538872
1.47625000,5.76035177,0.01735140,1.59106274
1.50375000,5.30884969,0.01635289,2.03637524
1.53125000,4.07878220,0.01407632,2.39113626
1.55875000,2.65870181,0.01116422,2.63076325
1.58625000,1.53695813,0.00834122,2.77421917
1.61375000,0.87556445,0.00618839,2.85880037
1.64125000,0.49427407,0.00457171,2.90818939
1.66875000,0.30080220,0.00350767,2.93926193
1.69625000,0.20039292,0.00281657,2.96065018
1.72375000,0.14053479,0.00232107,2.97613997
1.75125000,0.10759501,0.00199902,2.98838054
1.77875000,0.08571750,0.00175667,2.99844088
1.80625000,0.06378562,0.00149229,3.00616042
1.83375000,0.06043027,0.00143073,3.01369828
1.86125000,0.06089358,0.00141498,3.02152346
1.88875000,0.08470874,0.00164460,3.03273307
1.91625000,0.10723461,0.00182383,3.04733978
1.94375000,0.07205382,0.00147387,3.05743814
1.97125000,0.01876016,0.00074156,3.06014231
1.99875000,0.00316480,0.00030039,3.06061131
2.02625000,0.00097101,0.00016413,3.06075919
2.05375000,0.00043208,0.00010802,3.06082680
2.08125000,0.00055222,0.00012050,3.06091553
2.10875000,0.00166496,0.00020651,3.06119017
2.13625000,0.00768752,0.00043804,3.06249155
2.16375000,0.03369578,0.00090542,3.06834353
2.19125000,0.17888957,0.00206002,3.10020619
2.21875000,0.46433059,0.00327775,3.18499865
2.24625000,0.50732331,0.00338419,3.27995285
2.27375000,0.61048553,0.00366746,3.39703049
2.30125000,0.83857768,0.00424696,3.56176481
2.32875000,1.15948399,0.00493491,3.79501589
2.35625000,1.52234407,0.00558863,4.10853840
2.38375000,1.83709682,0.00606842,4.49576629
2.41125000,2.10177572,0.00641684,4.94906453
2.43875000,2.25514085,0.00657188,5.44659698
2.46625000,2.30631060,0.00657191,5.96695849
2.49375000,2.26885775,0.00644645,6.49034951
2.52125000,2.16010736,0.00622145,6.99970423
2.54875000,1.97450650,0.00588399,7.47550619
2.57625000,1.79142186,0.00554474,7.91655540
2.60375000,1.59710923,0.00518010,8.31820410
2.63125000,1.41979785,0.00483305,8.68284377
2.65875000,1.26367073,0.00451242,9.01420531
2.68625000,1.13207515,0.00422728,9.31723229
2.71375000,1.03177429,0.00399478,9.59909495
2.74125000,0.94899855,0.00379275,9.86362561
2.76875000,0.89095508,0.00363843,10.11698469
2.79625000,0.84796531,0.00351466,10.36293267
2.82375000,0.82400105,0.00343090,10.60665393
2.85125000,0.80972411,0.00336824,10.85083998
2.87875000,0.80229967,0.00332074,11.09747668
2.90625000,0.79762615,0.00327972,11.34738372
2.93375000,0.79307868,0.00323970,11.60059069
2.96125000,0.79517339,0.00321385,11.85924824
2.98875000,0.79423900,0.00318241,12.12242259
3.01625000,0.79351933,0.00315197,12.39021938
3.04375000,0.79564664,0.00312767,12.66365265
3.07125000,0.79644782,0.00310123,12.94232947
3.09875000,0.79185226,0.00306482,13.22438227
3.12625000,0.79493975,0.00304378,13.51258282
3.15375000,0.80249498,0.00303154,13.80866347
3.18125000,0.80186034,0.00300415,14.10969189
3.20875000,0.80129542,0.00297735,14.41573148
3.23625000,0.81024791,0.00296850,14.73051734
3.26375000,0.82060400,0.00296224,15.05476778
3.29125000,0.82335193,0.00294240,15.38560962
3.31875000,0.83839956,0.00294456,15.72815120
3.34625000,0.85039180,0.00294118,16.08137422
3.37375000,0.85761013,0.00292956,16.44347451
3.40125000,0.87673329,0.00293809,16.81970829
3.42875000,0.89156960,0.00293908,17.20852065
3.45625000,0.91006776,0.00294579,17.61179185
3.48375000,0.93916349,0.00296889,18.03460485
3.51125000,0.97621977,0.00300318,18.48106662
3.53875000,1.01229718,0.00303441,18.95130814
3.56625000,1.06154236,0.00308338,19.45211939
3.59375000,1.11125765,0.00313061,19.98450176
3.62125000,1.16000621,0.00317425,20.54877637
3.64875000,1.20617198,0.00321241,21.14445308
3.67625000,1.24805887,0.00324327,21.77014180
3.70375000,1.26005115,0.00323461,22.41132876
3.73125000,1.26906026,0.00322223,23.06672526
3.75875000,1.26734411,0.00319649,23.73091874
3.78625000,1.23306254,0.00313006,24.38663636
3.81375000,1.20012777,0.00306571,25.03414430
3.84125000,1.15730699,0.00298897,25.66758636
3.86875000,1.11261775,0.00290986,26.28531892
3.89625000,1.05782313,0.00281728,26.88100832
3.92375000,1.01308389,0.00273773,27.45958542
3.95125000,0.96579898,0.00265448,28.01891648
3.97875000,0.93967250,0.00260023,28.57071812
4.00625000,0.90554726,0.00253506,29.10985668
4.03375000,0.88974206,0.00249570,29.64688261
4.06125000,0.87895575,0.00246373,30.18465640
4.08875000,0.86865750,0.00243278,30.72335130
4.11625000,0.87163723,0.00242067,31.27118966
4.14375000,0.88126774,0.00241786,31.83250659
4.17125000,0.88283796,0.00240405,32.40231206
4.19875000,0.89395077,0.00240329,32.98692283
4.22625000,0.90315724,0.00239992,33.58531639
4.25375000,0.91712545,0.00240277,34.20089829
4.28125000,0.93535326,0.00241094,34.83685861
4.30875000,0.93809685,0.00239907,35.48290461
4.33625000,0.94483932,0.00239240,36.14192638
4.36375000,0.95214538,0.00238650,36.81449432
4.39125000,0.96139818,0.00238305,37.50218446
4.41875000,0.97379529,0.00238344,38.20749392
4.44625000,0.98118067,0.00237766,38.92702559
4.47375000,0.98966022,0.00237324,39.66178086
4.50125000,1.00000183,0.00237103,40.41336956
4.52875000,1.00489951,0.00236240,41.17789599
4.55625000,1.01656380,0.00236173,41.96071779
4.58375000,1.03160106,0.00236486,42.76473770
4.61125000,1.03588053,0.00235562,43.58180942
4.63875000,1.05557020,0.00236381,44.42437213
4.66625000,1.06314317,0.00235829,45.28307109
4.69375000,1.07035298,0.00235241,46.15781335
4.72125000,1.07694502,0.00234590,47.04828624
4.74875000,1.08750032,0.00234372,47.95799250
4.77625000,1.08614797,0.00232877,48.87712108
4.80375000,1.08920259,0.00231870,49.80947894
4.83125000,1.08940420,0.00230571,50.75271684
4.85875000,1.08474031,0.00228775,51.70263910
4.88625000,1.08685321,0.00227709,52.66521600
4.91375000,1.07891117,0.00225606,53.63154492
4.94125000,1.06499942,0.00222899,54.59612037
4.96875000,1.05999316,0.00221144,55.56687737
4.99625000,1.04647663,0.00218520,56.53589356
5.02375000,1.03673008,0.00216309,57.50648154
5.05125000,1.01982528,0.00213370,58.47172458
5.07875000,1.01538643,0.00211753,59.44325903
5.10625000,1.00020661,0.00209032,60.41066117
5.13375000,0.98982654,0.00206831,61.37836330
5.16125000,0.98406154,0.00205129,62.35076393
5.18875000,0.97262598,0.00202852,63.32213359
5.21625000,0.96664669,0.00201162,64.29779188
5.24375000,0.96269838,0.00199698,65.27973736
5.27125000,0.95750884,0.00198120,66.26666019
5.29875000,0.95479685,0.00196812,67.26108285
5.32625000,0.95175642,0.00195484,68.26265464
5.35375000,0.95153751,0.00194458,69.27436283
5.38125000,0.95547821,0.00193864,70.30072421
5.40875000,0.95601919,0.00192933,71.33818956
5.43625000,0.96126036,0.00192482,72.39197708
5.46375000,0.95780862,0.00191169,73.45263064
5.49125000,0.96371546,0.00190798,74.53059509
5.51875000,0.96879908,0.00190347,75.62512676
5.54625000,0.97122787,0.00189641,76.73336516
5.57375000,0.97615753,0.00189183,77.85830178
5.60125000,0.97925923,0.00188553,78.99797610
5.62875000,0.98526658,0.00188207,80.15592888
5.65625000,0.99156682,0.00187889,81.33270095
5.68375000,0.99578119,0.00187377,82.52599378
5.71125000,0.99504613,0.00186406,83.72997228
5.73875000,1.00369035,0.00186317,84.95613338
5.76625000,1.00603042,0.00185644,86.19696035
5.79375000,1.00848794,0.00184989,87.45271092
5.82125000,1.01113657,0.00184357,88.72374003
5.84875000,1.01125020,0.00183500,90.00695055
5.87625000,1.01818525,0.00183267,91.31113947
5.90375000,1.01879057,0.00182467,92.62834640
5.93125000,1.01731730,0.00181490,93.95593057
5.95875000,1.02206084,0.00181073,95.30210164
5.98625000,1.02647741,0.00180630,96.66659765
