r_A,g_r,g_r_error,n_r
0.51375000,0.00000000,0.00043156,0.00000000
0.54125000,0.00000000,0.00038882,0.00000000
0.56875000,0.00000000,0.00035213,0.00000000
0.59625000,0.00000000,0.00032039,0.00000000
0.62375000,0.00000000,0.00029276,0.00000000
0.65125000,0.00000000,0.00026856,0.00000000
0.67875000,0.00000000,0.00024724,0.00000000
0.70625000,0.00000000,0.00022836,0.00000000
0.73375000,0.00000000,0.00021156,0.00000000
0.76125000,0.00000000,0.00019656,0.00000000
0.78875000,0.00000000,0.00018309,0.00000000
0.81625000,0.00000000,0.00017096,0.00000000
0.84375000,0.00000000,0.00016000,0.00000000
0.87125000,0.00000000,0.00015006,0.00000000
0.89875000,0.00000000,0.00014101,0.00000000
0.92625000,0.00000000,0.00013276,0.00000000
0.95375000,0.00000000,0.00012522,0.00000000
0.98125000,0.00000000,0.00011830,0.00000000
1.00875000,0.00000000,0.00011194,0.00000000
1.03625000,0.00000000,0.00010607,0.00000000
1.06375000,0.00000000,0.00010066,0.00000000
1.09125000,0.00000000,0.00009565,0.00000000
1.11875000,0.00000000,0.00009101,0.00000000
1.14625000,0.00000000,0.00008669,0.00000000
1.17375000,0.00000000,0.00008268,0.00000000
1.20125000,0.00000000,0.00007894,0.00000000
1.22875000,0.00000000,0.00007544,0.00000000
1.25625000,0.00057740,0.00020414,0.00003380
1.28375000,0.02052747,0.00119112,0.00128870
1.31125000,0.17820555,0.00343594,0.01265464
1.33875000,0.70303125,0.00668433,0.05939444
1.36625000,1.97506795,0.01097819,0.19615333
1.39375000,3.23692668,0.01377690,0.42940018
1.42125000,4.08627212,0.01517970,0.73558342
1.44875000,5.11655004,0.01666346,1.13394487
1.47625000,5.74326076,0.01732564,1.59823722
1.50375000,5.28905352,0.01632237,2.04188920
1.53125000,4.02845445,0.01398921,2.39227285
1.55875000,2.62265114,0.01108827,2.62865062
1.58625000,1.55891338,0.00840058,2.77415579
1.61375000,0.86506712,0.00615118,2.85772292
1.64125000,0.48877696,0.00454622,2.90656267
1.66875000,0.29969782,0.00350123,2.93752113
1.69625000,0.19397971,0.00277114,2.95822489
1.72375000,0.13796637,0.00229976,2.97343158
1.75125000,0.10648081,0.00198865,2.98554540
1.77875000,0.08827355,0.00178267,2.99590573
1.80625000,0.06818463,0.00154289,3.00415765
1.83375000,0.05545087,0.00137052,3.01107440
1.86125000,0.06197862,0.00142753,3.01903901
1.88875000,0.08649679,0.00166186,3.03048523
1.91625000,0.10521834,0.00180661,3.04481730
1.94375000,0.07395315,0.00149317,3.05518186
1.97125000,0.01820322,0.00073047,3.05780574
1.99875000,0.00293670,0.00028936,3.05824094
2.02625000,0.00088778,0.00015694,3.05837615
2.05375000,0.00059411,0.00012666,3.05846910
2.08125000,0.00089407,0.00015333,3.05861276
2.10875000,0.00192110,0.00022183,3.05892966
2.13625000,0.00708850,0.00042062,3.06012963
2.16375000,0.03303890,0.00089655,3.06586753
2.19125000,0.18159391,0.00207553,3.09821187
2.21875000,0.47078605,0.00330045,3.18418317
2.24625000,0.51673700,0.00341544,3.28089930
2.27375000,0.61927631,0.00369377,3.39966282
2.30125000,0.84451405,0.00426196,3.56556331
2.32875000,1.16769640,0.00495236,3.80046647
2.35625000,1.52353401,0.00559081,4.11423405
2.38375000,1.84764079,0.00608581,4.50368442
2.41125000,2.09399812,0.00640495,4.95530523
2.43875000,2.25403005,0.00657026,5.45259262
2.46625000,2.30116071,0.00656457,5.97179218
2.49375000,2.26460840,0.00644041,6.49420295
2.52125000,2.15845883,0.00621908,7.00316894
2.54875000,1.97199911,0.00588025,7.47836668
2.57625000,1.78055841,0.00552790,7.91674131
2.60375000,1.59228727,0.00517227,8.31717736
2.63125000,1.40884089,0.00481436,8.67900301
2.65875000,1.25706427,0.00450061,9.00863220
2.68625000,1.13561101,0.00423388,9.31260563
2.71375000,1.02469050,0.00398104,9.59253313
2.74125000,0.95234847,0.00379944,9.85799757
2.76875000,0.89059848,0.00363770,10.11125524
2.79625000,0.84748458,0.00351366,10.35706378
2.82375000,0.81481564,0.00341172,10.59806821
2.85125000,0.81328291,0.00337564,10.84332747
2.87875000,0.80459502,0.00332548,11.09066979
2.90625000,0.79414683,0.00327256,11.33948672
2.93375000,0.80093972,0.00325572,11.59520349
2.96125000,0.79464082,0.00321278,11.85368780
2.98875000,0.79129340,0.00317650,12.11588612
3.01625000,0.79681209,0.00315850,12.38479415
3.04375000,0.79188442,0.00312027,12.65693449
3.07125000,0.79347722,0.00309544,12.93457190
3.09875000,0.79640736,0.00307363,13.21824719
3.12625000,0.79597700,0.00304577,13.50682379
3.15375000,0.79734153,0.00302179,13.80100308
3.18125000,0.80602468,0.00301194,14.10359485
3.20875000,0.80391732,0.00298222,14.41063582
3.23625000,0.80517985,0.00295920,14.72345271
3.26375000,0.81831566,0.00295810,15.04679895
3.29125000,0.83081773,0.00295571,15.38064072
3.31875000,0.83703446,0.00294217,15.72262456
3.34625000,0.85062576,0.00294158,16.07594477
3.37375000,0.86096256,0.00293528,16.43946052
3.40125000,0.87578806,0.00293651,16.81528867
3.42875000,0.89658838,0.00294734,17.20628972
3.45625000,0.91389137,0.00295197,17.61125524
3.48375000,0.93781201,0.00296675,18.03345981
3.51125000,0.97227479,0.00299711,18.47811739
3.53875000,1.01204250,0.00303403,18.94824060
3.56625000,1.06619055,0.00309012,19.45124476
3.59375000,1.11629359,0.00313770,19.98603975
3.62125000,1.16619069,0.00318270,20.55332274
3.64875000,1.20928622,0.00321655,21.15053745
3.67625000,1.23903238,0.00323152,21.77170092
3.70375000,1.26586354,0.00324207,22.41584556
3.73125000,1.26954296,0.00322284,23.07149135
3.75875000,1.26027357,0.00318756,23.73197928
3.78625000,1.23665391,0.00313462,24.38960671
3.81375000,1.19972837,0.00306520,25.03689917
3.84125000,1.15666626,0.00298814,25.66999054
3.86875000,1.10676547,0.00290220,26.28447387
3.89625000,1.05467930,0.00281309,26.87839288
3.92375000,1.01177437,0.00273596,27.45622211
3.95125000,0.97491139,0.00266697,28.02083052
3.97875000,0.93283700,0.00259075,28.56861817
4.00625000,0.90358144,0.00253230,29.10658633
4.03375000,0.88736193,0.00249236,29.64217567
4.06125000,0.87580666,0.00245932,30.17802275
4.08875000,0.87409453,0.00244039,30.72008941
4.11625000,0.87535483,0.00242583,31.27026433
4.14375000,0.88000071,0.00241612,31.83077424
4.17125000,0.88178398,0.00240262,32.39989944
4.19875000,0.89628965,0.00240644,32.98603975
4.22625000,0.90801666,0.00240637,33.58765295
4.25375000,0.91528101,0.00240035,34.20199686
4.28125000,0.92880950,0.00240250,34.83350798
4.30875000,0.93899874,0.00240022,35.48017509
4.33625000,0.94701405,0.00239516,36.14071373
4.36375000,0.95236072,0.00238677,36.81343378
4.39125000,0.96172306,0.00238345,37.50135631
4.41875000,0.97156683,0.00238071,38.20505172
4.44625000,0.98341622,0.00238037,38.92622279
4.47375000,0.98886915,0.00237229,39.66039075
4.50125000,1.00083385,0.00237202,40.41260479
4.52875000,1.00819286,0.00236627,41.17963680
4.55625000,1.02005894,0.00236578,41.96515008
4.58375000,1.03149264,0.00236473,42.76908549
4.61125000,1.03969455,0.00235996,43.58916560
4.63875000,1.04908573,0.00235654,44.42655236
4.66625000,1.06364014,0.00235884,45.28565272
4.69375000,1.07022373,0.00235227,46.16028935
4.72125000,1.07997528,0.00234920,47.05326781
4.74875000,1.08412117,0.00234007,47.96014738
4.77625000,1.08863451,0.00233144,48.88138014
4.80375000,1.09283059,0.00232255,49.81684356
4.83125000,1.09154652,0.00230798,50.76193635
4.85875000,1.08510218,0.00228813,51.71217550
4.88625000,1.07562759,0.00226530,52.66481037
4.91375000,1.07659959,0.00225364,53.62906892
4.94125000,1.06736932,0.00223147,54.59579080
4.96875000,1.05532875,0.00220656,55.56227606
4.99625000,1.04536326,0.00218403,56.53026129
5.02375000,1.03235228,0.00215852,57.49675078
5.05125000,1.02402608,0.00213809,58.46596978
5.07875000,1.01491834,0.00211704,59.43705635
5.10625000,1.00229477,0.00209250,60.40647816
5.13375000,0.99138673,0.00206994,61.37570562
5.16125000,0.98394182,0.00205116,62.34798793
5.18875000,0.97257098,0.00202847,63.31930266
5.21625000,0.96654622,0.00201151,64.29485955
5.24375000,0.96050289,0.00199470,65.27456564
5.27125000,0.95728748,0.00198097,66.26126031
5.29875000,0.95734863,0.00197075,67.25834066
5.32625000,0.95068840,0.00195374,68.25878853
5.35375000,0.95110038,0.00194413,69.27003194
5.38125000,0.95880591,0.00194201,70.29996789
5.40875000,0.95574275,0.00192905,71.33713325
5.43625000,0.95495094,0.00191850,72.38400402
5.46375000,0.96382957,0.00191769,73.45132504
5.49125000,0.96479203,0.00190904,74.53049368
5.51875000,0.96476748,0.00189951,75.62047052
5.54625000,0.97307191,0.00189820,76.73081311
5.57375000,0.97677716,0.00189243,77.85646380
5.60125000,0.98102366,0.00188723,78.99819159
5.62875000,0.98588854,0.00188266,80.15687534
5.65625000,0.99168787,0.00187901,81.33379107
5.68375000,0.99601743,0.00187400,82.52736699
5.71125000,0.99836006,0.00186716,83.73535526
5.73875000,1.00021441,0.00185994,84.95726998
5.76625000,1.00571868,0.00185616,86.19771245
5.79375000,1.00825041,0.00184967,87.45316725
5.82125000,1.00976180,0.00184231,88.72246823
5.84875000,1.01507943,0.00183847,90.01053779
5.87625000,1.01822484,0.00183270,91.31477741
5.90375000,1.02112066,0.00182676,92.63499696
5.93125000,1.02066516,0.00181788,93.96695004
5.95875000,1.02021947,0.00180910,95.31069582
5.98625000,1.02521234,0.00180519,96.67351017
