k_invA,S_k
0.20000000,0.14859569
0.23967936,0.15619948
0.27935872,0.16460446
0.31903808,0.17356809
0.35871743,0.18283970
0.39839679,0.19217039
0.43807615,0.20132290
0.47775551,0.21008096
0.51743487,0.21825776
0.55711423,0.22570315
0.59679359,0.23230940
0.63647295,0.23801514
0.67615230,0.24280744
0.71583166,0.24672190
0.75551102,0.24984068
0.79519038,0.25228871
0.83486974,0.25422816
0.87454910,0.25585133
0.91422846,0.25737248
0.95390782,0.25901865
0.99358717,0.26102022
1.03326653,0.26360129
1.07294589,0.26697051
1.11262525,0.27131269
1.15230461,0.27678155
1.19198397,0.28349394
1.23166333,0.29152581
1.27134269,0.30091007
1.31102204,0.31163647
1.35070140,0.32365347
1.39038076,0.33687207
1.43006012,0.35117141
1.46973948,0.36640580
1.50941884,0.38241298
1.54909820,0.39902315
1.58877756,0.41606831
1.62845691,0.43339153
1.66813627,0.45085564
1.70781563,0.46835087
1.74749499,0.48580115
1.78717435,0.50316851
1.82685371,0.52045560
1.86653307,0.53770580
1.90621242,0.55500117
1.94589178,0.57245804
1.98557114,0.59022039
2.02525050,0.60845139
2.06492986,0.62732329
2.10460922,0.64700619
2.14428858,0.66765604
2.18396794,0.68940260
2.22364729,0.71233780
2.26332665,0.73650508
2.30300601,0.76189025
2.34268537,0.78841454
2.38236473,0.81592991
2.42204409,0.84421737
2.46172345,0.87298818
2.50140281,0.90188825
2.54108216,0.93050558
2.58076152,0.95838063
2.62044088,0.98501931
2.66012024,1.00990807
2.69979960,1.03253071
2.73947896,1.05238613
2.77915832,1.06900644
2.81883768,1.08197463
2.85851703,1.09094113
2.89819639,1.09563852
2.93787575,1.09589375
2.97755511,1.09163731
3.01723447,1.08290895
3.05691383,1.06985953
3.09659319,1.05274898
3.13627255,1.03194024
3.17595190,1.00788940
3.21563126,0.98113245
3.25531062,0.95226891
3.29498998,0.92194318
3.33466934,0.89082415
3.37434870,0.85958397
3.41402806,0.82887683
3.45370741,0.79931844
3.49338677,0.77146739
3.53306613,0.74580871
3.57274549,0.72274076
3.61242485,0.70256565
3.65210421,0.68548374
3.69178357,0.67159256
3.73146293,0.66088987
3.77114228,0.65328115
3.81082164,0.64859075
3.85050100,0.64657661
3.89018036,0.64694762
3.92985972,0.64938290
3.96953908,0.65355226
4.00921844,0.65913676
4.04889780,0.66584847
4.08857715,0.67344858
4.12825651,0.68176286
4.16793587,0.69069387
4.20761523,0.70022915
4.24729459,0.71044509
4.28697395,0.72150606
4.32665331,0.73365882
4.36633267,0.74722243
4.40601202,0.76257379
4.44569138,0.78012954
4.48537074,0.80032499
4.52505010,0.82359089
4.56472946,0.85032900
4.60440882,0.88088757
4.64408818,0.91553769
4.68376754,0.95445168
4.72344689,0.99768429
4.76312625,1.04515788
4.80280561,1.09665198
4.84248497,1.15179811
4.88216433,1.21007998
4.92184369,1.27083933
4.96152305,1.33328736
5.00120240,1.39652131
5.04088176,1.45954588
5.08056112,1.52129858
5.12024048,1.58067836
5.15991984,1.63657625
5.19959920,1.68790725
5.23927856,1.73364203
5.27895792,1.77283749
5.31863727,1.80466500
5.35831663,1.82843537
5.39799599,1.84361956
5.43767535,1.84986457
5.47735471,1.84700371
5.51703407,1.83506126
5.55671343,1.81425106
5.59639279,1.78496936
5.63607214,1.74778219
5.67575150,1.70340767
5.71543086,1.65269410
5.75511022,1.59659456
5.79478958,1.53613898
5.83446894,1.47240470
5.87414830,1.40648661
5.91382766,1.33946782
5.95350701,1.27239195
5.99318637,1.20623778
6.03286573,1.14189725
6.07254509,1.08015721
6.11222445,1.02168559
6.15190381,0.96702211
6.19158317,0.91657372
6.23126253,0.87061463
6.27094188,0.82929078
6.31062124,0.79262817
6.35030060,0.76054463
6.38997996,0.73286441
6.42965932,0.70933472
6.46933868,0.68964359
6.50901804,0.67343830
6.54869739,0.66034340
6.58837675,0.64997803
6.62805611,0.64197149
6.66773547,0.63597684
6.70741483,0.63168211
6.74709419,0.62881864
6.78677355,0.62716672
6.82645291,0.62655829
6.86613226,0.62687693
6.90581162,0.62805535
6.94549098,0.63007073
6.98517034,0.63293822
7.02484970,0.63670318
7.06452906,0.64143255
7.10420842,0.64720584
7.14388778,0.65410627
7.18356713,0.66221235
7.22324649,0.67159050
7.26292585,0.68228867
7.30260521,0.69433157
7.34228457,0.70771733
7.38196393,0.72241577
7.42164329,0.73836825
7.46132265,0.75548898
7.50100200,0.77366753
7.54068136,0.79277247
7.58036072,0.81265570
7.62004008,0.83315729
7.65971944,0.85411055
7.69939880,0.87534695
7.73907816,0.89670075
7.77875752,0.91801300
7.81843687,0.93913488
7.85811623,0.95993013
7.89779559,0.98027663
7.93747495,1.00006699
7.97715431,1.01920836
8.01683367,1.03762142
8.05651303,1.05523878
8.09619238,1.07200293
8.13587174,1.08786391
8.17555110,1.10277691
8.21523046,1.11670009
8.25490982,1.12959253
8.29458918,1.14141285
8.33426854,1.15211818
8.37394790,1.16166398
8.41362725,1.17000440
8.45330661,1.17709335
8.49298597,1.18288626
8.53266533,1.18734222
8.57234469,1.19042663
8.61202405,1.19211406
8.65170341,1.19239118
8.69138277,1.19125955
8.73106212,1.18873818
8.77074148,1.18486564
8.81042084,1.17970153
8.85010020,1.17332731
8.88977956,1.16584630
8.92945892,1.15738287
8.96913828,1.14808082
9.00881764,1.13810090
9.04849699,1.12761766
9.08817635,1.11681570
9.12785571,1.10588537
9.16753507,1.09501826
9.20721443,1.08440240
9.24689379,1.07421763
9.28657315,1.06463108
9.32625251,1.05579307
9.36593186,1.04783346
9.40561122,1.04085872
9.44529058,1.03494963
9.48496994,1.03015987
9.52464930,1.02651532
9.56432866,1.02401423
9.60400802,1.02262817
9.64368737,1.02230363
9.68336673,1.02296431
9.72304609,1.02451381
9.76272545,1.02683885
9.80240481,1.02981259
9.84208417,1.03329822
9.88176353,1.03715243
9.92144289,1.04122892
9.96112224,1.04538156
10.00080160,1.04946737
10.04048096,1.05334917
10.08016032,1.05689777
10.11983968,1.05999386
10.15951904,1.06252946
10.19919840,1.06440904
10.23887776,1.06555031
10.27855711,1.06588465
10.31823647,1.06535736
10.35791583,1.06392775
10.39759519,1.06156897
10.43727455,1.05826784
10.47695391,1.05402456
10.51663327,1.04885239
10.55631263,1.04277729
10.59599198,1.03583751
10.63567134,1.02808320
10.67535070,1.01957587
10.71503006,1.01038783
10.75470942,1.00060155
10.79438878,0.99030876
10.83406814,0.97960955
10.87374749,0.96861115
10.91342685,0.95742660
10.95310621,0.94617318
10.99278557,0.93497070
11.03246493,0.92393960
11.07214429,0.91319891
11.11182365,0.90286421
11.15150301,0.89304548
11.19118236,0.88384508
11.23086172,0.87535577
11.27054108,0.86765903
11.31022044,0.86082349
11.34989980,0.85490382
11.38957916,0.84993989
11.42925852,0.84595639
11.46893788,0.84296283
11.50861723,0.84095404
11.54829659,0.83991104
11.58797595,0.83980232
11.62765531,0.84058542
11.66733467,0.84220889
11.70701403,0.84461436
11.74669339,0.84773874
11.78637275,0.85151650
11.82605210,0.85588188
11.86573146,0.86077087
11.90541082,0.86612309
11.94509018,0.87188325
11.98476954,0.87800238
12.02444890,0.88443852
12.06412826,0.89115713
12.10380762,0.89813104
12.14348697,0.90533994
12.18316633,0.91276964
12.22284569,0.92041090
12.26252505,0.92825810
12.30220441,0.93630769
12.34188377,0.94455659
12.38156313,0.95300057
12.42124248,0.96163273
12.46092184,0.97044212
12.50060120,0.97941256
12.54028056,0.98852179
12.57995992,0.99774093
12.61963928,1.00703418
12.65931864,1.01635905
12.69899800,1.02566672
12.73867735,1.03490286
12.77835671,1.04400867
12.81803607,1.05292209
12.85771543,1.06157921
12.89739479,1.06991577
12.93707415,1.07786867
12.97675351,1.08537743
13.01643287,1.09238549
13.05611222,1.09884150
13.09579158,1.10470021
13.13547094,1.10992328
13.17515030,1.11447975
13.21482966,1.11834629
13.25450902,1.12150719
13.29418838,1.12395414
13.33386774,1.12568578
13.37354709,1.12670713
13.41322645,1.12702886
13.45290581,1.12666660
13.49258517,1.12564010
13.53226453,1.12397250
13.57194389,1.12168968
13.61162325,1.11881964
13.65130261,1.11539208
13.69098196,1.11143807
13.73066132,1.10698985
13.77034068,1.10208078
13.81002004,1.09674544
13.84969940,1.09101969
13.88937876,1.08494093
13.92905812,1.07854829
13.96873747,1.07188281
14.00841683,1.06498760
14.04809619,1.05790783
14.08777555,1.05069074
14.12745491,1.04338537
14.16713427,1.03604221
14.20681363,1.02871273
14.24649299,1.02144869
14.28617234,1.01430139
14.32585170,1.00732081
14.36553106,1.00055465
14.40521042,0.99404744
14.44488978,0.98783952
14.48456914,0.98196626
14.52424850,0.97645723
14.56392786,0.97133566
14.60360721,0.96661791
14.64328657,0.96231334
14.68296593,0.95842424
14.72264529,0.95494606
14.76232465,0.95186786
14.80200401,0.94917296
14.84168337,0.94683973
14.88136273,0.94484263
14.92104208,0.94315320
14.96072144,0.94174130
15.00040080,0.94057617
15.04008016,0.93962760
15.07975952,0.93886697
15.11943888,0.93826810
15.15911824,0.93780807
15.19879760,0.93746773
15.23847695,0.93723211
15.27815631,0.93709050
15.31783567,0.93703645
15.35751503,0.93706749
15.39719439,0.93718468
15.43687375,0.93739208
15.47655311,0.93769602
15.51623246,0.93810438
15.55591182,0.93862579
15.59559118,0.93926889
15.63527054,0.94004162
15.67494990,0.94095058
15.71462926,0.94200057
15.75430862,0.94319420
15.79398798,0.94453169
15.83366733,0.94601084
15.87334669,0.94762713
15.91302605,0.94937392
15.95270541,0.95124287
15.99238477,0.95322436
16.03206413,0.95530799
16.07174349,0.95748314
16.11142285,0.95973950
16.15110220,0.96206752
16.19078156,0.96445888
16.23046092,0.96690678
16.27014028,0.96940618
16.30981964,0.97195382
16.34949900,0.97454826
16.38917836,0.97718962
16.42885772,0.97987934
16.46853707,0.98261978
16.50821643,0.98541376
16.54789579,0.98826402
16.58757515,0.99117271
16.62725451,0.99414088
16.66693387,0.99716798
16.70661323,1.00025146
16.74629259,1.00338647
16.78597194,1.00656567
16.82565130,1.00977910
16.86533066,1.01301429
16.90501002,1.01625642
16.94468938,1.01948860
16.98436874,1.02269232
17.02404810,1.02584788
17.06372745,1.02893496
17.10340681,1.03193318
17.14308617,1.03482272
17.18276553,1.03758480
17.22244489,1.04020221
17.26212425,1.04265974
17.30180361,1.04494447
17.34148297,1.04704601
17.38116232,1.04895657
17.42084168,1.05067094
17.46052104,1.05218635
17.50020040,1.05350225
17.53987976,1.05461996
17.57955912,1.05554229
17.61923848,1.05627311
17.65891784,1.05681689
17.69859719,1.05717829
17.73827655,1.05736174
17.77795591,1.05737110
17.81763527,1.05720941
17.85731463,1.05687867
17.89699399,1.05637983
17.93667335,1.05571273
17.97635271,1.05487630
18.01603206,1.05386870
18.05571142,1.05268766
18.09539078,1.05133081
18.13507014,1.04979604
18.17474950,1.04808193
18.21442886,1.04618816
18.25410822,1.04411580
18.29378758,1.04186774
18.33346693,1.03944881
18.37314629,1.03686607
18.41282565,1.03412878
18.45250501,1.03124846
18.49218437,1.02823875
18.53186373,1.02511519
18.57154309,1.02189498
18.61122244,1.01859663
18.65090180,1.01523957
18.69058116,1.01184372
18.73026052,1.00842913
18.76993988,1.00501552
18.80961924,1.00162193
18.84929860,0.99826644
18.88897796,0.99496582
18.92865731,0.99173543
18.96833667,0.98858908
19.00801603,0.98553897
19.04769539,0.98259577
19.08737475,0.97976868
19.12705411,0.97706565
19.16673347,0.97449352
19.20641283,0.97205827
19.24609218,0.96976526
19.28577154,0.96761944
19.32545090,0.96562554
19.36513026,0.96378827
19.40480962,0.96211238
19.44448898,0.96060276
19.48416834,0.95926442
19.52384770,0.95810243
19.56352705,0.95712179
