r_A,g_r,g_r_error,n_r
0.51375000,0.00000000,0.00034151,0.00000000
0.54125000,0.00000000,0.00030769,0.00000000
0.56875000,0.00000000,0.00027865,0.00000000
0.59625000,0.00000000,0.00025354,0.00000000
0.62375000,0.00000000,0.00023168,0.00000000
0.65125000,0.00000000,0.00021253,0.00000000
0.67875000,0.00000000,0.00019565,0.00000000
0.70625000,0.00000000,0.00018071,0.00000000
0.73375000,0.00000000,0.00016742,0.00000000
0.76125000,0.00000000,0.00015554,0.00000000
0.78875000,0.00000000,0.00014489,0.00000000
0.81625000,0.00000000,0.00013529,0.00000000
0.84375000,0.00000000,0.00012661,0.00000000
0.87125000,0.00000000,0.00011875,0.00000000
0.89875000,0.00000000,0.00011159,0.00000000
0.92625000,0.00000000,0.00010506,0.00000000
0.95375000,0.00000000,0.00009909,0.00000000
0.98125000,0.00000000,0.00009362,0.00000000
1.00875000,0.00000000,0.00008858,0.00000000
1.03625000,0.00000000,0.00008394,0.00000000
1.06375000,0.00000000,0.00007966,0.00000000
1.09125000,0.00000000,0.00007569,0.00000000
1.11875000,0.00000000,0.00007202,0.00000000
1.14625000,0.00000000,0.00006860,0.00000000
1.17375000,0.00000000,0.00006543,0.00000000
1.20125000,0.00000000,0.00006247,0.00000000
1.22875000,0.00000000,0.00005970,0.00000000
1.25625000,0.00005712,0.00005712,0.00000423
1.28375000,0.00153146,0.00028942,0.00012253
1.31125000,0.01871573,0.00099054,0.00163095
1.33875000,0.11401501,0.00239462,0.01120961
1.36625000,0.39495656,0.00436716,0.04576798
1.39375000,0.96758121,0.00670060,0.13387304
1.42125000,2.00745536,0.00946471,0.32395045
1.44875000,3.44117594,0.01215667,0.66251183
1.47625000,4.66161806,0.01388555,1.13872363
1.50375000,4.97672060,0.01408480,1.66624273
1.53125000,4.33402535,0.01290786,2.14259397
1.55875000,3.31163614,0.01108408,2.51976575
1.58625000,2.24225515,0.00896243,2.78423303
1.61375000,1.46277231,0.00711552,2.96279661
1.64125000,0.92520809,0.00556416,3.07962074
1.66875000,0.61361579,0.00445668,3.15971894
1.69625000,0.40910960,0.00358001,3.21489657
1.72375000,0.30081358,0.00302085,3.25679421
1.75125000,0.22698607,0.00258289,3.28942587
1.77875000,0.17489495,0.00223218,3.31536472
1.80625000,0.13239469,0.00191255,3.33561216
1.83375000,0.09902073,0.00162921,3.35122025
1.86125000,0.07683578,0.00141394,3.36369744
1.88875000,0.07393241,0.00136678,3.37606054
1.91625000,0.07864980,0.00138948,3.38959826
1.94375000,0.06248333,0.00122095,3.40066421
1.97125000,0.02345186,0.00073757,3.40493595
1.99875000,0.00536994,0.00034808,3.40594156
2.02625000,0.00151486,0.00018237,3.40623310
2.05375000,0.00104715,0.00014959,3.40644014
2.08125000,0.00085319,0.00013325,3.40661337
2.10875000,0.00119595,0.00015570,3.40686266
2.13625000,0.00513545,0.00031849,3.40796123
2.16375000,0.03043878,0.00076553,3.41464136
2.19125000,0.19763847,0.00192619,3.45912486
2.21875000,0.53053761,0.00311677,3.58155168
2.24625000,0.55675025,0.00315375,3.71323181
2.27375000,0.63083622,0.00331643,3.86611006
2.30125000,0.82627835,0.00375020,4.07122516
2.32875000,1.09944596,0.00427483,4.35071322
2.35625000,1.38297577,0.00473850,4.71062906
2.38375000,1.62776027,0.00508147,5.14419534
2.41125000,1.85377968,0.00536095,5.64942198
2.43875000,2.00717039,0.00551543,6.20900233
2.46625000,2.11152038,0.00559391,6.81102539
2.49375000,2.15034806,0.00558285,7.43786760
2.52125000,2.09349950,0.00544848,8.06167185
2.54875000,2.00000220,0.00526796,8.67068770
2.57625000,1.86935054,0.00503863,9.25226896
2.60375000,1.72318801,0.00478654,9.79988338
2.63125000,1.57371225,0.00452642,10.31061554
2.65875000,1.43116767,0.00427191,10.78484569
2.68625000,1.30672941,0.00404018,11.22684559
2.71375000,1.20434706,0.00383938,11.64259819
2.74125000,1.11199104,0.00365222,12.03428796
2.76875000,1.04620035,0.00350734,12.41023442
2.79625000,0.99592350,0.00338838,12.77525859
2.82375000,0.95402172,0.00328403,13.13183647
2.85125000,0.93074034,0.00321243,13.48652143
2.87875000,0.91038906,0.00314676,13.84017543
2.90625000,0.89498123,0.00309050,14.19451815
2.93375000,0.88721466,0.00304822,14.55246501
2.96125000,0.87204623,0.00299398,14.91091891
2.98875000,0.87190500,0.00296620,15.27600223
3.01625000,0.85546439,0.00291131,15.64082359
3.04375000,0.85596445,0.00288585,16.01254479
3.07125000,0.84032221,0.00283376,16.38409698
3.09875000,0.83940405,0.00280707,16.76191945
3.12625000,0.83618376,0.00277704,17.14500237
3.15375000,0.83171514,0.00274546,17.53277109
3.18125000,0.82982269,0.00271863,17.92643405
3.20875000,0.82395935,0.00268579,18.32410256
3.23625000,0.83134252,0.00267487,18.73224125
3.26375000,0.83017810,0.00265047,19.14676430
3.29125000,0.83749890,0.00263989,19.57201950
3.31875000,0.84197616,0.00262500,20.00672238
3.34625000,0.85183672,0.00261863,20.45383484
3.37375000,0.85892111,0.00260807,20.91210621
3.40125000,0.87419786,0.00260988,21.38616313
3.42875000,0.88677514,0.00260751,21.87484789
3.45625000,0.90608691,0.00261478,22.38221674
3.48375000,0.92868397,0.00262628,22.91054709
3.51125000,0.95183191,0.00263799,23.46062906
3.53875000,0.98358747,0.00266079,24.03800196
3.56625000,1.01978937,0.00268843,24.64596572
3.59375000,1.06201677,0.00272253,25.28890617
3.62125000,1.09629804,0.00274512,25.96279661
3.64875000,1.12862337,0.00276430,26.66713426
3.67625000,1.15830172,0.00277946,27.40093040
3.70375000,1.17415760,0.00277764,28.15594156
3.73125000,1.19046430,0.00277625,28.93284799
3.75875000,1.19081310,0.00275634,29.72147952
3.78625000,1.18310372,0.00272745,30.51651230
3.81375000,1.17143901,0.00269440,31.31518304
3.84125000,1.14579485,0.00264567,32.10767645
3.86875000,1.10946689,0.00258489,32.88607017
3.89625000,1.07832784,0.00253037,33.65341063
3.92375000,1.04116406,0.00246895,34.40480074
3.95125000,1.00624897,0.00241031,35.14120809
3.97875000,0.97256647,0.00235325,35.86290731
4.00625000,0.95078008,0.00231077,36.57822641
4.03375000,0.92393900,0.00226239,37.28292743
4.06125000,0.90730447,0.00222675,37.98440880
4.08875000,0.89718972,0.00219941,38.68749577
4.11625000,0.88794433,0.00217343,39.39272918
4.14375000,0.88407209,0.00215429,40.10430047
4.17125000,0.88830093,0.00214520,40.82879682
4.19875000,0.88975124,0.00213289,41.56407602
4.22625000,0.90084379,0.00213218,42.31830550
4.25375000,0.90382474,0.00212190,43.08491076
4.28125000,0.91499062,0.00212125,43.87105361
4.30875000,0.92459949,0.00211875,44.67569041
4.33625000,0.93629348,0.00211859,45.50093801
4.36375000,0.94307120,0.00211284,46.34273594
4.39125000,0.94828336,0.00210540,47.19988845
4.41875000,0.95649234,0.00210134,48.07532365
4.44625000,0.96830648,0.00210120,48.97263724
4.47375000,0.97811941,0.00209884,49.89029120
4.50125000,0.99211428,0.00210089,50.83255307
4.52875000,0.99486020,0.00209102,51.78900335
4.55625000,1.00966455,0.00209380,52.77151078
4.58375000,1.01891212,0.00209075,53.77502197
4.61125000,1.02693956,0.00208645,54.79861158
4.63875000,1.03223829,0.00207943,55.83979093
4.66625000,1.04836942,0.00208326,56.90981612
4.69375000,1.05501490,0.00207761,57.99935354
4.72125000,1.06163301,0.00207198,59.10861023
4.74875000,1.07047776,0.00206854,60.24017628
4.77625000,1.07292455,0.00205898,61.38750254
4.80375000,1.07105793,0.00204541,62.54605953
4.83125000,1.07721216,0.00203960,63.72465268
4.85875000,1.07531622,0.00202627,64.91460333
4.88625000,1.07513881,0.00201470,66.11786354
4.91375000,1.06586362,0.00199477,67.32420819
4.94125000,1.06282656,0.00198084,68.54061739
4.96875000,1.05666231,0.00196415,69.76347012
4.99625000,1.04850716,0.00194579,70.99035374
5.02375000,1.04253467,0.00192962,72.22371468
5.05125000,1.03289915,0.00191023,73.45909106
5.07875000,1.02279909,0.00189057,74.69574348
5.10625000,1.01546271,0.00187363,75.93685776
5.13375000,1.00502319,0.00185399,77.17847908
5.16125000,0.99875766,0.00183836,78.42561435
5.18875000,0.98843674,0.00181914,79.67304962
5.21625000,0.98192474,0.00180358,80.92543689
5.24375000,0.97661574,0.00178926,82.18422120
5.27125000,0.97103614,0.00177484,83.44897580
5.29875000,0.96754844,0.00176245,84.72237105
5.32625000,0.96190751,0.00174824,86.00151687
5.35375000,0.96253582,0.00173982,87.29474970
5.38125000,0.96245362,0.00173086,88.60119068
5.40875000,0.96181802,0.00172149,89.92014687
5.43625000,0.96154249,0.00171254,91.25216756
5.46375000,0.96311697,0.00170531,92.59990197
5.49125000,0.96640532,0.00169966,93.96588528
5.51875000,0.96959230,0.00169398,95.35013436
5.54625000,0.96992303,0.00168587,96.74869017
5.57375000,0.97283746,0.00168007,98.16539346
5.60125000,0.97432357,0.00167310,99.59829638
5.62875000,0.98011844,0.00166987,101.05391005
5.65625000,0.98193159,0.00166329,102.52650081
5.68375000,0.98820912,0.00166052,104.02295160
5.71125000,0.99147142,0.00165525,105.53890617
5.73875000,0.99402654,0.00164944,107.07343919
5.76625000,0.99941849,0.00164602,108.63111817
5.79375000,1.00425535,0.00164217,110.21130087
5.82125000,1.00585755,0.00163571,111.80906487
5.84875000,1.01104006,0.00163221,113.43027059
5.87625000,1.01117154,0.00162468,115.06697032
5.90375000,1.01003604,0.00161620,116.71716975
5.93125000,1.01455596,0.00161230,118.39023205
5.95875000,1.01357279,0.00160408,120.07720812
5.98625000,1.01708745,0.00159948,121.78569497
