energy_kev,sp3_target,frame_index,step,time_ps,n_atoms,density_atoms_A3,sp_percent,sp2_percent,sp3_percent,defect_percent,mean_coord,elastic_modulus_rel,mean_pe_eV,total_pe_eV,mean_ke_eV,total_ke_eV,max_ke_atom_eV,threshold_cumulative_A,n_displaced_cumulative,max_dr_cumulative_A,mean_dr_cumulative_A,n_displaced_incremental,max_dr_incremental_A
10,20,0,0,0.000000,473344,0.107342,16.839339,65.154518,18.005510,0.000634,3.011649,0.099476,-6.428596,-3042937.321000,0.044615,21118.478760,1886.700000,0.000000,0,0.000000,0.000000,0,0.000000
10,20,1,27,0.027000,473344,0.107342,16.830466,65.154518,18.013960,0.001056,3.011814,0.099540,-6.428572,-3042926.003070,0.044580,21101.605031,1869.400000,0.041188,1,1.349183,1.349183,1,1.349183
10,20,2,81,0.081000,473344,0.107342,16.828564,65.142898,18.026847,0.001690,3.011983,0.099606,-6.428596,-3042937.386207,0.044592,21107.354750,1812.600000,0.075977,4,4.045212,1.079574,5,2.696112
10,20,3,108,0.108000,473344,0.107342,16.831100,65.136983,18.030650,0.001268,3.011987,0.099608,-6.428699,-3042986.215290,0.044679,21148.534344,1804.780000,0.096151,5,5.389563,1.188116,4,1.346112
10,20,4,135,0.135000,473344,0.107342,16.827297,65.137617,18.034030,0.001056,3.012046,0.099631,-6.428814,-3043040.368560,0.044785,21198.761551,1831.580000,0.121682,6,6.737083,1.292556,6,1.352650
10,20,5,189,0.189000,473344,0.107342,16.816945,65.153461,18.028749,0.000845,3.012101,0.099652,-6.428858,-3043061.504590,0.044800,21205.604565,1832.750000,0.169203,6,9.431308,1.858828,4,2.700163
10,20,6,216,0.216000,473344,0.107342,16.812931,65.157687,18.028537,0.000845,3.012139,0.099667,-6.428850,-3043057.518320,0.044773,21192.872864,1830.930000,0.185917,6,10.779220,2.137467,4,1.349914
10,20,7,243,0.243000,473344,0.107342,16.819058,65.159799,18.020298,0.000845,3.012004,0.099614,-6.428792,-3043029.989025,0.044705,21160.691406,1811.330000,0.214132,6,12.126583,2.411688,4,1.348928
10,20,8,297,0.297000,473344,0.107342,16.820959,65.170151,18.008256,0.000634,3.011860,0.099558,-6.428589,-3042933.867530,0.044473,21051.025679,1701.080000,0.414043,4,14.814847,4.277563,9,2.689766
10,20,9,351,0.351000,473344,0.107342,16.823705,65.179869,17.995792,0.000634,3.011708,0.099499,-6.428753,-3043011.547990,0.044633,21126.869958,1783.440000,0.376822,6,17.504371,3.493087,6,2.705939
10,20,10,432,0.432000,473344,0.107342,16.820114,65.179658,17.999383,0.000845,3.011776,0.099525,-6.428723,-3042997.228630,0.044569,21096.373503,1780.710000,0.342947,10,21.534740,2.772053,7,4.049452
10,20,11,459,0.459000,473344,0.107342,16.823283,65.175010,18.000862,0.000845,3.011767,0.099522,-6.428719,-3042995.404420,0.044557,21090.893848,1778.600000,0.376822,10,22.878921,2.950392,15,1.349933
10,20,12,486,0.486000,473344,0.107342,16.823072,65.171841,18.004031,0.001056,3.011805,0.099537,-6.428631,-3042953.884540,0.044465,21047.213055,1736.940000,0.454940,8,24.222177,3.804261,11,1.347784
10,20,13,540,0.540000,473344,0.107342,16.825607,65.175855,17.997270,0.001268,3.011708,0.099499,-6.428591,-3042934.905452,0.044404,21018.470729,1503.210000,0.549253,7,26.823434,4.746330,11,2.649808
10,20,14,567,0.567000,473344,0.107342,16.827297,65.174799,17.996425,0.001479,3.011687,0.099491,-6.428651,-3042963.326080,0.044454,21042.126252,1534.910000,0.549253,8,28.100135,4.469573,13,1.352509
10,20,15,594,0.594000,473344,0.107342,16.826029,65.171630,18.001073,0.001268,3.011742,0.099512,-6.427999,-3042654.779347,0.043795,20730.138626,1188.300000,0.575741,8,29.372426,4.729464,21,1.333806
10,20,16,648,0.648000,473344,0.107342,16.825184,65.181137,17.992200,0.001479,3.011641,0.099473,-6.428659,-3042967.095170,0.044431,21031.194559,1285.940000,0.879667,7,32.029526,6.013519,15,2.684132
10,20,17,675,0.675000,473344,0.107342,16.824339,65.178602,17.995369,0.001690,3.011674,0.099486,-6.428643,-3042959.726750,0.044409,21020.877911,1282.470000,0.549253,12,33.363544,4.003945,6,1.349814
10,20,18,702,0.702000,473344,0.107342,16.821804,65.181982,17.994102,0.002113,3.011696,0.099494,-6.428618,-3042947.671808,0.044380,21007.218573,1268.030000,0.523984,14,34.697727,3.719239,26,1.348638
10,20,19,783,0.783000,473344,0.107342,16.828776,65.170151,18.000017,0.001056,3.011691,0.099492,-6.428644,-3042960.238892,0.044393,21013.381520,1256.190000,0.632610,13,38.674865,4.641552,5,4.044757
10,20,20,837,0.837000,473344,0.107342,16.827719,65.159377,18.011003,0.001901,3.011801,0.099535,-6.428636,-3042956.150994,0.044370,21002.386555,1264.110000,0.728618,12,41.325298,5.423473,29,2.701006
10,20,21,864,0.864000,473344,0.107342,16.825395,65.161067,18.011214,0.002324,3.011826,0.099545,-6.428673,-3042973.581986,0.044401,21016.955697,1264.690000,0.663118,15,42.652075,4.654840,23,1.350030
10,20,22,891,0.891000,473344,0.107342,16.818424,65.164870,18.014383,0.002324,3.011919,0.099581,-6.428681,-3042977.750561,0.044403,21017.674101,1264.400000,0.728618,14,43.980211,5.130684,21,1.349982
10,20,23,918,0.918000,473344,0.107342,16.822015,65.166137,18.009524,0.002324,3.011835,0.099548,-6.428665,-3042970.169199,0.044377,21005.467775,1263.680000,0.728618,15,45.309808,5.022594,23,1.349974
10,20,24,972,0.972000,473344,0.107342,16.822438,65.157687,18.017763,0.002113,3.011919,0.099581,-6.428561,-3042920.679640,0.044247,20944.178723,1142.780000,2.152556,5,47.960754,14.065626,10,2.670435
10,20,25,999,0.999000,473344,0.107342,16.828353,65.161701,18.008045,0.001901,3.011759,0.099519,-6.428534,-3042907.968090,0.044212,20927.432457,1101.170000,0.728618,20,49.292827,4.374829,14,1.345706
10,20,26,1026,1.026000,473344,0.107342,16.826241,65.159165,18.012270,0.002324,3.011831,0.099547,-6.428545,-3042913.049399,0.044207,20924.938600,1115.010000,0.763756,21,50.631600,4.359583,21,1.352216
