k_invA,S_k
0.20000000,0.15480002
0.23967936,0.16178852
0.27935872,0.16951659
0.31903808,0.17776272
0.35871743,0.18629799
0.39839679,0.19489519
0.43807615,0.20333786
0.47775551,0.21142882
0.51743487,0.21899800
0.55711423,0.22590906
0.59679359,0.23206468
0.63647295,0.23741026
0.67615230,0.24193578
0.71583166,0.24567600
0.75551102,0.24870862
0.79519038,0.25115089
0.83486974,0.25315445
0.87454910,0.25489889
0.91422846,0.25658416
0.95390782,0.25842213
0.99358717,0.26062786
1.03326653,0.26341067
1.07294589,0.26696565
1.11262525,0.27146583
1.15230461,0.27705543
1.19198397,0.28384444
1.23166333,0.29190483
1.27134269,0.30126848
1.31102204,0.31192701
1.35070140,0.32383351
1.39038076,0.33690601
1.43006012,0.35103269
1.46973948,0.36607837
1.50941884,0.38189225
1.54909820,0.39831632
1.58877756,0.41519409
1.62845691,0.43237931
1.66813627,0.44974410
1.70781563,0.46718613
1.74749499,0.48463459
1.78717435,0.50205434
1.82685371,0.51944823
1.86653307,0.53685731
1.90621242,0.55435879
1.94589178,0.57206190
1.98557114,0.59010164
2.02525050,0.60863065
2.06492986,0.62780966
2.10460922,0.64779671
2.14428858,0.66873576
2.18396794,0.69074516
2.22364729,0.71390647
2.26332665,0.73825428
2.30300601,0.76376748
2.34268537,0.79036250
2.38236473,0.81788891
2.42204409,0.84612773
2.46172345,0.87479265
2.50140281,0.90353427
2.54108216,0.93194733
2.58076152,0.95958073
2.62044088,0.98595014
2.66012024,1.01055270
2.69979960,1.03288327
2.73947896,1.05245183
2.77915832,1.06880100
2.81883768,1.08152340
2.85851703,1.09027773
2.89819639,1.09480326
2.93787575,1.09493176
2.97755511,1.09059656
3.01723447,1.08183818
3.05691383,1.06880626
3.09659319,1.05175761
3.13627255,1.03105035
3.17595190,1.00713438
3.21563126,0.98053833
3.25531062,0.95185366
3.29498998,0.92171631
3.33466934,0.89078675
3.37434870,0.85972905
3.41402806,0.82919001
3.45370741,0.79977898
3.49338677,0.77204937
3.53306613,0.74648244
3.57274549,0.72347426
3.61242485,0.70332613
3.65210421,0.68623914
3.69178357,0.67231284
3.73146293,0.66154825
3.77114228,0.65385505
3.81082164,0.64906258
3.85050100,0.64693422
3.89018036,0.64718442
3.92985972,0.64949783
3.96953908,0.65354939
4.00921844,0.65902473
4.04889780,0.66563966
4.08857715,0.67315819
4.12825651,0.68140788
4.16793587,0.69029198
4.20761523,0.69979764
4.24729459,0.70999987
4.28697395,0.72106074
4.32665331,0.73322400
4.36633267,0.74680507
4.40601202,0.76217688
4.44569138,0.77975200
4.48537074,0.79996171
4.52505010,0.82323304
4.56472946,0.84996453
4.60440882,0.88050189
4.64408818,0.91511449
4.68376754,0.95397379
4.72344689,0.99713472
4.76312625,1.04452073
4.80280561,1.09591344
4.84248497,1.15094731
4.88216433,1.20910977
4.92184369,1.26974690
4.96152305,1.33207468
5.00120240,1.39519542
5.04088176,1.45811893
5.08056112,1.51978771
5.12024048,1.57910533
5.15991984,1.63496697
5.19959920,1.68629108
5.23927856,1.73205093
5.27895792,1.77130514
5.31863727,1.80322577
5.35831663,1.82712331
5.39799599,1.84246735
5.43767535,1.84890250
5.47735471,1.84625882
5.51703407,1.83455646
5.55671343,1.81400446
5.59639279,1.78499372
5.63607214,1.74808453
5.67575150,1.70398910
5.71543086,1.65354977
5.75511022,1.59771381
5.79478958,1.53750568
5.83446894,1.47399771
5.87414830,1.40828040
5.91382766,1.34143320
5.95350701,1.27449685
5.99318637,1.20844817
6.03286573,1.14417797
6.07254509,1.08247294
6.11222445,1.02400169
6.15190381,0.96930543
6.19158317,0.91879335
6.23126253,0.87274257
6.27094188,0.83130242
6.31062124,0.79450274
6.35030060,0.76226543
6.38997996,0.73441897
6.42965932,0.71071476
6.46933868,0.69084493
6.50901804,0.67446054
6.54869739,0.66118967
6.58837675,0.65065443
6.62805611,0.64248667
6.66773547,0.63634143
6.70741483,0.63190812
6.74709419,0.62891893
6.78677355,0.62715444
6.82645291,0.62644637
6.86613226,0.62667767
6.90581162,0.62778004
6.94549098,0.62972934
6.98517034,0.63253926
7.02484970,0.63625358
7.06452906,0.64093768
7.10420842,0.64666958
7.14388778,0.65353117
7.18356713,0.66159989
7.22324649,0.67094133
7.26292585,0.68160296
7.30260521,0.69360930
7.34228457,0.70695862
7.38196393,0.72162118
7.42164329,0.73753902
7.46132265,0.75462725
7.50100200,0.77277647
7.54068136,0.79185632
7.58036072,0.81171979
7.62004008,0.83220797
7.65971944,0.85315498
7.69939880,0.87439294
7.73907816,0.89575646
7.77875752,0.91708665
7.81843687,0.93823445
7.85811623,0.95906302
7.89779559,0.97944938
7.93747495,0.99928501
7.97715431,1.01847572
8.01683367,1.03694073
8.05651303,1.05461107
8.09619238,1.07142770
8.13587174,1.08733921
8.17555110,1.10229952
8.21523046,1.11626571
8.25490982,1.12919617
8.29458918,1.14104907
8.33426854,1.15178155
8.37394790,1.16134938
8.41362725,1.16970742
8.45330661,1.17681060
8.49298597,1.18261562
8.53266533,1.18708305
8.57234469,1.19017988
8.61202405,1.19188226
8.65170341,1.19217834
8.69138277,1.19107100
8.73106212,1.18858027
8.77074148,1.18474537
8.81042084,1.17962614
8.85010020,1.17330380
8.88977956,1.16588093
8.92945892,1.15748070
8.96913828,1.14824525
9.00881764,1.13833329
9.04849699,1.12791704
9.08817635,1.11717855
9.12785571,1.10630557
9.16753507,1.09548712
9.20721443,1.08490889
9.24689379,1.07474870
9.28657315,1.06517210
9.32625251,1.05632840
9.36593186,1.04834711
9.40561122,1.04133503
9.44529058,1.03537405
9.48496994,1.03051962
9.52464930,1.02680012
9.56432866,1.02421690
9.60400802,1.02274510
9.64368737,1.02233517
9.68336673,1.02291495
9.72304609,1.02439220
9.76272545,1.02665765
9.80240481,1.02958811
9.84208417,1.03304992
9.88176353,1.03690223
9.92144289,1.04100039
9.96112224,1.04519903
10.00080160,1.04935494
10.04048096,1.05332971
10.08016032,1.05699196
10.11983968,1.06021926
10.15951904,1.06289973
10.19919840,1.06493325
10.23887776,1.06623243
10.27855711,1.06672325
10.31823647,1.06634556
10.35791583,1.06505328
10.39759519,1.06281456
10.43727455,1.05961173
10.47695391,1.05544124
10.51663327,1.05031345
10.55631263,1.04425242
10.59599198,1.03729556
10.63567134,1.02949324
10.67535070,1.02090828
10.71503006,1.01161533
10.75470942,1.00170003
10.79438878,0.99125813
10.83406814,0.98039428
10.87374749,0.96922067
10.91342685,0.95785551
10.95310621,0.94642124
10.99278557,0.93504260
11.03246493,0.92384453
11.07214429,0.91295003
11.11182365,0.90247788
11.15150301,0.89254049
11.19118236,0.88324173
11.23086172,0.87467501
11.27054108,0.86692155
11.31022044,0.86004893
11.34989980,0.85411002
11.38957916,0.84914230
11.42925852,0.84516761
11.46893788,0.84219234
11.50861723,0.84020805
11.54829659,0.83919255
11.58797595,0.83911131
11.62765531,0.83991922
11.66733467,0.84156260
11.70701403,0.84398142
11.74669339,0.84711151
11.78637275,0.85088691
11.82605210,0.85524199
11.86573146,0.86011349
11.90541082,0.86544223
11.94509018,0.87117456
11.98476954,0.87726337
12.02444890,0.88366877
12.06412826,0.89035834
12.10380762,0.89730687
12.14348697,0.90449590
12.18316633,0.91191273
12.22284569,0.91954928
12.26252505,0.92740063
12.30220441,0.93546352
12.34188377,0.94373474
12.38156313,0.95220950
12.42124248,0.96088000
12.46092184,0.96973410
12.50060120,0.97875428
12.54028056,0.98791684
12.57995992,0.99719145
12.61963928,1.00654104
12.65931864,1.01592196
12.69899800,1.02528458
12.73867735,1.03457404
