k_invA,S_k
0.20000000,0.15301103
0.23967936,0.16009639
0.27935872,0.16793201
0.31903808,0.17629349
0.35871743,0.18494891
0.39839679,0.19366806
0.43807615,0.20223157
0.47775551,0.21043963
0.51743487,0.21811981
0.55711423,0.22513380
0.59679359,0.23138281
0.63647295,0.23681121
0.67615230,0.24140854
0.71583166,0.24520959
0.75551102,0.24829261
0.79519038,0.25077586
0.83486974,0.25281239
0.87454910,0.25458351
0.91422846,0.25629115
0.95390782,0.25814929
0.99358717,0.26037514
1.03326653,0.26318013
1.07294589,0.26676130
1.11262525,0.27129341
1.15230461,0.27692209
1.19198397,0.28375838
1.23166333,0.29187484
1.27134269,0.30130355
1.31102204,0.31203586
1.35070140,0.32402411
1.39038076,0.33718520
1.43006012,0.35140574
1.46973948,0.36654872
1.50941884,0.38246120
1.54909820,0.39898285
1.58877756,0.41595476
1.62845691,0.43322823
1.66813627,0.45067299
1.70781563,0.46818449
1.74749499,0.48568986
1.78717435,0.50315224
1.82685371,0.52057308
1.86653307,0.53799240
1.90621242,0.55548684
1.94589178,0.57316549
1.98557114,0.59116365
2.02525050,0.60963472
2.06492986,0.62874060
2.10460922,0.64864092
2.14428858,0.66948157
2.18396794,0.69138312
2.22364729,0.71442961
2.26332665,0.73865827
2.30300601,0.76405074
2.34268537,0.79052624
2.38236473,0.81793706
2.42204409,0.84606684
2.46172345,0.87463166
2.50140281,0.90328430
2.54108216,0.93162130
2.58076152,0.95919303
2.62044088,0.98551621
2.66012024,1.01008854
2.69979960,1.03240503
2.73947896,1.05197528
2.77915832,1.06834110
2.81883768,1.08109385
2.85851703,1.08989056
2.89819639,1.09446846
2.93787575,1.09465700
2.97755511,1.09038696
3.01723447,1.08169616
3.05691383,1.06873151
3.09659319,1.05174708
3.13627255,1.03109842
3.17595190,1.00723304
3.21563126,0.98067751
3.25531062,0.95202158
3.29498998,0.92189994
3.33466934,0.89097225
3.37434870,0.85990235
3.41402806,0.82933727
3.45370741,0.79988716
3.49338677,0.77210667
3.53306613,0.74647878
3.57274549,0.72340165
3.61242485,0.70317896
3.65210421,0.68601439
3.69178357,0.67201017
3.73146293,0.66117000
3.77114228,0.65340614
3.81082164,0.64855027
3.85050100,0.64636776
3.89018036,0.64657473
3.92985972,0.64885698
3.96953908,0.65289009
4.00921844,0.65835979
4.04889780,0.66498149
4.08857715,0.67251826
4.12825651,0.68079626
4.16793587,0.68971694
4.20761523,0.69926539
4.24729459,0.70951430
4.28697395,0.72062338
4.32665331,0.73283402
4.36633267,0.74645948
4.40601202,0.76187075
4.44569138,0.77947884
4.48537074,0.79971392
4.52505010,0.82300241
4.56472946,0.84974281
4.60440882,0.88028132
4.64408818,0.91488837
4.68376754,0.95373695
4.72344689,0.99688394
4.76312625,1.04425509
4.80280561,1.09563451
4.84248497,1.15065926
4.88216433,1.20881930
4.92184369,1.26946305
4.96152305,1.33180853
5.00120240,1.39495963
5.04088176,1.45792722
5.08056112,1.51965424
5.12024048,1.57904402
5.15991984,1.63499084
5.19959920,1.68641152
5.23927856,1.73227714
5.27895792,1.77164353
5.31863727,1.80367953
5.35831663,1.82769208
5.39799599,1.84314707
5.43767535,1.84968535
5.47735471,1.84713341
5.51703407,1.83550808
5.55671343,1.81501558
5.59639279,1.78604456
5.63607214,1.74915372
5.67575150,1.70505445
5.71543086,1.65458909
5.75511022,1.59870573
5.79478958,1.53843039
5.83446894,1.47483775
5.87414830,1.40902125
5.91382766,1.34206378
5.95350701,1.27500991
5.99318637,1.20884045
6.03286573,1.14445031
6.07254509,1.08263005
6.11222445,1.02405191
6.15190381,0.96926029
6.19158317,0.91866696
6.23126253,0.87255097
6.27094188,0.83106286
6.31062124,0.79423288
6.35030060,0.76198261
6.38997996,0.73413942
6.42965932,0.71045302
6.46933868,0.69061322
6.50901804,0.67426836
6.54869739,0.66104347
6.58837675,0.65055749
6.62805611,0.64243909
6.66773547,0.63634026
6.70741483,0.63194770
6.74709419,0.62899124
6.78677355,0.62724964
6.82645291,0.62655336
