k_invA,S_k
0.20000000,0.15485497
0.23967936,0.16194786
0.27935872,0.16978670
0.31903808,0.17814481
0.35871743,0.18678805
0.39839679,0.19548414
0.43807615,0.20401192
0.47775551,0.21217015
0.51743487,0.21978546
0.55711423,0.22671916
0.59679359,0.23287262
0.63647295,0.23819099
0.67615230,0.24266515
0.71583166,0.24633178
0.75551102,0.24927150
0.79519038,0.25160530
0.83486974,0.25348924
0.87454910,0.25510780
0.91422846,0.25666604
0.95390782,0.25838103
0.99358717,0.26047277
1.03326653,0.26315514
1.07294589,0.26662717
1.11262525,0.27106505
1.15230461,0.27661526
1.19198397,0.28338907
1.23166333,0.29145864
1.27134269,0.30085506
1.31102204,0.31156817
1.35070140,0.32354835
1.39038076,0.33671019
1.43006012,0.35093778
1.46973948,0.36609147
1.50941884,0.38201574
1.54909820,0.39854784
1.58877756,0.41552673
1.62845691,0.43280195
1.66813627,0.45024196
1.70781563,0.46774146
1.74749499,0.48522744
1.78717435,0.50266339
1.82685371,0.52005173
1.86653307,0.53743391
1.90621242,0.55488840
1.94589178,0.57252646
1.98557114,0.59048571
2.02525050,0.60892200
2.06492986,0.62799957
2.10460922,0.64788021
2.14428858,0.66871166
2.18396794,0.69061594
2.22364729,0.71367800
2.26332665,0.73793546
2.30300601,0.76336973
2.34268537,0.78989921
2.38236473,0.81737481
2.42204409,0.84557827
2.46172345,0.87422335
2.50140281,0.90296017
2.54108216,0.93138244
2.58076152,0.95903761
2.62044088,0.98543956
2.66012024,1.01008336
2.69979960,1.03246173
2.73947896,1.05208244
2.77915832,1.06848601
2.81883768,1.08126311
2.85851703,1.09007075
2.89819639,1.09464678
2.93787575,1.09482189
2.97755511,1.09052869
3.01723447,1.08180732
3.05691383,1.06880735
3.09659319,1.05178582
3.13627255,1.03110129
3.17595190,1.00720428
3.21563126,0.98062418
3.25531062,0.95195322
3.29498998,0.92182814
3.33466934,0.89091008
3.37434870,0.85986372
3.41402806,0.82933630
3.45370741,0.79993745
3.49338677,0.77222065
3.53306613,0.74666711
3.57274549,0.72367263
3.61242485,0.70353819
3.65210421,0.68646439
3.69178357,0.67255026
3.73146293,0.66179633
3.77114228,0.65411177
3.81082164,0.64932550
3.85050100,0.64720055
3.89018036,0.64745121
3.92985972,0.64976204
3.96953908,0.65380808
4.00921844,0.65927513
4.04889780,0.66587938
4.08857715,0.67338525
4.12825651,0.68162077
4.16793587,0.69048970
4.20761523,0.69997970
4.24729459,0.71016620
4.28697395,0.72121163
4.32665331,0.73335995
4.36633267,0.74692669
4.40601202,0.76228472
4.44569138,0.77984635
4.48537074,0.80004254
4.52505010,0.82329980
4.56472946,0.85001613
4.60440882,0.88053658
4.64408818,0.91512990
4.68376754,0.95396697
4.72344689,0.99710221
4.76312625,1.04445873
4.80280561,1.09581799
4.84248497,1.15081451
4.88216433,1.20893605
4.92184369,1.26952925
4.96152305,1.33181095
5.00120240,1.39488454
5.04088176,1.45776114
5.08056112,1.51938474
5.12024048,1.57866052
5.15991984,1.63448532
5.19959920,1.68577925
5.23927856,1.73151714
5.27895792,1.77075901
5.31863727,1.80267810
5.35831663,1.82658575
