r_A,g_r,g_r_error,n_r
0.51375000,0.00000000,0.00034151,0.00000000
0.54125000,0.00000000,0.00030769,0.00000000
0.56875000,0.00000000,0.00027865,0.00000000
0.59625000,0.00000000,0.00025354,0.00000000
0.62375000,0.00000000,0.00023168,0.00000000
0.65125000,0.00000000,0.00021253,0.00000000
0.67875000,0.00000000,0.00019565,0.00000000
0.70625000,0.00000000,0.00018071,0.00000000
0.73375000,0.00000000,0.00016742,0.00000000
0.76125000,0.00000000,0.00015554,0.00000000
0.78875000,0.00000000,0.00014489,0.00000000
0.81625000,0.00000000,0.00013529,0.00000000
0.84375000,0.00000000,0.00012661,0.00000000
0.87125000,0.00000000,0.00011875,0.00000000
0.89875000,0.00000000,0.00011159,0.00000000
0.92625000,0.00000000,0.00010506,0.00000000
0.95375000,0.00000000,0.00009909,0.00000000
0.98125000,0.00000000,0.00009362,0.00000000
1.00875000,0.00000000,0.00008858,0.00000000
1.03625000,0.00000000,0.00008394,0.00000000
1.06375000,0.00000000,0.00007966,0.00000000
1.09125000,0.00000000,0.00007569,0.00000000
1.11875000,0.00000000,0.00007202,0.00000000
1.14625000,0.00000000,0.00006860,0.00000000
1.17375000,0.00019628,0.00011332,0.00001268
1.20125000,0.00006247,0.00006247,0.00001690
1.22875000,0.00041791,0.00015795,0.00004648
1.25625000,0.00051404,0.00017135,0.00008451
1.28375000,0.00153146,0.00028942,0.00020281
1.31125000,0.01756238,0.00095954,0.00161827
1.33875000,0.11124887,0.00236539,0.01096454
1.36625000,0.40022007,0.00439617,0.04598347
1.39375000,0.96410104,0.00668854,0.13377163
1.42125000,1.99147996,0.00942697,0.32233640
1.44875000,3.45740952,0.01218531,0.66249493
1.47625000,4.69003298,0.01392781,1.14160948
1.50375000,4.99469833,0.01411022,1.67103417
1.53125000,4.38392436,0.01298196,2.15286979
1.55875000,3.28967382,0.01104726,2.52754022
1.58625000,2.22996774,0.00893784,2.79055824
1.61375000,1.42611734,0.00702581,2.96464728
1.64125000,0.91379734,0.00552974,3.08003059
1.66875000,0.59257605,0.00437961,3.15738237
1.69625000,0.41108325,0.00358864,3.21282619
1.72375000,0.29802265,0.00300680,3.25433511
1.75125000,0.22369429,0.00256409,3.28649354
1.77875000,0.17352747,0.00222343,3.31222958
1.80625000,0.12905167,0.00188825,3.33196576
1.83375000,0.09947643,0.00163296,3.34764569
1.86125000,0.07496237,0.00139660,3.35981865
1.88875000,0.07542318,0.00138049,3.37243104
1.91625000,0.08085907,0.00140886,3.38634904
1.94375000,0.06618127,0.00125656,3.39806990
1.97125000,0.02342866,0.00073720,3.40233741
1.99875000,0.00514431,0.00034069,3.40330077
2.02625000,0.00186613,0.00020241,3.40365992
2.05375000,0.00147456,0.00017752,3.40395146
2.08125000,0.00147747,0.00017534,3.40425145
2.10875000,0.00190540,0.00019653,3.40464863
2.13625000,0.00628105,0.00035222,3.40599226
2.16375000,0.03109337,0.00077372,3.41281605
2.19125000,0.19808902,0.00192838,3.45740096
2.21875000,0.53612222,0.00313313,3.58111648
2.24625000,0.56003734,0.00316304,3.71357406
2.27375000,0.63655492,0.00333142,3.86783819
2.30125000,0.82384437,0.00374467,4.07234907
2.32875000,1.09494160,0.00426606,4.35069210
2.35625000,1.38117362,0.00473541,4.71013893
2.38375000,1.63486694,0.00509255,5.14559813
2.41125000,1.86202745,0.00537286,5.65307261
2.43875000,2.02014364,0.00553323,6.21626977
2.46625000,2.11934511,0.00560426,6.82052376
2.49375000,2.13708558,0.00556561,7.44349986
2.52125000,2.10068878,0.00545783,8.06944632
2.54875000,1.99654715,0.00526341,8.67741009
2.57625000,1.86734054,0.00503592,9.25836601
2.60375000,1.72462394,0.00478853,9.80643676
2.63125000,1.56603091,0.00451536,10.31467601
2.65875000,1.42499604,0.00426269,10.78686114
2.68625000,1.30017134,0.00403003,11.22664278
2.71375000,1.19766420,0.00382871,11.64008839
2.74125000,1.10629326,0.00364285,12.02977116
2.76875000,1.04663541,0.00350807,12.40587395
2.79625000,0.99288008,0.00338320,12.76978265
2.82375000,0.95538959,0.00328639,13.12687179
2.85125000,0.92991985,0.00321101,13.48124408
2.87875000,0.91192269,0.00314941,13.83549385
2.90625000,0.88932510,0.00308072,14.18759718
2.93375000,0.88383194,0.00304240,14.54417929
2.96125000,0.87874827,0.00300547,14.90538805
2.98875000,0.87287373,0.00296784,15.27087699
3.01625000,0.86327169,0.00292456,15.63902785
3.04375000,0.85265641,0.00288027,16.00931247
3.07125000,0.84553982,0.00284254,16.38317165
3.09875000,0.84290547,0.00281292,16.76257014
3.12625000,0.83372128,0.00277295,17.14452491
3.15375000,0.83120763,0.00274462,17.53205702
3.18125000,0.82715961,0.00271426,17.92445663
3.20875000,0.82317143,0.00268450,18.32174486
3.23625000,0.82604093,0.00266633,18.72728079
3.26375000,0.83273364,0.00265455,19.14307987
3.29125000,0.83793993,0.00264059,19.56855902
3.31875000,0.84561799,0.00263068,20.00514214
3.34625000,0.85395385,0.00262188,20.45336584
3.37375000,0.86136024,0.00261177,20.91293858
3.40125000,0.87510169,0.00261123,21.38748563
3.42875000,0.88733485,0.00260833,21.87647884
3.45625000,0.90543043,0.00261383,22.38348009
3.48375000,0.92891420,0.00262661,22.91194142
3.51125000,0.95453703,0.00264174,23.46358674
3.53875000,0.98864044,0.00266762,24.04392577
3.56625000,1.02093752,0.00268994,24.65257403
3.59375000,1.05578422,0.00271453,25.29174131
3.62125000,1.10024356,0.00275005,25.96805706
3.64875000,1.12839995,0.00276403,26.67225527
3.67625000,1.15389312,0.00277417,27.40325852
3.70375000,1.18256180,0.00278756,28.16367378
3.73125000,1.19170091,0.00277769,28.94138724
3.75875000,1.19530464,0.00276154,29.73299334
3.78625000,1.18444929,0.00272900,30.52893033
3.81375000,1.16738595,0.00268974,31.32483775
3.84125000,1.14125592,0.00264042,32.11419179
3.86875000,1.10942474,0.00258484,32.89255594
3.89625000,1.07369052,0.00252492,33.65659647
3.92375000,1.04207155,0.00247003,34.40864150
3.95125000,1.00148582,0.00240460,35.14156301
3.97875000,0.97457075,0.00235567,35.86474953
4.00625000,0.94761261,0.00230692,36.57768557
4.03375000,0.92153474,0.00225944,37.28055283
4.06125000,0.90669239,0.00222600,37.98156098
4.08875000,0.89857001,0.00220110,38.68572962
4.11625000,0.88574188,0.00217073,39.38921376
4.14375000,0.88989909,0.00216138,40.10547509
4.17125000,0.88679338,0.00214338,40.82874189
4.19875000,0.89241508,0.00213608,41.56622245
4.22625000,0.90120715,0.00213261,42.32075615
4.25375000,0.90763065,0.00212636,43.09058951
4.28125000,0.91554141,0.00212189,43.87720558
4.30875000,0.92480826,0.00211899,44.68202407
4.33625000,0.93160513,0.00211328,45.50313937
4.36375000,0.94069021,0.00211017,46.34281199
4.39125000,0.95348138,0.00211117,47.20466299
4.41875000,0.96091492,0.00210619,48.08414599
4.44625000,0.96800555,0.00210087,48.98118071
4.47375000,0.97648458,0.00209708,49.89730091
4.50125000,0.98771886,0.00209623,50.83538822
4.52875000,0.99863106,0.00209498,51.79546376
4.55625000,1.00837062,0.00209246,52.77671207
4.58375000,1.01655256,0.00208833,53.77789937
4.61125000,1.02861824,0.00208816,54.80316218
4.63875000,1.03732371,0.00208454,55.84947100
4.66625000,1.04569515,0.00208060,56.91676666
4.69375000,1.05565725,0.00207824,58.00696745
4.72125000,1.06382478,0.00207411,59.11851423
4.74875000,1.06554127,0.00206377,60.24486209
4.77625000,1.07071185,0.00205686,61.38982220
4.80375000,1.07577265,0.00204991,62.55347908
4.83125000,1.07691866,0.00203933,63.73175112
4.85875000,1.07332693,0.00202440,64.91950041
4.88625000,1.07207322,0.00201183,66.11932971
4.91375000,1.06726731,0.00199608,67.32726305
4.94125000,1.06050443,0.00197867,68.54101457
4.96875000,1.05609275,0.00196363,69.76320815
4.99625000,1.04737693,0.00194474,70.98876927
5.02375000,1.04070605,0.00192793,72.21996687
5.05125000,1.03399430,0.00191124,73.45665309
5.07875000,1.02508455,0.00189268,74.69606882
5.10625000,1.01211974,0.00187055,75.93309728
5.13375000,1.00661696,0.00185546,77.17668757
5.16125000,0.99546526,0.00183532,78.41971167
5.18875000,0.99045892,0.00182100,79.66969899
5.21625000,0.98191149,0.00180357,80.92206936
5.24375000,0.97462264,0.00178744,82.17828471
5.27125000,0.97088042,0.00177470,83.44283650
5.29875000,0.96798185,0.00176285,84.71680216
5.32625000,0.96149763,0.00174786,85.99540292
5.35375000,0.96640392,0.00174332,87.29383282
5.38125000,0.96224818,0.00173067,88.59999493
5.40875000,0.96343871,0.00172294,89.92117361
5.43625000,0.96220436,0.00171312,91.25411117
5.46375000,0.96555064,0.00170746,92.60525115
5.49125000,0.96743363,0.00170057,93.97268794
5.51875000,0.96665049,0.00169141,95.35273712
5.54625000,0.97036843,0.00168626,96.75193517
5.57375000,0.97118363,0.00167864,98.16623006
5.60125000,0.97531476,0.00167395,99.60059069
5.62875000,0.98064477,0.00167032,101.05698604
5.65625000,0.98315717,0.00166432,102.53141479
5.68375000,0.98678610,0.00165932,104.02571069
5.71125000,0.99413535,0.00165747,105.54573841
5.73875000,0.99673891,0.00165169,107.08445866
5.76625000,0.99997423,0.00164648,108.64300382
5.79375000,1.00338263,0.00164145,110.22181331
5.82125000,1.00309916,0.00163347,111.81519571
5.84875000,1.00831018,0.00163000,113.43202407
5.87625000,1.01061552,0.00162423,115.06782382
5.90375000,1.01281098,0.00161842,116.72255696
5.93125000,1.01313136,0.00161117,118.39327001
5.95875000,1.01602511,0.00160602,120.08432768
5.98625000,1.01734150,0.00159968,121.79324128
