k_invA,S_k
9.40561122,1.04134757
9.44529058,1.03535251
9.48496994,1.03046340
9.52464930,1.02670925
9.56432866,1.02409194
9.60400802,1.02258692
9.64368737,1.02214480
9.68336673,1.02269332
9.72304609,1.02414004
9.76272545,1.02637527
9.80240481,1.02927534
9.84208417,1.03270604
9.88176353,1.03652602
9.92144289,1.04059018
9.96112224,1.04475289
10.00080160,1.04887090
10.04048096,1.05280602
10.08016032,1.05642741
10.11983968,1.05961353
10.15951904,1.06225367
10.19919840,1.06424924
10.23887776,1.06551458
10.27855711,1.06597765
10.31823647,1.06558033
10.35791583,1.06427860
10.39759519,1.06204254
10.43727455,1.05885622
10.47695391,1.05471748
10.51663327,1.04963765
10.55631263,1.04364124
10.59599198,1.03676553
10.63567134,1.02906016
10.67535070,1.02058655
10.71503006,1.01141735
10.75470942,1.00163566
10.79438878,0.99133416
10.83406814,0.98061407
10.87374749,0.96958390
10.91342685,0.95835803
10.95310621,0.94705512
10.99278557,0.93579631
11.03246493,0.92470329
11.07214429,0.91389626
11.11182365,0.90349182
11.15150301,0.89360085
11.19118236,0.88432644
11.23086172,0.87576200
11.27054108,0.86798951
11.31022044,0.86107804
11.34989980,0.85508258
11.38957916,0.85004330
11.42925852,0.84598514
11.46893788,0.84291788
11.50861723,0.84083658
11.54829659,0.83972252
11.58797595,0.83954445
11.62765531,0.84026021
11.66733467,0.84181863
11.70701403,0.84416163
11.74669339,0.84722642
11.78637275,0.85094777
11.82605210,0.85526013
11.86573146,0.86009974
11.90541082,0.86540639
11.94509018,0.87112493
11.98476954,0.87720648
12.02444890,0.88360916
12.06412826,0.89029845
12.10380762,0.89724720
12.14348697,0.90443513
12.18316633,0.91184806
12.22284569,0.91947681
12.26252505,0.92731585
12.30220441,0.93536177
12.34188377,0.94361167
12.38156313,0.95206157
12.42124248,0.96070486
12.46092184,0.96953091
12.50060120,0.97852389
12.54028056,0.98766189
12.57995992,0.99691633
12.61963928,1.00625170
12.65931864,1.01562566
12.69899800,1.02498945
12.73867735,1.03428866
12.77835671,1.04346422
12.81803607,1.05245362
12.85771543,1.06119233
12.89739479,1.06961524
12.93707415,1.07765823
12.97675351,1.08525959
13.01643287,1.09236144
13.05611222,1.09891096
13.09579158,1.10486138
13.13547094,1.11017282
13.17515030,1.11481282
13.21482966,1.11875663
13.25450902,1.12198730
13.29418838,1.12449542
13.33386774,1.12627881
13.37354709,1.12734190
13.41322645,1.12769513
13.45290581,1.12735413
13.49258517,1.12633899
13.53226453,1.12467349
13.57194389,1.12238438
13.61162325,1.11950078
13.65130261,1.11605368
13.69098196,1.11207552
13.73066132,1.10759999
13.77034068,1.10266192
13.81002004,1.09729720
13.84969940,1.09154294
13.88937876,1.08543756
13.92905812,1.07902097
13.96873747,1.07233475
14.00841683,1.06542221
14.04809619,1.05832852
14.08777555,1.05110055
14.12745491,1.04378676
14.16713427,1.03643684
14.20681363,1.02910128
14.24649299,1.02183077
14.28617234,1.01467551
14.32585170,1.00768437
14.36553106,1.00090409
14.40521042,0.99437835
14.44488978,0.98814689
14.48456914,0.98224473
14.52424850,0.97670141
14.56392786,0.97154041
14.60360721,0.96677871
14.64328657,0.96242653
14.68296593,0.95848736
14.72264529,0.95495805
14.76232465,0.95182922
14.80200401,0.94908587
14.84168337,0.94670808
14.88136273,0.94467193
14.92104208,0.94295048
14.96072144,0.94151486
15.00040080,0.94033532
15.04008016,0.93938231
15.07975952,0.93862744
15.11943888,0.93804440
15.15911824,0.93760967
15.19879760,0.93730308
15.23847695,0.93710823
15.27815631,0.93701268
15.31783567,0.93700792
15.35751503,0.93708922
15.39719439,0.93725526
15.43687375,0.93750770
15.47655311,0.93785053
15.51623246,0.93828947
15.55591182,0.93883128
15.59559118,0.93948305
15.63527054,0.94025160
15.67494990,0.94114291
15.71462926,0.94216165
15.75430862,0.94331086
15.79398798,0.94459171
15.83366733,0.94600345
15.87334669,0.94754345
15.91302605,0.94920741
15.95270541,0.95098958
15.99238477,0.95288316
16.03206413,0.95488069
16.07174349,0.95697447
16.11142285,0.95915701
16.15110220,0.96142136
16.19078156,0.96376147
16.23046092,0.96617240
16.27014028,0.96865047
16.30981964,0.97119329
16.34949900,0.97379966
16.38917836,0.97646940
16.42885772,0.97920308
16.46853707,0.98200161
16.50821643,0.98486588
16.54789579,0.98779633
16.58757515,0.99079243
16.62725451,0.99385233
16.66693387,0.99697247
16.70661323,1.00014729
16.74629259,1.00336900
16.78597194,1.00662752
16.82565130,1.00991051
16.86533066,1.01320346
16.90501002,1.01649000
16.94468938,1.01975220
16.98436874,1.02297102
17.02404810,1.02612685
17.06372745,1.02919995
17.10340681,1.03217109
17.14308617,1.03502202
17.18276553,1.03773594
17.22244489,1.04029797
17.26212425,1.04269542
17.30180361,1.04491804
17.34148297,1.04695812
17.38116232,1.04881049
17.42084168,1.05047239
17.46052104,1.05194323
17.50020040,1.05322433
17.53987976,1.05431845
17.57955912,1.05522943
17.61923848,1.05596170
17.65891784,1.05651981
17.69859719,1.05690804
17.73827655,1.05713001
17.77795591,1.05718838
17.81763527,1.05708465
17.85731463,1.05681905
17.89699399,1.05639055
17.93667335,1.05579692
17.97635271,1.05503501
18.01603206,1.05410096
18.05571142,1.05299063
18.09539078,1.05169997
18.13507014,1.05022546
18.17474950,1.04856459
18.21442886,1.04671622
18.25410822,1.04468101
18.29378758,1.04246170
18.33346693,1.04006335
18.37314629,1.03749344
18.41282565,1.03476195
18.45250501,1.03188126
18.49218437,1.02886597
18.53186373,1.02573265
18.57154309,1.02249950
18.61122244,1.01918596
18.65090180,1.01581223
18.69058116,1.01239888
18.73026052,1.00896633
18.76993988,1.00553451
18.80961924,1.00212240
18.84929860,0.99874777
18.88897796,0.99542695
18.92865731,0.99217463
18.96833667,0.98900386
19.00801603,0.98592600
19.04769539,0.98295089
19.08737475,0.98008698
19.12705411,0.97734156
19.16673347,0.97472099
19.20641283,0.97223104
19.24609218,0.96987711
19.28577154,0.96766449
19.32545090,0.96559859
19.36513026,0.96368510
19.40480962,0.96193004
19.44448898,0.96033985
19.48416834,0.95892129
19.52384770,0.95768134
19.56352705,0.95662698
19.60320641,0.95576499
19.64288577,0.95510162
19.68256513,0.95464230
19.72224449,0.95439132
19.76192385,0.95435152
19.80160321,0.95452401
19.84128257,0.95490795
19.88096192,0.95550039
19.92064128,0.95629616
19.96032064,0.95728788
20.00000000,0.95846603
