rdf_peak1_r_A,rdf_peak1_g,coordination_at_cutoff,adf_peak_theta_deg,adf_peak_density,sk_peak_k_invA,sk_peak,label,frame_index,step,time_ps,sp3_percent
1.476250,5.743261,3.058469,111.500000,0.040991,5.517034,1.763472,initial,0,0,0.000000,18.005510
1.476250,5.739027,3.058452,112.500000,0.040922,5.517034,1.763216,peak,91,3960,3.960000,18.018819
1.476250,5.760352,3.060827,111.500000,0.041154,5.517034,1.764566,final,137,9480,9.480000,18.129521
