energy_kev,sp3_target,frame_index,step,time_ps,n_atoms,density_atoms_A3,sp_percent,sp2_percent,sp3_percent,defect_percent,mean_coord,elastic_modulus_rel,mean_pe_eV,total_pe_eV,mean_ke_eV,total_ke_eV,max_ke_atom_eV,threshold_cumulative_A,n_displaced_cumulative,max_dr_cumulative_A,mean_dr_cumulative_A,n_displaced_incremental,max_dr_incremental_A
30,20,0,0,0.000000,473344,0.107342,16.839339,65.154518,18.005510,0.000634,3.011649,0.099476,-6.428596,-3042937.321000,0.052587,24891.888760,5660.110000,0.000000,0,0.000000,0.000000,0,0.000000
30,20,1,27,0.027000,473344,0.107342,16.834057,65.157053,18.007834,0.001056,3.011717,0.099502,-6.428561,-3042920.889170,0.052532,24865.498039,5642.800000,0.024534,1,1.349731,1.349731,1,1.349731
30,20,2,54,0.054000,473344,0.107342,16.829198,65.154095,18.015650,0.001056,3.011852,0.099555,-6.428408,-3042848.475800,0.052358,24783.489829,5561.330000,0.047439,1,2.697873,2.697873,1,1.348148
30,20,3,81,0.081000,473344,0.107342,16.830255,65.154306,18.013749,0.001690,3.011835,0.099548,-6.428513,-3042897.966014,0.052447,24825.584623,5595.390000,0.072482,1,4.048681,4.048681,2,1.350818
30,20,4,108,0.108000,473344,0.107342,16.828142,65.153039,18.017552,0.001268,3.011886,0.099568,-6.428574,-3042926.978860,0.052492,24846.976469,5599.210000,0.116084,1,5.397664,5.397664,4,1.349137
30,20,5,135,0.135000,473344,0.107342,16.830466,65.142687,18.025791,0.001056,3.011932,0.099586,-6.428686,-3042979.846700,0.052587,24891.671045,5632.160000,0.161419,1,6.748162,6.748162,4,1.351039
30,20,6,162,0.162000,473344,0.107342,16.828353,65.141208,18.029382,0.001056,3.011987,0.099608,-6.428730,-3043000.854417,0.052616,24905.665591,5633.550000,0.083482,6,8.097859,1.440957,4,1.350066
30,20,7,189,0.189000,473344,0.107342,16.830043,65.137405,18.031495,0.001056,3.011991,0.099609,-6.428769,-3043019.252986,0.052645,24919.068903,5632.890000,0.100788,5,9.447581,2.006718,4,1.349986
30,20,8,216,0.216000,473344,0.107342,16.827931,65.136560,18.034664,0.000845,3.012050,0.099633,-6.428808,-3043037.786460,0.052654,24923.253370,5633.630000,0.169203,3,10.797380,3.746774,4,1.349999
30,20,9,243,0.243000,473344,0.107342,16.822227,65.143955,18.032763,0.001056,3.012093,0.099649,-6.428782,-3043025.290700,0.052606,24900.588912,5605.590000,0.185917,3,12.146759,4.222533,4,1.349526
30,20,10,270,0.270000,473344,0.107342,16.823494,65.145645,18.029382,0.001479,3.012063,0.099638,-6.428785,-3043026.704229,0.052594,24895.031081,5593.550000,0.214132,3,13.496191,4.697377,4,1.349566
30,20,11,297,0.297000,473344,0.107342,16.822649,65.144800,18.031495,0.001056,3.012084,0.099646,-6.428780,-3043024.435250,0.052578,24887.651233,5579.310000,0.185917,4,14.845658,3.929997,4,1.349521
30,20,12,324,0.324000,473344,0.107342,16.816311,65.154729,18.028115,0.000845,3.012110,0.099656,-6.428767,-3043018.210090,0.052547,24872.687888,5560.020000,0.204281,4,16.194214,4.288890,7,1.348779
30,20,13,351,0.351000,473344,0.107342,16.815889,65.151349,18.031918,0.000845,3.012143,0.099669,-6.428911,-3043086.220754,0.052677,24934.464354,5622.790000,0.224459,4,17.544960,4.646573,7,1.351984
30,20,14,378,0.378000,473344,0.107342,16.813776,65.158532,18.026847,0.000845,3.012114,0.099657,-6.428914,-3043087.770450,0.052671,24931.726181,5623.660000,0.235283,4,18.893857,5.001963,4,1.350000
30,20,15,405,0.405000,473344,0.107342,16.820536,65.159588,18.019242,0.000634,3.011974,0.099603,-6.428679,-3042976.813520,0.052423,24814.002059,5507.010000,0.258523,4,20.239255,5.354843,4,1.346912
30,20,16,432,0.432000,473344,0.107342,16.823917,65.156208,18.018819,0.001056,3.011945,0.099591,-6.428799,-3043033.640851,0.052516,24857.970701,5559.280000,0.454940,2,21.587821,11.101697,6,1.351283
30,20,17,459,0.459000,473344,0.107342,16.826241,65.155996,18.016918,0.000845,3.011898,0.099573,-6.428816,-3043041.341720,0.052514,24857.137892,5570.110000,0.246630,6,22.936589,4.124043,6,1.350268
30,20,18,486,0.486000,473344,0.107342,16.831945,65.152616,18.014594,0.000845,3.011818,0.099542,-6.428789,-3043028.701200,0.052471,24836.809124,5561.340000,0.270991,5,24.285488,5.188416,6,1.350058
30,20,19,513,0.513000,473344,0.107342,16.831311,65.155151,18.012693,0.000845,3.011805,0.099537,-6.428764,-3043016.771338,0.052429,24817.074828,5550.220000,0.297758,5,25.632947,5.476154,6,1.349383
30,20,20,540,0.540000,473344,0.107342,16.829832,65.166771,18.002341,0.001056,3.011721,0.099504,-6.428682,-3042977.989420,0.052333,24771.717329,5512.230000,0.312118,5,26.979569,5.762694,12,1.348824
30,20,21,567,0.567000,473344,0.107342,16.830043,65.172475,17.996637,0.000845,3.011657,0.099479,-6.428280,-3042787.935490,0.051913,24572.500401,5317.510000,0.297758,6,28.325999,5.095739,13,1.347958
30,20,22,594,0.594000,473344,0.107342,16.830888,65.169940,17.997904,0.001268,3.011670,0.099484,-6.428782,-3043025.209818,0.052396,24801.528245,5497.780000,0.327169,6,29.669151,5.339838,9,1.352012
30,20,23,621,0.621000,473344,0.107342,16.830888,65.171841,17.996214,0.001056,3.011649,0.099476,-6.428787,-3043027.972500,0.052394,24800.470350,5502.630000,0.476880,3,31.009100,10.775586,11,1.350282
30,20,24,648,0.648000,473344,0.107342,16.825395,65.177334,17.996214,0.001056,3.011704,0.099497,-6.428260,-3042778.354080,0.051851,24543.565603,5248.760000,0.695097,2,32.346093,16.582968,10,1.346586
30,20,25,675,0.675000,473344,0.107342,16.830043,65.171419,17.997059,0.001479,3.011666,0.099482,-6.428733,-3043001.982877,0.052312,24761.447796,5300.550000,0.454940,5,33.661425,7.226952,12,1.343383
30,20,26,702,0.702000,473344,0.107342,16.826452,65.173320,17.999383,0.000845,3.011712,0.099501,-6.428733,-3043002.165650,0.052296,24754.045529,5295.700000,0.549253,4,34.976126,9.292071,13,1.349688
30,20,27,729,0.729000,473344,0.107342,16.828142,65.171419,17.999383,0.001056,3.011691,0.099492,-6.428664,-3042969.383330,0.052217,24716.838569,5263.090000,0.575741,5,36.290715,7.871096,20,1.349586
30,20,28,756,0.756000,473344,0.107342,16.826663,65.173743,17.998749,0.000845,3.011704,0.099497,-6.428733,-3043002.384682,0.052268,24740.575369,5287.510000,0.603506,5,37.602695,8.219153,21,1.349734
30,20,29,783,0.783000,473344,0.107342,16.825184,65.170362,18.003608,0.000845,3.011767,0.099522,-6.428747,-3043009.056520,0.052270,24741.776080,5292.540000,0.632610,5,38.918386,8.566408,22,1.350342
30,20,30,810,0.810000,473344,0.107342,16.826663,65.167616,18.004665,0.001056,3.011759,0.099519,-6.428782,-3043025.471975,0.052299,24755.468443,5305.510000,0.632610,5,40.236880,8.913360,24,1.350077
30,20,31,837,0.837000,473344,0.107342,16.832578,65.166348,17.999806,0.001268,3.011653,0.099477,-6.428658,-3042966.820190,0.052166,24692.668444,5239.590000,0.663118,5,41.552996,9.259344,24,1.348400
30,20,32,864,0.864000,473344,0.107342,16.837015,65.160222,18.001284,0.001479,3.011628,0.099468,-6.428745,-3043008.060904,0.052242,24728.345292,5274.680000,0.663118,5,42.865823,9.604374,26,1.350768
30,20,33,891,0.891000,473344,0.107342,16.830466,65.160010,18.008256,0.001268,3.011759,0.099519,-6.428724,-3042998.031660,0.052202,24709.479481,5260.680000,0.695097,5,44.180664,9.949436,28,1.349354
30,20,34,918,0.918000,473344,0.107342,16.830677,65.160856,18.007411,0.001056,3.011746,0.099514,-6.428805,-3043036.491958,0.052269,24741.217526,5298.170000,0.695097,5,45.501879,10.295029,12,1.351002
30,20,35,945,0.945000,473344,0.107342,16.827297,65.168038,18.003397,0.001268,3.011734,0.099509,-6.428822,-3043044.116520,0.052269,24741.240355,5306.530000,0.728618,5,46.824931,10.639987,18,1.350286
30,20,36,972,0.972000,473344,0.107342,16.829621,65.165926,18.003397,0.001056,3.011717,0.099502,-6.428809,-3043037.962911,0.052246,24730.140282,5301.610000,0.728618,5,48.149359,10.984108,20,1.349948
30,20,37,999,0.999000,473344,0.107342,16.826663,65.171841,18.000439,0.001056,3.011717,0.099502,-6.428825,-3043045.913400,0.052245,24729.950137,5310.550000,0.763756,5,49.475261,11.327400,21,1.349993
30,20,38,1026,1.026000,473344,0.107342,16.830888,65.163813,18.004031,0.001268,3.011704,0.099497,-6.428817,-3043041.725170,0.052221,24718.380696,5308.260000,0.800588,5,50.802518,11.669393,22,1.350051
30,20,39,1053,1.053000,473344,0.107342,16.831100,65.166560,18.001073,0.001268,3.011674,0.099486,-6.428810,-3043038.583878,0.052202,24709.324834,5307.090000,0.839196,5,52.130850,12.009702,21,1.349913
30,20,40,1080,1.080000,473344,0.107342,16.830466,65.171841,17.996214,0.001479,3.011645,0.099474,-6.428778,-3043023.578524,0.052159,24689.161258,5292.630000,0.879667,5,53.460308,12.348274,8,1.349724
30,20,41,1107,1.107000,473344,0.107342,16.828142,65.179447,17.990933,0.001479,3.011607,0.099459,-6.428683,-3042978.382713,0.052042,24633.616424,5246.430000,0.922089,5,54.789929,12.685297,8,1.348961
30,20,42,1134,1.134000,473344,0.107342,16.830255,65.173109,17.995158,0.001479,3.011628,0.099468,-6.428735,-3043003.021995,0.052093,24657.843575,5270.010000,0.966557,5,56.123022,13.021780,25,1.350436
